,Unnamed: 0,date,means
0,0,2018-01-07,17.6
1,1,2018-01-14,9.6
2,2,2018-01-21,11.200000000000001
3,3,2018-01-28,8.96
4,4,2018-02-04,21.12
5,5,2018-02-11,21.44
6,6,2018-02-18,22.400000000000002
7,7,2018-02-25,11.84
8,8,2018-03-04,9.28
9,9,2018-03-11,7.36
10,10,2018-03-18,7.68
11,11,2018-03-25,20.48
12,12,2018-04-01,4.16
13,13,2018-04-08,32.0
14,14,2018-04-15,9.28
15,15,2018-04-22,28.16
16,16,2018-04-29,17.6
17,17,2018-05-06,7.36
18,18,2018-05-13,31.68
19,19,2018-05-20,6.72
20,20,2018-05-27,24.96
21,21,2018-06-03,5.76
22,22,2018-06-10,9.28
23,23,2018-06-17,10.56
24,24,2018-06-24,8.96
25,25,2018-07-01,20.8
26,26,2018-07-08,28.8
27,27,2018-07-15,19.84
28,28,2018-07-22,21.44
29,29,2018-07-29,22.400000000000002
30,30,2018-08-05,15.36
31,31,2018-08-12,30.72
32,32,2018-08-19,19.84
33,33,2018-08-26,22.400000000000002
34,34,2018-09-02,18.56
35,35,2018-09-09,8.64
36,36,2018-09-16,16.64
37,37,2018-09-23,8.96
38,38,2018-09-30,27.52
39,39,2018-10-07,20.16
40,40,2018-10-14,11.84
41,41,2018-10-21,12.48
42,42,2018-10-28,17.6
43,43,2018-11-04,16.32
44,44,2018-11-11,9.92
45,45,2018-11-18,15.040000000000001
46,46,2018-11-25,9.6
47,47,2018-12-02,16.0
48,48,2018-12-09,9.28
49,49,2018-12-16,16.64
50,50,2018-12-23,12.8
51,51,2018-12-30,3.52
52,52,2019-01-06,10.24
53,53,2019-01-13,15.36
54,54,2019-01-20,9.6
55,55,2019-01-27,6.72
56,56,2019-02-03,4.16
57,57,2019-02-10,15.68
58,58,2019-02-17,5.12
59,59,2019-02-24,10.56
60,60,2019-03-03,6.72
61,61,2019-03-10,3.84
62,62,2019-03-17,13.120000000000001
63,63,2019-03-24,23.68
64,64,2019-03-31,15.68
65,65,2019-04-07,22.72
66,66,2019-04-14,10.24
67,67,2019-04-21,18.88
68,68,2019-04-28,10.24
69,69,2019-05-05,21.12
70,70,2019-05-12,15.040000000000001
71,71,2019-05-19,13.44
72,72,2019-05-26,25.28
73,73,2019-06-02,22.400000000000002
74,74,2019-06-09,14.08
75,75,2019-06-16,25.6
76,76,2019-06-23,11.84
77,77,2019-06-30,17.28
78,78,2019-07-07,4.8
79,79,2019-07-14,10.88
80,80,2019-07-21,14.08
81,81,2019-07-28,15.040000000000001
82,82,2019-08-04,8.64
83,83,2019-08-11,5.12
84,84,2019-08-18,29.12
85,85,2019-08-25,17.28
86,86,2019-09-01,4.48
87,87,2019-09-08,19.52
88,88,2019-09-15,14.08
89,89,2019-09-22,6.72
90,90,2019-09-29,9.92
91,91,2019-10-06,7.68
92,92,2019-10-13,10.24
93,93,2019-10-20,15.68
94,94,2019-10-27,8.64
95,95,2019-11-03,6.72
96,96,2019-11-10,13.120000000000001
97,97,2019-11-17,4.8
98,98,2019-11-24,3.84
99,99,2019-12-01,18.88
100,100,2019-12-08,8.0
101,101,2019-12-15,9.28
102,102,2019-12-22,7.04
103,103,2019-12-29,6.4
104,104,2020-01-05,6.08
105,105,2020-01-12,14.4
106,106,2020-01-19,13.76
107,107,2020-01-26,4.16
108,108,2020-02-02,8.0
109,109,2020-02-09,16.32
110,110,2020-02-16,8.96
111,111,2020-02-23,12.8
112,112,2020-03-01,7.68
113,113,2020-03-08,11.84
114,114,2020-03-15,4.48
115,115,2020-03-22,25.28
116,116,2020-03-29,15.68
117,117,2020-04-05,11.200000000000001
118,118,2020-04-12,22.400000000000002
119,119,2020-04-19,23.04
120,120,2020-04-26,10.88
121,121,2020-05-03,9.28
122,122,2020-05-10,23.36
123,123,2020-05-17,13.120000000000001
124,124,2020-05-24,19.84
125,125,2020-05-31,22.72
126,126,2020-06-07,24.96
127,127,2020-06-14,19.52
128,128,2020-06-21,17.28
129,129,2020-06-28,23.36
130,130,2020-07-05,23.36
