,Unnamed: 0,date,means
0,0,2018-01-07,1.36
1,1,2018-01-14,2.04
2,2,2018-01-21,1.36
3,3,2018-01-28,1.36
4,4,2018-02-04,2.04
5,5,2018-02-11,5.1000000000000005
6,6,2018-02-18,3.06
7,7,2018-02-25,1.36
8,8,2018-03-04,0.68
9,9,2018-03-11,3.4000000000000004
10,10,2018-03-18,2.72
11,11,2018-03-25,4.760000000000001
12,12,2018-04-01,5.1000000000000005
13,13,2018-04-08,1.36
14,14,2018-04-15,9.180000000000001
15,15,2018-04-22,10.540000000000001
16,16,2018-04-29,8.16
17,17,2018-05-06,17.34
18,18,2018-05-13,8.5
19,19,2018-05-20,11.56
20,20,2018-05-27,6.12
21,21,2018-06-03,18.360000000000003
22,22,2018-06-10,9.180000000000001
23,23,2018-06-17,22.78
24,24,2018-06-24,21.080000000000002
25,25,2018-07-01,14.96
26,26,2018-07-08,17.0
27,27,2018-07-15,22.1
28,28,2018-07-22,11.22
29,29,2018-07-29,30.6
30,30,2018-08-05,17.0
31,31,2018-08-12,8.84
32,32,2018-08-19,14.280000000000001
33,33,2018-08-26,8.5
34,34,2018-09-02,4.08
35,35,2018-09-09,5.78
36,36,2018-09-16,3.4000000000000004
37,37,2018-09-23,1.36
38,38,2018-09-30,2.72
39,39,2018-10-07,2.3800000000000003
40,40,2018-10-14,3.74
41,41,2018-10-21,1.36
42,42,2018-10-28,8.16
43,43,2018-11-04,5.78
44,44,2018-11-11,4.42
45,45,2018-11-18,2.72
46,46,2018-11-25,4.08
47,47,2018-12-02,4.42
48,48,2018-12-09,5.1000000000000005
49,49,2018-12-16,0.0
50,50,2018-12-23,1.02
51,51,2018-12-30,2.3800000000000003
52,52,2019-01-06,5.1000000000000005
53,53,2019-01-13,3.4000000000000004
54,54,2019-01-20,4.08
55,55,2019-01-27,2.04
56,56,2019-02-03,2.3800000000000003
57,57,2019-02-10,8.84
58,58,2019-02-17,10.200000000000001
59,59,2019-02-24,4.42
60,60,2019-03-03,4.42
61,61,2019-03-10,5.44
62,62,2019-03-17,5.44
63,63,2019-03-24,5.78
64,64,2019-03-31,4.08
65,65,2019-04-07,8.5
66,66,2019-04-14,14.620000000000001
67,67,2019-04-21,9.860000000000001
68,68,2019-04-28,14.620000000000001
69,69,2019-05-05,7.48
70,70,2019-05-12,12.58
71,71,2019-05-19,14.620000000000001
72,72,2019-05-26,16.66
73,73,2019-06-02,24.14
74,74,2019-06-09,8.16
75,75,2019-06-16,22.1
76,76,2019-06-23,28.900000000000002
77,77,2019-06-30,25.500000000000004
78,78,2019-07-07,22.1
79,79,2019-07-14,16.66
80,80,2019-07-21,16.66
81,81,2019-07-28,11.22
82,82,2019-08-04,21.76
83,83,2019-08-11,7.140000000000001
84,84,2019-08-18,9.180000000000001
85,85,2019-08-25,5.1000000000000005
86,86,2019-09-01,2.72
87,87,2019-09-08,4.760000000000001
88,88,2019-09-15,9.520000000000001
89,89,2019-09-22,2.3800000000000003
90,90,2019-09-29,2.04
91,91,2019-10-06,4.42
92,92,2019-10-13,4.42
93,93,2019-10-20,3.4000000000000004
94,94,2019-10-27,9.860000000000001
95,95,2019-11-03,5.78
96,96,2019-11-10,0.68
97,97,2019-11-17,0.68
98,98,2019-11-24,2.04
99,99,2019-12-01,0.0
100,100,2019-12-08,4.760000000000001
101,101,2019-12-15,3.4000000000000004
102,102,2019-12-22,3.4000000000000004
103,103,2019-12-29,0.0
104,104,2020-01-05,9.520000000000001
105,105,2020-01-12,6.800000000000001
106,106,2020-01-19,1.7000000000000002
107,107,2020-01-26,2.3800000000000003
108,108,2020-02-02,3.74
109,109,2020-02-09,3.4000000000000004
110,110,2020-02-16,9.520000000000001
111,111,2020-02-23,5.1000000000000005
112,112,2020-03-01,2.3800000000000003
113,113,2020-03-08,4.42
114,114,2020-03-15,5.78
115,115,2020-03-22,2.3800000000000003
116,116,2020-03-29,3.06
117,117,2020-04-05,18.700000000000003
118,118,2020-04-12,12.58
119,119,2020-04-19,18.02
120,120,2020-04-26,14.96
121,121,2020-05-03,23.46
122,122,2020-05-10,13.600000000000001
123,123,2020-05-17,27.200000000000003
124,124,2020-05-24,34.0
125,125,2020-05-31,21.76
126,126,2020-06-07,15.3
127,127,2020-06-14,18.700000000000003
