,date,means
0,2018-01-07,76.0
1,2018-01-14,60.0
2,2018-01-21,46.0
3,2018-01-28,59.0
4,2018-02-04,44.0
5,2018-02-11,52.0
6,2018-02-18,61.0
7,2018-02-25,70.0
8,2018-03-04,53.0
9,2018-03-11,85.0
10,2018-03-18,60.0
11,2018-03-25,45.0
12,2018-04-01,55.0
13,2018-04-08,47.0
14,2018-04-15,46.0
15,2018-04-22,51.0
16,2018-04-29,52.0
17,2018-05-06,40.0
18,2018-05-13,76.0
19,2018-05-20,33.0
20,2018-05-27,52.0
21,2018-06-03,57.0
22,2018-06-10,50.0
23,2018-06-17,38.0
24,2018-06-24,58.0
25,2018-07-01,65.0
26,2018-07-08,30.0
27,2018-07-15,36.0
28,2018-07-22,43.0
29,2018-07-29,30.0
30,2018-08-05,72.0
31,2018-08-12,68.0
32,2018-08-19,31.0
33,2018-08-26,67.0
34,2018-09-02,62.0
35,2018-09-09,57.0
36,2018-09-16,44.0
37,2018-09-23,70.0
38,2018-09-30,67.0
39,2018-10-07,63.0
40,2018-10-14,49.0
41,2018-10-21,47.0
42,2018-10-28,69.0
43,2018-11-04,57.0
44,2018-11-11,48.0
45,2018-11-18,67.0
46,2018-11-25,66.0
47,2018-12-02,62.0
48,2018-12-09,69.0
49,2018-12-16,46.0
50,2018-12-23,58.0
51,2018-12-30,78.0
52,2019-01-06,84.0
53,2019-01-13,80.0
54,2019-01-20,74.0
55,2019-01-27,42.0
56,2019-02-03,58.0
57,2019-02-10,47.0
58,2019-02-17,51.0
59,2019-02-24,55.0
60,2019-03-03,82.0
61,2019-03-10,51.0
62,2019-03-17,57.0
63,2019-03-24,47.0
64,2019-03-31,84.0
65,2019-04-07,44.0
66,2019-04-14,43.0
67,2019-04-21,76.0
68,2019-04-28,37.0
69,2019-05-05,51.0
70,2019-05-12,66.0
71,2019-05-19,39.0
72,2019-05-26,50.0
73,2019-06-02,73.0
74,2019-06-09,62.0
75,2019-06-16,38.0
76,2019-06-23,55.0
77,2019-06-30,40.0
78,2019-07-07,51.0
79,2019-07-14,44.0
80,2019-07-21,43.0
81,2019-07-28,63.0
82,2019-08-04,56.0
83,2019-08-11,57.0
84,2019-08-18,66.0
85,2019-08-25,74.0
86,2019-09-01,71.0
87,2019-09-08,55.0
88,2019-09-15,54.0
89,2019-09-22,59.0
90,2019-09-29,59.0
91,2019-10-06,80.0
92,2019-10-13,43.0
93,2019-10-20,74.0
94,2019-10-27,58.0
95,2019-11-03,82.0
96,2019-11-10,77.0
97,2019-11-17,100.0
98,2019-11-24,67.0
99,2019-12-01,55.0
100,2019-12-08,63.0
101,2019-12-15,51.0
102,2019-12-22,35.0
103,2019-12-29,39.0
104,2020-01-05,62.0
105,2020-01-12,79.0
106,2020-01-19,43.0
107,2020-01-26,71.0
108,2020-02-02,66.0
109,2020-02-09,46.0
110,2020-02-16,57.0
111,2020-02-23,46.0
112,2020-03-01,47.0
113,2020-03-08,53.0
114,2020-03-15,31.0
115,2020-03-22,45.0
116,2020-03-29,33.0
117,2020-04-05,33.0
118,2020-04-12,38.0
119,2020-04-19,43.0
120,2020-04-26,38.0
121,2020-05-03,37.0
122,2020-05-10,45.0
123,2020-05-17,57.0
