,Unnamed: 0,date,means
0,0,2018-01-07,5.67
1,1,2018-01-14,16.470000000000002
2,2,2018-01-21,7.5600000000000005
3,3,2018-01-28,14.31
4,4,2018-02-04,11.610000000000001
5,5,2018-02-11,5.94
6,6,2018-02-18,9.72
7,7,2018-02-25,22.68
8,8,2018-03-04,5.67
9,9,2018-03-11,11.610000000000001
10,10,2018-03-18,11.610000000000001
11,11,2018-03-25,8.64
12,12,2018-04-01,8.91
13,13,2018-04-08,7.83
14,14,2018-04-15,12.420000000000002
15,15,2018-04-22,9.450000000000001
16,16,2018-04-29,10.8
17,17,2018-05-06,7.5600000000000005
18,18,2018-05-13,11.34
19,19,2018-05-20,11.34
20,20,2018-05-27,11.07
21,21,2018-06-03,11.07
22,22,2018-06-10,5.130000000000001
23,23,2018-06-17,5.67
24,24,2018-06-24,9.450000000000001
25,25,2018-07-01,8.100000000000001
26,26,2018-07-08,10.8
27,27,2018-07-15,5.4
28,28,2018-07-22,5.4
29,29,2018-07-29,13.5
30,30,2018-08-05,5.130000000000001
31,31,2018-08-12,7.83
32,32,2018-08-19,5.4
33,33,2018-08-26,13.5
34,34,2018-09-02,11.07
35,35,2018-09-09,7.290000000000001
36,36,2018-09-16,5.67
37,37,2018-09-23,7.5600000000000005
38,38,2018-09-30,5.67
39,39,2018-10-07,8.91
40,40,2018-10-14,9.72
41,41,2018-10-21,14.850000000000001
42,42,2018-10-28,9.450000000000001
43,43,2018-11-04,16.470000000000002
44,44,2018-11-11,11.34
45,45,2018-11-18,16.470000000000002
46,46,2018-11-25,11.07
47,47,2018-12-02,25.380000000000003
48,48,2018-12-09,13.23
49,49,2018-12-16,27.0
50,50,2018-12-23,12.96
51,51,2018-12-30,8.100000000000001
52,52,2019-01-06,14.040000000000001
53,53,2019-01-13,14.850000000000001
54,54,2019-01-20,10.8
55,55,2019-01-27,5.4
56,56,2019-02-03,9.18
57,57,2019-02-10,5.94
58,58,2019-02-17,5.94
59,59,2019-02-24,12.690000000000001
60,60,2019-03-03,13.23
61,61,2019-03-10,14.040000000000001
62,62,2019-03-17,11.610000000000001
63,63,2019-03-24,16.740000000000002
64,64,2019-03-31,5.130000000000001
65,65,2019-04-07,6.48
66,66,2019-04-14,15.39
67,67,2019-04-21,4.86
68,68,2019-04-28,10.8
69,69,2019-05-05,9.450000000000001
70,70,2019-05-12,4.86
71,71,2019-05-19,4.59
72,72,2019-05-26,4.86
73,73,2019-06-02,11.610000000000001
74,74,2019-06-09,8.91
75,75,2019-06-16,7.0200000000000005
76,76,2019-06-23,7.0200000000000005
77,77,2019-06-30,4.59
78,78,2019-07-07,6.75
79,79,2019-07-14,4.59
80,80,2019-07-21,7.0200000000000005
81,81,2019-07-28,9.72
82,82,2019-08-04,4.59
83,83,2019-08-11,9.18
84,84,2019-08-18,9.72
85,85,2019-08-25,11.34
86,86,2019-09-01,9.18
87,87,2019-09-08,13.770000000000001
88,88,2019-09-15,8.64
89,89,2019-09-22,11.34
90,90,2019-09-29,8.64
91,91,2019-10-06,12.420000000000002
92,92,2019-10-13,4.59
93,93,2019-10-20,12.420000000000002
94,94,2019-10-27,7.5600000000000005
95,95,2019-11-03,14.040000000000001
96,96,2019-11-10,14.580000000000002
97,97,2019-11-17,15.39
98,98,2019-11-24,23.76
99,99,2019-12-01,18.36
100,100,2019-12-08,22.41
101,101,2019-12-15,19.71
102,102,2019-12-22,11.610000000000001
103,103,2019-12-29,4.59
104,104,2020-01-05,4.32
105,105,2020-01-12,8.370000000000001
106,106,2020-01-19,8.64
107,107,2020-01-26,9.99
108,108,2020-02-02,10.8
109,109,2020-02-09,12.96
110,110,2020-02-16,8.64
111,111,2020-02-23,7.0200000000000005
112,112,2020-03-01,9.72
113,113,2020-03-08,7.0200000000000005
114,114,2020-03-15,7.83
115,115,2020-03-22,5.94
116,116,2020-03-29,5.67
117,117,2020-04-05,5.67
118,118,2020-04-12,0.0
119,119,2020-04-19,8.91
120,120,2020-04-26,7.290000000000001
121,121,2020-05-03,4.86
122,122,2020-05-10,0.0
123,123,2020-05-17,4.86
