,date,means
0,2018-01-07,37
1,2018-01-14,100
2,2018-01-21,60
3,2018-01-28,71
4,2018-02-04,60
5,2018-02-11,48
6,2018-02-18,45
7,2018-02-25,44
8,2018-03-04,76
9,2018-03-11,35
10,2018-03-18,78
11,2018-03-25,70
12,2018-04-01,51
13,2018-04-08,81
14,2018-04-15,60
15,2018-04-22,43
16,2018-04-29,67
17,2018-05-06,58
18,2018-05-13,36
19,2018-05-20,56
20,2018-05-27,39
21,2018-06-03,35
22,2018-06-10,55
23,2018-06-17,31
24,2018-06-24,30
25,2018-07-01,32
26,2018-07-08,44
27,2018-07-15,41
28,2018-07-22,47
29,2018-07-29,41
30,2018-08-05,20
31,2018-08-12,64
32,2018-08-19,58
33,2018-08-26,51
34,2018-09-02,54
35,2018-09-09,48
36,2018-09-16,61
37,2018-09-23,46
38,2018-09-30,75
39,2018-10-07,51
40,2018-10-14,61
41,2018-10-21,53
42,2018-10-28,66
43,2018-11-04,64
44,2018-11-11,48
45,2018-11-18,55
46,2018-11-25,51
47,2018-12-02,45
48,2018-12-09,46
49,2018-12-16,38
50,2018-12-23,46
51,2018-12-30,44
52,2019-01-06,78
53,2019-01-13,57
54,2019-01-20,58
55,2019-01-27,65
56,2019-02-03,65
57,2019-02-10,63
58,2019-02-17,55
59,2019-02-24,33
60,2019-03-03,59
61,2019-03-10,51
62,2019-03-17,68
63,2019-03-24,36
64,2019-03-31,44
65,2019-04-07,52
66,2019-04-14,44
67,2019-04-21,48
68,2019-04-28,51
69,2019-05-05,65
70,2019-05-12,48
71,2019-05-19,35
72,2019-05-26,50
73,2019-06-02,28
74,2019-06-09,40
75,2019-06-16,41
76,2019-06-23,43
77,2019-06-30,37
78,2019-07-07,32
79,2019-07-14,43
80,2019-07-21,44
81,2019-07-28,47
82,2019-08-04,39
83,2019-08-11,60
84,2019-08-18,35
85,2019-08-25,30
86,2019-09-01,34
87,2019-09-08,46
88,2019-09-15,50
89,2019-09-22,46
90,2019-09-29,44
91,2019-10-06,64
92,2019-10-13,60
93,2019-10-20,71
94,2019-10-27,69
95,2019-11-03,80
96,2019-11-10,69
97,2019-11-17,49
98,2019-11-24,38
99,2019-12-01,53
100,2019-12-08,34
101,2019-12-15,37
102,2019-12-22,41
103,2019-12-29,35
104,2020-01-05,52
105,2020-01-12,66
106,2020-01-19,28
107,2020-01-26,56
108,2020-02-02,50
109,2020-02-09,59
110,2020-02-16,60
111,2020-02-23,64
112,2020-03-01,57
113,2020-03-08,47
114,2020-03-15,33
115,2020-03-22,30
116,2020-03-29,42
117,2020-04-05,38
118,2020-04-12,38
119,2020-04-19,37
120,2020-04-26,42
121,2020-05-03,38
122,2020-05-10,51
123,2020-05-17,50
