,date,means
0,2018-01-07,0
1,2018-01-14,24
2,2018-01-21,24
3,2018-01-28,24
4,2018-02-04,24
5,2018-02-11,24
6,2018-02-18,24
7,2018-02-25,0
8,2018-03-04,0
9,2018-03-11,24
10,2018-03-18,25
11,2018-03-25,0
12,2018-04-01,24
13,2018-04-08,0
14,2018-04-15,25
15,2018-04-22,0
16,2018-04-29,0
17,2018-05-06,0
18,2018-05-13,0
19,2018-05-20,0
20,2018-05-27,24
21,2018-06-03,24
22,2018-06-10,23
23,2018-06-17,25
24,2018-06-24,26
25,2018-07-01,24
26,2018-07-08,25
27,2018-07-15,51
28,2018-07-22,25
29,2018-07-29,24
30,2018-08-05,25
31,2018-08-12,24
32,2018-08-19,0
33,2018-08-26,24
34,2018-09-02,100
35,2018-09-09,25
36,2018-09-16,0
37,2018-09-23,50
38,2018-09-30,25
39,2018-10-07,25
40,2018-10-14,26
41,2018-10-21,0
42,2018-10-28,0
43,2018-11-04,0
44,2018-11-11,25
45,2018-11-18,24
46,2018-11-25,0
47,2018-12-02,0
48,2018-12-09,25
49,2018-12-16,0
50,2018-12-23,0
51,2018-12-30,0
52,2019-01-06,24
53,2019-01-13,0
54,2019-01-20,36
55,2019-01-27,0
56,2019-02-03,72
57,2019-02-10,0
58,2019-02-17,0
59,2019-02-24,24
60,2019-03-03,0
61,2019-03-10,24
62,2019-03-17,25
63,2019-03-24,26
64,2019-03-31,25
65,2019-04-07,0
66,2019-04-14,25
67,2019-04-21,0
68,2019-04-28,0
69,2019-05-05,24
70,2019-05-12,25
71,2019-05-19,0
72,2019-05-26,24
73,2019-06-02,34
74,2019-06-09,0
75,2019-06-16,36
76,2019-06-23,0
77,2019-06-30,48
78,2019-07-07,71
79,2019-07-14,0
80,2019-07-21,0
81,2019-07-28,0
82,2019-08-04,0
83,2019-08-11,21
84,2019-08-18,0
85,2019-08-25,30
86,2019-09-01,0
87,2019-09-08,23
88,2019-09-15,46
89,2019-09-22,22
90,2019-09-29,33
91,2019-10-06,0
92,2019-10-13,0
93,2019-10-20,22
94,2019-10-27,20
95,2019-11-03,0
96,2019-11-10,21
97,2019-11-17,21
98,2019-11-24,20
99,2019-12-01,21
100,2019-12-08,0
101,2019-12-15,0
102,2019-12-22,0
103,2019-12-29,22
104,2020-01-05,31
105,2020-01-12,0
106,2020-01-19,21
107,2020-01-26,30
108,2020-02-02,21
109,2020-02-09,20
110,2020-02-16,21
111,2020-02-23,20
112,2020-03-01,39
113,2020-03-08,29
114,2020-03-15,0
115,2020-03-22,17
116,2020-03-29,25
117,2020-04-05,17
118,2020-04-12,0
119,2020-04-19,51
120,2020-04-26,16
121,2020-05-03,16
122,2020-05-10,0
123,2020-05-17,0
124,2020-05-24,0
125,2020-05-31,18
126,2020-06-07,17
127,2020-06-14,18
128,2020-06-21,0
