,Unnamed: 0,date,means
0,0,2018-01-07,12.6
1,1,2018-01-14,12.6
2,2,2018-01-21,14.28
3,3,2018-01-28,9.24
4,4,2018-02-04,23.52
5,5,2018-02-11,14.28
6,6,2018-02-18,17.22
7,7,2018-02-25,9.24
8,8,2018-03-04,9.24
9,9,2018-03-11,7.14
10,10,2018-03-18,9.66
11,11,2018-03-25,8.82
12,12,2018-04-01,33.18
13,13,2018-04-08,3.36
14,14,2018-04-15,0.0
15,15,2018-04-22,6.72
16,16,2018-04-29,32.339999999999996
17,17,2018-05-06,19.74
18,18,2018-05-13,8.82
19,19,2018-05-20,37.379999999999995
20,20,2018-05-27,7.56
21,21,2018-06-03,24.779999999999998
22,22,2018-06-10,7.56
23,23,2018-06-17,22.259999999999998
24,24,2018-06-24,33.6
25,25,2018-07-01,14.7
26,26,2018-07-08,41.16
27,27,2018-07-15,14.28
28,28,2018-07-22,19.74
29,29,2018-07-29,5.46
30,30,2018-08-05,7.56
31,31,2018-08-12,8.82
32,32,2018-08-19,7.14
33,33,2018-08-26,8.4
34,34,2018-09-02,26.04
35,35,2018-09-09,13.44
36,36,2018-09-16,23.939999999999998
37,37,2018-09-23,12.18
38,38,2018-09-30,8.82
39,39,2018-10-07,10.08
40,40,2018-10-14,10.08
41,41,2018-10-21,11.76
42,42,2018-10-28,12.18
43,43,2018-11-04,6.3
44,44,2018-11-11,26.04
45,45,2018-11-18,17.64
46,46,2018-11-25,21.84
47,47,2018-12-02,17.64
48,48,2018-12-09,6.72
49,49,2018-12-16,6.72
50,50,2018-12-23,7.14
51,51,2018-12-30,22.259999999999998
52,52,2019-01-06,13.44
53,53,2019-01-13,9.66
54,54,2019-01-20,12.18
55,55,2019-01-27,9.24
56,56,2019-02-03,9.66
57,57,2019-02-10,14.28
58,58,2019-02-17,16.38
59,59,2019-02-24,34.86
60,60,2019-03-03,11.76
61,61,2019-03-10,20.58
62,62,2019-03-17,8.4
63,63,2019-03-24,24.779999999999998
64,64,2019-03-31,7.56
65,65,2019-04-07,20.58
66,66,2019-04-14,36.96
67,67,2019-04-21,23.939999999999998
68,68,2019-04-28,9.24
69,69,2019-05-05,15.12
70,70,2019-05-12,19.32
71,71,2019-05-19,42.0
72,72,2019-05-26,18.48
73,73,2019-06-02,10.08
74,74,2019-06-09,22.68
75,75,2019-06-16,19.74
76,76,2019-06-23,10.08
77,77,2019-06-30,13.02
78,78,2019-07-07,20.16
79,79,2019-07-14,22.68
80,80,2019-07-21,5.88
81,81,2019-07-28,10.92
82,82,2019-08-04,16.38
83,83,2019-08-11,3.36
84,84,2019-08-18,6.72
85,85,2019-08-25,10.92
86,86,2019-09-01,14.7
87,87,2019-09-08,9.66
88,88,2019-09-15,11.76
89,89,2019-09-22,7.14
90,90,2019-09-29,4.2
91,91,2019-10-06,5.04
92,92,2019-10-13,2.94
93,93,2019-10-20,9.24
94,94,2019-10-27,15.959999999999999
95,95,2019-11-03,2.94
96,96,2019-11-10,15.54
97,97,2019-11-17,19.74
98,98,2019-11-24,13.86
99,99,2019-12-01,16.38
100,100,2019-12-08,17.22
101,101,2019-12-15,7.56
102,102,2019-12-22,7.56
103,103,2019-12-29,13.02
104,104,2020-01-05,2.94
105,105,2020-01-12,12.18
106,106,2020-01-19,7.56
107,107,2020-01-26,21.0
108,108,2020-02-02,15.12
109,109,2020-02-09,30.24
110,110,2020-02-16,21.419999999999998
111,111,2020-02-23,13.02
112,112,2020-03-01,17.64
113,113,2020-03-08,12.18
114,114,2020-03-15,4.62
115,115,2020-03-22,20.58
116,116,2020-03-29,17.64
117,117,2020-04-05,31.919999999999998
118,118,2020-04-12,18.48
119,119,2020-04-19,36.96
120,120,2020-04-26,22.68
121,121,2020-05-03,40.32
122,122,2020-05-10,38.22
123,123,2020-05-17,34.019999999999996
