,date,means
0,2018-01-07,39.0
1,2018-01-14,13.0
2,2018-01-21,15.0
3,2018-01-28,28.0
4,2018-02-04,40.0
5,2018-02-11,80.0
6,2018-02-18,29.0
7,2018-02-25,48.0
8,2018-03-04,36.0
9,2018-03-11,11.0
10,2018-03-18,44.0
11,2018-03-25,33.0
12,2018-04-01,16.0
13,2018-04-08,45.0
14,2018-04-15,41.0
15,2018-04-22,21.0
16,2018-04-29,48.0
17,2018-05-06,50.0
18,2018-05-13,38.0
19,2018-05-20,62.0
20,2018-05-27,72.0
21,2018-06-03,40.0
22,2018-06-10,50.0
23,2018-06-17,26.0
24,2018-06-24,26.0
25,2018-07-01,56.0
26,2018-07-08,52.0
27,2018-07-15,36.0
28,2018-07-22,12.0
29,2018-07-29,42.0
30,2018-08-05,59.0
31,2018-08-12,53.0
32,2018-08-19,55.0
33,2018-08-26,12.0
34,2018-09-02,19.0
35,2018-09-09,19.0
36,2018-09-16,43.0
37,2018-09-23,14.0
38,2018-09-30,19.0
39,2018-10-07,44.0
40,2018-10-14,61.0
41,2018-10-21,35.0
42,2018-10-28,42.0
43,2018-11-04,37.0
44,2018-11-11,52.0
45,2018-11-18,11.0
46,2018-11-25,23.0
47,2018-12-02,11.0
48,2018-12-09,21.0
49,2018-12-16,26.0
50,2018-12-23,39.0
51,2018-12-30,26.0
52,2019-01-06,45.0
53,2019-01-13,22.0
54,2019-01-20,24.0
55,2019-01-27,69.0
56,2019-02-03,35.0
57,2019-02-10,66.0
58,2019-02-17,53.0
59,2019-02-24,36.0
60,2019-03-03,59.0
61,2019-03-10,39.0
62,2019-03-17,70.0
63,2019-03-24,45.0
64,2019-03-31,27.0
65,2019-04-07,39.0
66,2019-04-14,53.0
67,2019-04-21,26.0
68,2019-04-28,47.0
69,2019-05-05,32.0
70,2019-05-12,47.0
71,2019-05-19,100.0
72,2019-05-26,55.0
73,2019-06-02,49.0
74,2019-06-09,54.0
75,2019-06-16,18.0
76,2019-06-23,23.0
77,2019-06-30,35.0
78,2019-07-07,29.0
79,2019-07-14,19.0
80,2019-07-21,43.0
81,2019-07-28,25.0
82,2019-08-04,45.0
83,2019-08-11,23.0
84,2019-08-18,19.0
85,2019-08-25,43.0
86,2019-09-01,61.0
87,2019-09-08,74.0
88,2019-09-15,22.0
89,2019-09-22,37.0
90,2019-09-29,39.0
91,2019-10-06,65.0
92,2019-10-13,49.0
93,2019-10-20,19.0
94,2019-10-27,36.0
95,2019-11-03,22.0
96,2019-11-10,23.0
97,2019-11-17,23.0
98,2019-11-24,39.0
99,2019-12-01,22.0
100,2019-12-08,18.0
101,2019-12-15,21.0
102,2019-12-22,34.0
103,2019-12-29,35.0
104,2020-01-05,32.0
105,2020-01-12,44.0
106,2020-01-19,30.0
107,2020-01-26,38.0
108,2020-02-02,8.0
109,2020-02-09,47.0
110,2020-02-16,42.0
111,2020-02-23,34.0
112,2020-03-01,30.0
113,2020-03-08,35.0
114,2020-03-15,33.0
115,2020-03-22,18.0
116,2020-03-29,35.0
117,2020-04-05,8.0
118,2020-04-12,11.0
