,date,means
0,2018-01-07,16.0
1,2018-01-14,10.0
2,2018-01-21,6.0
3,2018-01-28,4.0
4,2018-02-04,25.0
5,2018-02-11,15.0
6,2018-02-18,10.0
7,2018-02-25,34.0
8,2018-03-04,24.0
9,2018-03-11,24.0
10,2018-03-18,5.0
11,2018-03-25,7.0
12,2018-04-01,14.0
13,2018-04-08,21.0
14,2018-04-15,38.0
15,2018-04-22,28.0
16,2018-04-29,25.0
17,2018-05-06,48.0
18,2018-05-13,13.0
19,2018-05-20,20.0
20,2018-05-27,26.0
21,2018-06-03,26.0
22,2018-06-10,25.0
23,2018-06-17,20.0
24,2018-06-24,18.0
25,2018-07-01,25.0
26,2018-07-08,55.0
27,2018-07-15,61.0
28,2018-07-22,70.0
29,2018-07-29,59.0
30,2018-08-05,57.0
31,2018-08-12,34.0
32,2018-08-19,13.0
33,2018-08-26,29.0
34,2018-09-02,38.0
35,2018-09-09,26.0
36,2018-09-16,20.0
37,2018-09-23,9.0
38,2018-09-30,12.0
39,2018-10-07,19.0
40,2018-10-14,26.0
41,2018-10-21,11.0
42,2018-10-28,17.0
43,2018-11-04,17.0
44,2018-11-11,9.0
45,2018-11-18,6.0
46,2018-11-25,9.0
47,2018-12-02,12.0
48,2018-12-09,17.0
49,2018-12-16,4.0
50,2018-12-23,6.0
51,2018-12-30,6.0
52,2019-01-06,6.0
53,2019-01-13,16.0
54,2019-01-20,22.0
55,2019-01-27,13.0
56,2019-02-03,34.0
57,2019-02-10,13.0
58,2019-02-17,11.0
59,2019-02-24,44.0
60,2019-03-03,20.0
61,2019-03-10,20.0
62,2019-03-17,22.0
63,2019-03-24,44.0
64,2019-03-31,14.0
65,2019-04-07,28.0
66,2019-04-14,25.0
67,2019-04-21,34.0
68,2019-04-28,30.0
69,2019-05-05,10.0
70,2019-05-12,28.0
71,2019-05-19,19.0
72,2019-05-26,36.0
73,2019-06-02,42.0
74,2019-06-09,41.0
75,2019-06-16,40.0
76,2019-06-23,85.0
77,2019-06-30,77.0
78,2019-07-07,21.0
79,2019-07-14,35.0
80,2019-07-21,55.0
81,2019-07-28,39.0
82,2019-08-04,47.0
83,2019-08-11,17.0
84,2019-08-18,22.0
85,2019-08-25,44.0
86,2019-09-01,39.0
87,2019-09-08,22.0
88,2019-09-15,26.0
89,2019-09-22,12.0
90,2019-09-29,8.0
91,2019-10-06,13.0
92,2019-10-13,21.0
93,2019-10-20,9.0
94,2019-10-27,6.0
95,2019-11-03,10.0
96,2019-11-10,13.0
97,2019-11-17,7.0
98,2019-11-24,15.0
99,2019-12-01,9.0
100,2019-12-08,19.0
101,2019-12-15,4.0
102,2019-12-22,20.0
103,2019-12-29,11.0
104,2020-01-05,15.0
105,2020-01-12,15.0
106,2020-01-19,5.0
107,2020-01-26,6.0
108,2020-02-02,16.0
109,2020-02-09,11.0
110,2020-02-16,26.0
111,2020-02-23,24.0
112,2020-03-01,16.0
113,2020-03-08,25.0
114,2020-03-15,17.0
115,2020-03-22,18.0
116,2020-03-29,32.0
117,2020-04-05,41.0
118,2020-04-12,44.0
119,2020-04-19,59.0
120,2020-04-26,50.0
121,2020-05-03,45.0
122,2020-05-10,44.0
123,2020-05-17,100.0
