,date,means
0,2018-01-07,44
1,2018-01-14,49
2,2018-01-21,49
3,2018-01-28,49
4,2018-02-04,54
5,2018-02-11,38
6,2018-02-18,46
7,2018-02-25,36
8,2018-03-04,39
9,2018-03-11,28
10,2018-03-18,36
11,2018-03-25,36
12,2018-04-01,30
13,2018-04-08,36
14,2018-04-15,34
15,2018-04-22,36
16,2018-04-29,33
17,2018-05-06,46
18,2018-05-13,28
19,2018-05-20,33
20,2018-05-27,22
21,2018-06-03,31
22,2018-06-10,34
23,2018-06-17,41
24,2018-06-24,28
25,2018-07-01,37
26,2018-07-08,32
27,2018-07-15,44
28,2018-07-22,44
29,2018-07-29,36
30,2018-08-05,37
31,2018-08-12,44
32,2018-08-19,48
33,2018-08-26,56
34,2018-09-02,66
35,2018-09-09,68
36,2018-09-16,53
37,2018-09-23,50
38,2018-09-30,46
39,2018-10-07,39
40,2018-10-14,45
41,2018-10-21,37
42,2018-10-28,37
43,2018-11-04,42
44,2018-11-11,33
45,2018-11-18,52
46,2018-11-25,36
47,2018-12-02,38
48,2018-12-09,42
49,2018-12-16,38
50,2018-12-23,34
51,2018-12-30,34
52,2019-01-06,41
53,2019-01-13,38
54,2019-01-20,33
55,2019-01-27,32
56,2019-02-03,30
57,2019-02-10,47
58,2019-02-17,26
59,2019-02-24,37
60,2019-03-03,39
61,2019-03-10,42
62,2019-03-17,36
63,2019-03-24,32
64,2019-03-31,30
65,2019-04-07,32
66,2019-04-14,42
67,2019-04-21,44
68,2019-04-28,38
69,2019-05-05,36
70,2019-05-12,47
71,2019-05-19,35
72,2019-05-26,44
73,2019-06-02,30
74,2019-06-09,28
75,2019-06-16,45
76,2019-06-23,32
77,2019-06-30,26
78,2019-07-07,44
79,2019-07-14,29
80,2019-07-21,42
81,2019-07-28,45
82,2019-08-04,46
83,2019-08-11,46
84,2019-08-18,47
85,2019-08-25,58
86,2019-09-01,82
87,2019-09-08,72
88,2019-09-15,74
89,2019-09-22,54
90,2019-09-29,46
91,2019-10-06,47
92,2019-10-13,40
93,2019-10-20,40
94,2019-10-27,38
95,2019-11-03,42
96,2019-11-10,52
97,2019-11-17,54
98,2019-11-24,36
99,2019-12-01,43
100,2019-12-08,35
101,2019-12-15,46
102,2019-12-22,38
103,2019-12-29,36
104,2020-01-05,29
105,2020-01-12,47
106,2020-01-19,51
107,2020-01-26,42
108,2020-02-02,41
109,2020-02-09,34
110,2020-02-16,41
111,2020-02-23,38
112,2020-03-01,48
113,2020-03-08,43
114,2020-03-15,64
115,2020-03-22,100
116,2020-03-29,88
117,2020-04-05,72
118,2020-04-12,72
119,2020-04-19,65
120,2020-04-26,71
121,2020-05-03,59
122,2020-05-10,55
123,2020-05-17,39
124,2020-05-24,46
125,2020-05-31,35
126,2020-06-07,46
127,2020-06-14,40
128,2020-06-21,86
