,Unnamed: 0,date,means
0,0,2018-01-07,19.72
1,1,2018-01-14,8.7
2,2,2018-01-21,19.72
3,3,2018-01-28,19.72
4,4,2018-02-04,12.76
5,5,2018-02-11,23.779999999999998
6,6,2018-02-18,17.98
7,7,2018-02-25,19.72
8,8,2018-03-04,32.48
9,9,2018-03-11,22.619999999999997
10,10,2018-03-18,25.52
11,11,2018-03-25,26.68
12,12,2018-04-01,25.52
13,13,2018-04-08,34.8
14,14,2018-04-15,40.019999999999996
15,15,2018-04-22,29.58
16,16,2018-04-29,31.9
17,17,2018-05-06,27.259999999999998
18,18,2018-05-13,40.019999999999996
19,19,2018-05-20,23.2
20,20,2018-05-27,22.619999999999997
21,21,2018-06-03,34.22
22,22,2018-06-10,23.779999999999998
23,23,2018-06-17,27.259999999999998
24,24,2018-06-24,12.18
25,25,2018-07-01,21.459999999999997
26,26,2018-07-08,16.24
27,27,2018-07-15,27.259999999999998
28,28,2018-07-22,31.9
29,29,2018-07-29,44.08
30,30,2018-08-05,21.459999999999997
31,31,2018-08-12,31.319999999999997
32,32,2018-08-19,24.939999999999998
33,33,2018-08-26,14.499999999999998
34,34,2018-09-02,23.2
35,35,2018-09-09,28.999999999999996
36,36,2018-09-16,34.22
37,37,2018-09-23,12.18
38,38,2018-09-30,4.06
39,39,2018-10-07,36.54
40,40,2018-10-14,20.88
41,41,2018-10-21,22.04
42,42,2018-10-28,28.419999999999998
43,43,2018-11-04,21.459999999999997
44,44,2018-11-11,15.659999999999998
45,45,2018-11-18,19.139999999999997
46,46,2018-11-25,12.76
47,47,2018-12-02,11.6
48,48,2018-12-09,15.659999999999998
49,49,2018-12-16,10.44
50,50,2018-12-23,5.22
51,51,2018-12-30,9.86
52,52,2019-01-06,12.18
53,53,2019-01-13,16.24
54,54,2019-01-20,20.88
55,55,2019-01-27,9.28
56,56,2019-02-03,13.34
57,57,2019-02-10,20.88
58,58,2019-02-17,27.839999999999996
59,59,2019-02-24,28.999999999999996
60,60,2019-03-03,7.539999999999999
61,61,2019-03-10,18.56
62,62,2019-03-17,31.9
63,63,2019-03-24,25.52
64,64,2019-03-31,30.74
65,65,2019-04-07,27.259999999999998
66,66,2019-04-14,42.919999999999995
67,67,2019-04-21,48.72
68,68,2019-04-28,29.58
69,69,2019-05-05,22.619999999999997
70,70,2019-05-12,24.36
71,71,2019-05-19,20.88
72,72,2019-05-26,30.159999999999997
73,73,2019-06-02,12.76
74,74,2019-06-09,41.76
75,75,2019-06-16,44.66
76,76,2019-06-23,34.22
77,77,2019-06-30,13.34
78,78,2019-07-07,15.659999999999998
79,79,2019-07-14,30.74
80,80,2019-07-21,7.539999999999999
81,81,2019-07-28,16.82
82,82,2019-08-04,36.54
83,83,2019-08-11,25.52
84,84,2019-08-18,38.86
85,85,2019-08-25,20.88
86,86,2019-09-01,16.24
87,87,2019-09-08,8.7
88,88,2019-09-15,15.079999999999998
89,89,2019-09-22,16.24
90,90,2019-09-29,14.499999999999998
91,91,2019-10-06,12.18
92,92,2019-10-13,22.619999999999997
93,93,2019-10-20,26.099999999999998
94,94,2019-10-27,17.4
95,95,2019-11-03,15.079999999999998
96,96,2019-11-10,17.98
97,97,2019-11-17,14.499999999999998
98,98,2019-11-24,9.86
99,99,2019-12-01,11.6
100,100,2019-12-08,5.22
101,101,2019-12-15,30.159999999999997
102,102,2019-12-22,20.88
103,103,2019-12-29,25.52
104,104,2020-01-05,12.18
105,105,2020-01-12,17.4
106,106,2020-01-19,11.6
107,107,2020-01-26,37.699999999999996
108,108,2020-02-02,25.52
109,109,2020-02-09,20.88
110,110,2020-02-16,20.88
111,111,2020-02-23,20.88
112,112,2020-03-01,17.98
113,113,2020-03-08,22.04
114,114,2020-03-15,31.9
115,115,2020-03-22,53.94
116,116,2020-03-29,26.68
117,117,2020-04-05,57.99999999999999
118,118,2020-04-12,44.66
119,119,2020-04-19,49.3
120,120,2020-04-26,36.54
121,121,2020-05-03,37.699999999999996
122,122,2020-05-10,28.999999999999996
123,123,2020-05-17,35.379999999999995
