,date,means
0,2018-01-07,62.0
1,2018-01-14,43.0
2,2018-01-21,71.0
3,2018-01-28,51.0
4,2018-02-04,43.0
5,2018-02-11,68.0
6,2018-02-18,85.0
7,2018-02-25,92.0
8,2018-03-04,43.0
9,2018-03-11,66.0
10,2018-03-18,41.0
11,2018-03-25,81.0
12,2018-04-01,48.0
13,2018-04-08,42.0
14,2018-04-15,75.0
15,2018-04-22,29.0
16,2018-04-29,41.0
17,2018-05-06,52.0
18,2018-05-13,66.0
19,2018-05-20,46.0
20,2018-05-27,31.0
21,2018-06-03,40.0
22,2018-06-10,37.0
23,2018-06-17,60.0
24,2018-06-24,36.0
25,2018-07-01,25.0
26,2018-07-08,63.0
27,2018-07-15,72.0
28,2018-07-22,38.0
29,2018-07-29,38.0
30,2018-08-05,62.0
31,2018-08-12,39.0
32,2018-08-19,64.0
33,2018-08-26,79.0
34,2018-09-02,50.0
35,2018-09-09,53.0
36,2018-09-16,55.0
37,2018-09-23,100.0
38,2018-09-30,82.0
39,2018-10-07,89.0
40,2018-10-14,43.0
41,2018-10-21,48.0
42,2018-10-28,91.0
43,2018-11-04,67.0
44,2018-11-11,71.0
45,2018-11-18,52.0
46,2018-11-25,51.0
47,2018-12-02,62.0
48,2018-12-09,70.0
49,2018-12-16,70.0
50,2018-12-23,40.0
51,2018-12-30,42.0
52,2019-01-06,55.0
53,2019-01-13,71.0
54,2019-01-20,46.0
55,2019-01-27,59.0
56,2019-02-03,35.0
57,2019-02-10,52.0
58,2019-02-17,41.0
59,2019-02-24,68.0
60,2019-03-03,46.0
61,2019-03-10,65.0
62,2019-03-17,63.0
63,2019-03-24,43.0
64,2019-03-31,74.0
65,2019-04-07,44.0
66,2019-04-14,49.0
67,2019-04-21,40.0
68,2019-04-28,53.0
69,2019-05-05,54.0
70,2019-05-12,47.0
71,2019-05-19,52.0
72,2019-05-26,65.0
73,2019-06-02,56.0
74,2019-06-09,35.0
75,2019-06-16,37.0
76,2019-06-23,64.0
77,2019-06-30,71.0
78,2019-07-07,43.0
79,2019-07-14,31.0
80,2019-07-21,37.0
81,2019-07-28,73.0
82,2019-08-04,73.0
83,2019-08-11,29.0
84,2019-08-18,47.0
85,2019-08-25,42.0
86,2019-09-01,49.0
87,2019-09-08,86.0
88,2019-09-15,43.0
89,2019-09-22,59.0
90,2019-09-29,67.0
91,2019-10-06,56.0
92,2019-10-13,49.0
93,2019-10-20,83.0
94,2019-10-27,82.0
95,2019-11-03,63.0
96,2019-11-10,49.0
97,2019-11-17,76.0
98,2019-11-24,60.0
99,2019-12-01,79.0
100,2019-12-08,79.0
101,2019-12-15,42.0
102,2019-12-22,44.0
103,2019-12-29,59.0
104,2020-01-05,41.0
105,2020-01-12,58.0
106,2020-01-19,67.0
107,2020-01-26,46.0
108,2020-02-02,57.0
109,2020-02-09,73.0
110,2020-02-16,48.0
111,2020-02-23,55.0
112,2020-03-01,55.0
113,2020-03-08,43.0
114,2020-03-15,24.0
115,2020-03-22,27.0
116,2020-03-29,46.0
117,2020-04-05,37.0
118,2020-04-12,46.0
119,2020-04-19,35.0
120,2020-04-26,23.0
121,2020-05-03,66.0
122,2020-05-10,42.0
123,2020-05-17,51.0
