,date,means
0,2018-01-07,30.0
1,2018-01-14,20.0
2,2018-01-21,34.0
3,2018-01-28,22.0
4,2018-02-04,21.0
5,2018-02-11,40.0
6,2018-02-18,43.0
7,2018-02-25,47.0
8,2018-03-04,63.0
9,2018-03-11,39.0
10,2018-03-18,39.0
11,2018-03-25,72.0
12,2018-04-01,51.0
13,2018-04-08,43.0
14,2018-04-15,54.0
15,2018-04-22,61.0
16,2018-04-29,76.0
17,2018-05-06,83.0
18,2018-05-13,57.0
19,2018-05-20,36.0
20,2018-05-27,42.0
21,2018-06-03,41.0
22,2018-06-10,30.0
23,2018-06-17,44.0
24,2018-06-24,67.0
25,2018-07-01,53.0
26,2018-07-08,59.0
27,2018-07-15,37.0
28,2018-07-22,60.0
29,2018-07-29,40.0
30,2018-08-05,26.0
31,2018-08-12,63.0
32,2018-08-19,18.0
33,2018-08-26,43.0
34,2018-09-02,19.0
35,2018-09-09,44.0
36,2018-09-16,47.0
37,2018-09-23,31.0
38,2018-09-30,28.0
39,2018-10-07,29.0
40,2018-10-14,21.0
41,2018-10-21,24.0
42,2018-10-28,35.0
43,2018-11-04,27.0
44,2018-11-11,0.0
45,2018-11-18,15.0
46,2018-11-25,17.0
47,2018-12-02,17.0
48,2018-12-09,7.0
49,2018-12-16,9.0
50,2018-12-23,8.0
51,2018-12-30,26.0
52,2019-01-06,28.0
53,2019-01-13,26.0
54,2019-01-20,7.0
55,2019-01-27,28.0
56,2019-02-03,26.0
57,2019-02-10,39.0
58,2019-02-17,28.0
59,2019-02-24,51.0
60,2019-03-03,16.0
61,2019-03-10,35.0
62,2019-03-17,45.0
63,2019-03-24,56.0
64,2019-03-31,60.0
65,2019-04-07,81.0
66,2019-04-14,56.0
67,2019-04-21,42.0
68,2019-04-28,35.0
69,2019-05-05,56.0
70,2019-05-12,55.0
71,2019-05-19,50.0
72,2019-05-26,41.0
73,2019-06-02,37.0
74,2019-06-09,46.0
75,2019-06-16,70.0
76,2019-06-23,55.0
77,2019-06-30,68.0
78,2019-07-07,47.0
79,2019-07-14,20.0
80,2019-07-21,49.0
81,2019-07-28,22.0
82,2019-08-04,43.0
83,2019-08-11,24.0
84,2019-08-18,46.0
85,2019-08-25,31.0
86,2019-09-01,15.0
87,2019-09-08,45.0
88,2019-09-15,32.0
89,2019-09-22,26.0
90,2019-09-29,12.0
91,2019-10-06,35.0
92,2019-10-13,38.0
93,2019-10-20,32.0
94,2019-10-27,19.0
95,2019-11-03,27.0
96,2019-11-10,36.0
97,2019-11-17,24.0
98,2019-11-24,28.0
99,2019-12-01,33.0
100,2019-12-08,17.0
101,2019-12-15,7.0
102,2019-12-22,7.0
103,2019-12-29,23.0
104,2020-01-05,15.0
105,2020-01-12,58.0
106,2020-01-19,24.0
107,2020-01-26,26.0
108,2020-02-02,27.0
109,2020-02-09,12.0
110,2020-02-16,21.0
111,2020-02-23,29.0
112,2020-03-01,23.0
113,2020-03-08,36.0
114,2020-03-15,55.0
115,2020-03-22,37.0
116,2020-03-29,69.0
117,2020-04-05,78.0
118,2020-04-12,85.0
119,2020-04-19,89.0
120,2020-04-26,64.0
121,2020-05-03,46.0
122,2020-05-10,55.0
123,2020-05-17,100.0
