,Unnamed: 0,date,means
0,0,2018-01-07,33.37
1,1,2018-01-14,41.89
2,2,2018-01-21,44.019999999999996
3,3,2018-01-28,26.27
4,4,2018-02-04,63.19
5,5,2018-02-11,44.019999999999996
6,6,2018-02-18,43.309999999999995
7,7,2018-02-25,37.629999999999995
8,8,2018-03-04,32.66
9,9,2018-03-11,29.11
10,10,2018-03-18,53.25
11,11,2018-03-25,56.8
12,12,2018-04-01,24.14
13,13,2018-04-08,44.73
14,14,2018-04-15,31.95
15,15,2018-04-22,36.92
16,16,2018-04-29,7.81
17,17,2018-05-06,31.24
18,18,2018-05-13,54.669999999999995
19,19,2018-05-20,40.47
20,20,2018-05-27,58.93
21,21,2018-06-03,59.64
22,22,2018-06-10,35.5
23,23,2018-06-17,66.03
24,24,2018-06-24,40.47
25,25,2018-07-01,63.9
26,26,2018-07-08,36.92
27,27,2018-07-15,22.72
28,28,2018-07-22,27.689999999999998
29,29,2018-07-29,25.56
30,30,2018-08-05,22.72
31,31,2018-08-12,20.59
32,32,2018-08-19,33.37
33,33,2018-08-26,32.66
34,34,2018-09-02,44.019999999999996
35,35,2018-09-09,49.699999999999996
36,36,2018-09-16,63.19
37,37,2018-09-23,59.64
38,38,2018-09-30,13.489999999999998
39,39,2018-10-07,22.009999999999998
40,40,2018-10-14,41.89
41,41,2018-10-21,47.57
42,42,2018-10-28,19.169999999999998
43,43,2018-11-04,59.64
44,44,2018-11-11,34.79
45,45,2018-11-18,71.0
46,46,2018-11-25,46.86
47,47,2018-12-02,44.73
48,48,2018-12-09,21.299999999999997
49,49,2018-12-16,31.24
50,50,2018-12-23,28.4
51,51,2018-12-30,48.28
52,52,2019-01-06,29.82
53,53,2019-01-13,34.79
54,54,2019-01-20,51.83
55,55,2019-01-27,19.169999999999998
56,56,2019-02-03,39.76
57,57,2019-02-10,37.629999999999995
58,58,2019-02-17,26.979999999999997
59,59,2019-02-24,53.25
60,60,2019-03-03,29.11
61,61,2019-03-10,51.12
62,62,2019-03-17,21.299999999999997
63,63,2019-03-24,41.18
64,64,2019-03-31,47.57
65,65,2019-04-07,22.009999999999998
66,66,2019-04-14,41.89
67,67,2019-04-21,39.76
68,68,2019-04-28,7.1
69,69,2019-05-05,10.649999999999999
70,70,2019-05-12,36.21
71,71,2019-05-19,33.37
72,72,2019-05-26,29.11
73,73,2019-06-02,53.959999999999994
74,74,2019-06-09,30.529999999999998
75,75,2019-06-16,34.08
76,76,2019-06-23,48.989999999999995
77,77,2019-06-30,25.56
78,78,2019-07-07,20.59
79,79,2019-07-14,5.68
80,80,2019-07-21,53.25
81,81,2019-07-28,36.21
82,82,2019-08-04,35.5
83,83,2019-08-11,34.08
84,84,2019-08-18,31.95
85,85,2019-08-25,57.51
86,86,2019-09-01,61.769999999999996
87,87,2019-09-08,45.44
88,88,2019-09-15,47.57
89,89,2019-09-22,39.76
90,90,2019-09-29,26.27
91,91,2019-10-06,27.689999999999998
92,92,2019-10-13,19.169999999999998
93,93,2019-10-20,39.76
94,94,2019-10-27,23.43
95,95,2019-11-03,43.309999999999995
96,96,2019-11-10,41.18
97,97,2019-11-17,53.25
98,98,2019-11-24,39.76
99,99,2019-12-01,39.05
100,100,2019-12-08,45.44
101,101,2019-12-15,36.92
102,102,2019-12-22,26.27
103,103,2019-12-29,17.04
104,104,2020-01-05,13.489999999999998
105,105,2020-01-12,34.79
106,106,2020-01-19,42.599999999999994
107,107,2020-01-26,22.009999999999998
108,108,2020-02-02,36.21
109,109,2020-02-09,26.979999999999997
110,110,2020-02-16,34.79
111,111,2020-02-23,45.44
112,112,2020-03-01,40.47
113,113,2020-03-08,39.05
114,114,2020-03-15,30.529999999999998
115,115,2020-03-22,27.689999999999998
116,116,2020-03-29,64.61
117,117,2020-04-05,44.019999999999996
118,118,2020-04-12,43.309999999999995
119,119,2020-04-19,24.14
120,120,2020-04-26,44.73
121,121,2020-05-03,52.54
122,122,2020-05-10,15.62
123,123,2020-05-17,26.979999999999997
