,date,means
0,2018-01-07,26.0
1,2018-01-14,28.0
2,2018-01-21,32.0
3,2018-01-28,29.0
4,2018-02-04,32.0
5,2018-02-11,37.0
6,2018-02-18,28.0
7,2018-02-25,27.0
8,2018-03-04,9.0
9,2018-03-11,22.0
10,2018-03-18,23.0
11,2018-03-25,8.0
12,2018-04-01,36.0
13,2018-04-08,22.0
14,2018-04-15,28.0
15,2018-04-22,32.0
16,2018-04-29,20.0
17,2018-05-06,43.0
18,2018-05-13,6.0
19,2018-05-20,23.0
20,2018-05-27,26.0
21,2018-06-03,75.0
22,2018-06-10,21.0
23,2018-06-17,44.0
24,2018-06-24,10.0
25,2018-07-01,19.0
26,2018-07-08,39.0
27,2018-07-15,65.0
28,2018-07-22,28.0
29,2018-07-29,6.0
30,2018-08-05,5.0
31,2018-08-12,12.0
32,2018-08-19,51.0
33,2018-08-26,10.0
34,2018-09-02,27.0
35,2018-09-09,33.0
36,2018-09-16,40.0
37,2018-09-23,39.0
38,2018-09-30,65.0
39,2018-10-07,24.0
40,2018-10-14,12.0
41,2018-10-21,18.0
42,2018-10-28,7.0
43,2018-11-04,33.0
44,2018-11-11,34.0
45,2018-11-18,25.0
46,2018-11-25,70.0
47,2018-12-02,61.0
48,2018-12-09,38.0
49,2018-12-16,37.0
50,2018-12-23,52.0
51,2018-12-30,47.0
52,2019-01-06,11.0
53,2019-01-13,10.0
54,2019-01-20,52.0
55,2019-01-27,30.0
56,2019-02-03,28.0
57,2019-02-10,30.0
58,2019-02-17,24.0
59,2019-02-24,28.0
60,2019-03-03,30.0
61,2019-03-10,25.0
62,2019-03-17,28.0
63,2019-03-24,10.0
64,2019-03-31,12.0
65,2019-04-07,11.0
66,2019-04-14,27.0
67,2019-04-21,53.0
68,2019-04-28,8.0
69,2019-05-05,16.0
70,2019-05-12,27.0
71,2019-05-19,21.0
72,2019-05-26,22.0
73,2019-06-02,37.0
74,2019-06-09,24.0
75,2019-06-16,57.0
76,2019-06-23,5.0
77,2019-06-30,7.0
78,2019-07-07,30.0
79,2019-07-14,20.0
80,2019-07-21,25.0
81,2019-07-28,38.0
82,2019-08-04,25.0
83,2019-08-11,39.0
84,2019-08-18,9.0
85,2019-08-25,32.0
86,2019-09-01,39.0
87,2019-09-08,50.0
88,2019-09-15,23.0
89,2019-09-22,24.0
90,2019-09-29,21.0
91,2019-10-06,52.0
92,2019-10-13,14.0
93,2019-10-20,26.0
94,2019-10-27,38.0
95,2019-11-03,37.0
96,2019-11-10,16.0
97,2019-11-17,51.0
98,2019-11-24,36.0
99,2019-12-01,11.0
100,2019-12-08,22.0
101,2019-12-15,23.0
102,2019-12-22,17.0
103,2019-12-29,8.0
104,2020-01-05,10.0
105,2020-01-12,22.0
106,2020-01-19,20.0
107,2020-01-26,28.0
108,2020-02-02,22.0
109,2020-02-09,21.0
110,2020-02-16,31.0
111,2020-02-23,23.0
112,2020-03-01,42.0
113,2020-03-08,35.0
114,2020-03-15,73.0
115,2020-03-22,53.0
116,2020-03-29,64.0
117,2020-04-05,55.0
118,2020-04-12,100.0
119,2020-04-19,18.0
120,2020-04-26,49.0
121,2020-05-03,45.0
122,2020-05-10,40.0
123,2020-05-17,58.0
