,date,means
0,2018-01-07,31.0
1,2018-01-14,26.0
2,2018-01-21,35.0
3,2018-01-28,51.0
4,2018-02-04,12.0
5,2018-02-11,29.0
6,2018-02-18,39.0
7,2018-02-25,20.0
8,2018-03-04,47.0
9,2018-03-11,27.0
10,2018-03-18,12.0
11,2018-03-25,32.0
12,2018-04-01,12.0
13,2018-04-08,55.0
14,2018-04-15,23.0
15,2018-04-22,32.0
16,2018-04-29,29.0
17,2018-05-06,55.0
18,2018-05-13,35.0
19,2018-05-20,50.0
20,2018-05-27,55.0
21,2018-06-03,35.0
22,2018-06-10,38.0
23,2018-06-17,18.0
24,2018-06-24,43.0
25,2018-07-01,61.0
26,2018-07-08,54.0
27,2018-07-15,14.0
28,2018-07-22,48.0
29,2018-07-29,33.0
30,2018-08-05,13.0
31,2018-08-12,16.0
32,2018-08-19,13.0
33,2018-08-26,17.0
34,2018-09-02,49.0
35,2018-09-09,48.0
36,2018-09-16,41.0
37,2018-09-23,14.0
38,2018-09-30,35.0
39,2018-10-07,7.0
40,2018-10-14,47.0
41,2018-10-21,28.0
42,2018-10-28,20.0
43,2018-11-04,13.0
44,2018-11-11,51.0
45,2018-11-18,53.0
46,2018-11-25,38.0
47,2018-12-02,7.0
48,2018-12-09,10.0
49,2018-12-16,29.0
50,2018-12-23,39.0
51,2018-12-30,30.0
52,2019-01-06,20.0
53,2019-01-13,60.0
54,2019-01-20,56.0
55,2019-01-27,13.0
56,2019-02-03,33.0
57,2019-02-10,61.0
58,2019-02-17,22.0
59,2019-02-24,54.0
60,2019-03-03,45.0
61,2019-03-10,37.0
62,2019-03-17,73.0
63,2019-03-24,55.0
64,2019-03-31,70.0
65,2019-04-07,42.0
66,2019-04-14,48.0
67,2019-04-21,63.0
68,2019-04-28,29.0
69,2019-05-05,10.0
70,2019-05-12,48.0
71,2019-05-19,17.0
72,2019-05-26,7.0
73,2019-06-02,49.0
74,2019-06-09,19.0
75,2019-06-16,10.0
76,2019-06-23,57.0
77,2019-06-30,58.0
78,2019-07-07,37.0
79,2019-07-14,22.0
80,2019-07-21,12.0
81,2019-07-28,10.0
82,2019-08-04,37.0
83,2019-08-11,9.0
84,2019-08-18,39.0
85,2019-08-25,18.0
86,2019-09-01,18.0
87,2019-09-08,24.0
88,2019-09-15,31.0
89,2019-09-22,100.0
90,2019-09-29,52.0
91,2019-10-06,18.0
92,2019-10-13,38.0
93,2019-10-20,15.0
94,2019-10-27,20.0
95,2019-11-03,86.0
96,2019-11-10,37.0
97,2019-11-17,57.0
98,2019-11-24,20.0
99,2019-12-01,31.0
100,2019-12-08,18.0
101,2019-12-15,29.0
102,2019-12-22,6.0
103,2019-12-29,26.0
104,2020-01-05,29.0
105,2020-01-12,36.0
106,2020-01-19,61.0
107,2020-01-26,44.0
108,2020-02-02,43.0
109,2020-02-09,53.0
110,2020-02-16,51.0
111,2020-02-23,49.0
112,2020-03-01,47.0
113,2020-03-08,29.0
114,2020-03-15,17.0
115,2020-03-22,10.0
116,2020-03-29,48.0
117,2020-04-05,45.0
118,2020-04-12,44.0
119,2020-04-19,14.0
120,2020-04-26,35.0
121,2020-05-03,49.0
122,2020-05-10,53.0
123,2020-05-17,94.0
