,Unnamed: 0,date,means
0,0,2018-01-07,21.76
1,1,2018-01-14,24.32
2,2,2018-01-21,30.72
3,3,2018-01-28,24.32
4,4,2018-02-04,32.64
5,5,2018-02-11,32.64
6,6,2018-02-18,36.480000000000004
7,7,2018-02-25,44.160000000000004
8,8,2018-03-04,33.92
9,9,2018-03-11,23.04
10,10,2018-03-18,32.0
11,11,2018-03-25,26.88
12,12,2018-04-01,36.480000000000004
13,13,2018-04-08,30.080000000000002
14,14,2018-04-15,37.76
15,15,2018-04-22,35.84
16,16,2018-04-29,31.36
17,17,2018-05-06,31.36
18,18,2018-05-13,28.8
19,19,2018-05-20,44.800000000000004
20,20,2018-05-27,64.0
21,21,2018-06-03,30.080000000000002
22,22,2018-06-10,39.04
23,23,2018-06-17,23.68
24,24,2018-06-24,35.84
25,25,2018-07-01,32.0
26,26,2018-07-08,28.16
27,27,2018-07-15,28.8
28,28,2018-07-22,28.8
29,29,2018-07-29,38.4
30,30,2018-08-05,35.84
31,31,2018-08-12,39.04
32,32,2018-08-19,32.0
33,33,2018-08-26,35.84
34,34,2018-09-02,19.2
35,35,2018-09-09,36.480000000000004
36,36,2018-09-16,33.92
37,37,2018-09-23,26.88
38,38,2018-09-30,28.16
39,39,2018-10-07,36.480000000000004
40,40,2018-10-14,26.240000000000002
41,41,2018-10-21,23.68
42,42,2018-10-28,17.28
43,43,2018-11-04,16.64
44,44,2018-11-11,24.32
45,45,2018-11-18,26.240000000000002
46,46,2018-11-25,16.0
47,47,2018-12-02,30.080000000000002
48,48,2018-12-09,16.64
49,49,2018-12-16,14.72
50,50,2018-12-23,22.400000000000002
51,51,2018-12-30,29.44
52,52,2019-01-06,31.36
53,53,2019-01-13,29.44
54,54,2019-01-20,25.6
55,55,2019-01-27,17.28
56,56,2019-02-03,23.68
57,57,2019-02-10,36.480000000000004
58,58,2019-02-17,31.36
59,59,2019-02-24,36.480000000000004
60,60,2019-03-03,32.0
61,61,2019-03-10,23.04
62,62,2019-03-17,26.240000000000002
63,63,2019-03-24,33.28
64,64,2019-03-31,31.36
65,65,2019-04-07,24.96
66,66,2019-04-14,23.68
67,67,2019-04-21,44.800000000000004
68,68,2019-04-28,34.56
69,69,2019-05-05,30.080000000000002
70,70,2019-05-12,32.64
71,71,2019-05-19,35.2
72,72,2019-05-26,34.56
73,73,2019-06-02,33.28
74,74,2019-06-09,31.36
75,75,2019-06-16,30.72
76,76,2019-06-23,26.240000000000002
77,77,2019-06-30,30.72
78,78,2019-07-07,28.8
79,79,2019-07-14,28.8
80,80,2019-07-21,28.8
81,81,2019-07-28,21.76
82,82,2019-08-04,34.56
83,83,2019-08-11,26.240000000000002
84,84,2019-08-18,35.84
85,85,2019-08-25,31.36
86,86,2019-09-01,25.6
87,87,2019-09-08,32.64
88,88,2019-09-15,26.88
89,89,2019-09-22,24.96
90,90,2019-09-29,31.36
91,91,2019-10-06,24.32
92,92,2019-10-13,21.12
93,93,2019-10-20,14.72
94,94,2019-10-27,26.240000000000002
95,95,2019-11-03,21.12
96,96,2019-11-10,17.28
97,97,2019-11-17,18.56
98,98,2019-11-24,26.88
99,99,2019-12-01,29.44
100,100,2019-12-08,18.56
101,101,2019-12-15,17.28
102,102,2019-12-22,26.240000000000002
103,103,2019-12-29,25.6
104,104,2020-01-05,19.84
105,105,2020-01-12,26.240000000000002
106,106,2020-01-19,20.48
107,107,2020-01-26,24.32
108,108,2020-02-02,29.44
109,109,2020-02-09,49.28
110,110,2020-02-16,31.36
111,111,2020-02-23,37.76
112,112,2020-03-01,38.4
113,113,2020-03-08,19.84
114,114,2020-03-15,8.96
115,115,2020-03-22,12.16
116,116,2020-03-29,16.64
117,117,2020-04-05,24.32
118,118,2020-04-12,12.8
