,Unnamed: 0,date,means
0,0,2018-01-07,18.919999999999998
1,1,2018-01-14,18.06
2,2,2018-01-21,25.37
3,3,2018-01-28,9.89
4,4,2018-02-04,30.099999999999998
5,5,2018-02-11,19.35
6,6,2018-02-18,23.65
7,7,2018-02-25,27.52
8,8,2018-03-04,14.62
9,9,2018-03-11,21.5
10,10,2018-03-18,19.35
11,11,2018-03-25,9.03
12,12,2018-04-01,21.93
13,13,2018-04-08,17.63
14,14,2018-04-15,6.45
15,15,2018-04-22,14.62
16,16,2018-04-29,26.66
17,17,2018-05-06,1.72
18,18,2018-05-13,22.36
19,19,2018-05-20,12.9
20,20,2018-05-27,17.63
21,21,2018-06-03,24.94
22,22,2018-06-10,17.2
23,23,2018-06-17,9.03
24,24,2018-06-24,23.22
25,25,2018-07-01,5.16
26,26,2018-07-08,2.58
27,27,2018-07-15,12.9
28,28,2018-07-22,5.16
29,29,2018-07-29,17.63
30,30,2018-08-05,11.18
31,31,2018-08-12,26.23
32,32,2018-08-19,17.2
33,33,2018-08-26,17.2
34,34,2018-09-02,13.76
35,35,2018-09-09,33.11
36,36,2018-09-16,35.69
37,37,2018-09-23,26.66
38,38,2018-09-30,26.23
39,39,2018-10-07,24.08
40,40,2018-10-14,24.08
41,41,2018-10-21,28.81
42,42,2018-10-28,31.39
43,43,2018-11-04,31.39
44,44,2018-11-11,24.509999999999998
45,45,2018-11-18,30.96
46,46,2018-11-25,26.23
47,47,2018-12-02,22.36
48,48,2018-12-09,19.35
49,49,2018-12-16,23.22
50,50,2018-12-23,23.65
51,51,2018-12-30,34.4
52,52,2019-01-06,27.52
53,53,2019-01-13,13.76
54,54,2019-01-20,19.35
55,55,2019-01-27,43.0
56,56,2019-02-03,20.64
57,57,2019-02-10,12.9
58,58,2019-02-17,8.6
59,59,2019-02-24,17.63
60,60,2019-03-03,25.37
61,61,2019-03-10,15.91
62,62,2019-03-17,22.36
63,63,2019-03-24,11.61
64,64,2019-03-31,12.9
65,65,2019-04-07,15.91
66,66,2019-04-14,11.61
67,67,2019-04-21,7.31
68,68,2019-04-28,12.47
69,69,2019-05-05,14.19
70,70,2019-05-12,18.49
71,71,2019-05-19,19.35
72,72,2019-05-26,6.02
73,73,2019-06-02,4.7299999999999995
74,74,2019-06-09,9.459999999999999
75,75,2019-06-16,18.919999999999998
76,76,2019-06-23,8.6
77,77,2019-06-30,9.459999999999999
78,78,2019-07-07,10.32
79,79,2019-07-14,9.459999999999999
80,80,2019-07-21,9.89
81,81,2019-07-28,19.78
82,82,2019-08-04,18.06
83,83,2019-08-11,14.19
84,84,2019-08-18,11.61
85,85,2019-08-25,21.07
86,86,2019-09-01,24.509999999999998
87,87,2019-09-08,25.8
88,88,2019-09-15,19.35
89,89,2019-09-22,22.79
90,90,2019-09-29,41.71
91,91,2019-10-06,29.669999999999998
92,92,2019-10-13,20.21
93,93,2019-10-20,39.99
94,94,2019-10-27,30.099999999999998
95,95,2019-11-03,16.34
96,96,2019-11-10,30.96
97,97,2019-11-17,28.81
98,98,2019-11-24,24.509999999999998
99,99,2019-12-01,33.97
100,100,2019-12-08,21.07
101,101,2019-12-15,25.8
102,102,2019-12-22,25.8
103,103,2019-12-29,27.09
104,104,2020-01-05,18.06
105,105,2020-01-12,26.23
106,106,2020-01-19,29.24
107,107,2020-01-26,25.37
108,108,2020-02-02,14.62
109,109,2020-02-09,20.21
110,110,2020-02-16,21.5
111,111,2020-02-23,17.63
112,112,2020-03-01,16.34
113,113,2020-03-08,16.34
114,114,2020-03-15,6.45
115,115,2020-03-22,14.19
116,116,2020-03-29,15.91
117,117,2020-04-05,9.03
118,118,2020-04-12,9.89
119,119,2020-04-19,10.32
120,120,2020-04-26,12.47
121,121,2020-05-03,18.06
122,122,2020-05-10,19.35
123,123,2020-05-17,18.919999999999998
