,Unnamed: 0,date,means
0,0,2018-01-07,23.36
1,1,2018-01-14,14.72
2,2,2018-01-21,14.72
3,3,2018-01-28,20.48
4,4,2018-02-04,16.0
5,5,2018-02-11,26.240000000000002
6,6,2018-02-18,14.4
7,7,2018-02-25,17.28
8,8,2018-03-04,22.400000000000002
9,9,2018-03-11,22.400000000000002
10,10,2018-03-18,16.96
11,11,2018-03-25,26.560000000000002
12,12,2018-04-01,16.96
13,13,2018-04-08,14.08
14,14,2018-04-15,15.36
15,15,2018-04-22,15.040000000000001
16,16,2018-04-29,22.72
17,17,2018-05-06,8.0
18,18,2018-05-13,27.84
19,19,2018-05-20,27.2
20,20,2018-05-27,25.92
21,21,2018-06-03,17.28
22,22,2018-06-10,20.8
23,23,2018-06-17,30.080000000000002
24,24,2018-06-24,20.48
25,25,2018-07-01,13.76
26,26,2018-07-08,21.12
27,27,2018-07-15,20.16
28,28,2018-07-22,16.96
29,29,2018-07-29,14.08
30,30,2018-08-05,19.2
31,31,2018-08-12,16.96
32,32,2018-08-19,16.64
33,33,2018-08-26,22.72
34,34,2018-09-02,8.64
35,35,2018-09-09,24.0
36,36,2018-09-16,17.28
37,37,2018-09-23,20.48
38,38,2018-09-30,18.88
39,39,2018-10-07,16.0
40,40,2018-10-14,16.96
41,41,2018-10-21,13.120000000000001
42,42,2018-10-28,19.52
43,43,2018-11-04,15.36
44,44,2018-11-11,25.28
45,45,2018-11-18,16.32
46,46,2018-11-25,22.080000000000002
47,47,2018-12-02,12.16
48,48,2018-12-09,13.120000000000001
49,49,2018-12-16,22.400000000000002
50,50,2018-12-23,11.84
51,51,2018-12-30,19.2
52,52,2019-01-06,30.080000000000002
53,53,2019-01-13,17.92
54,54,2019-01-20,14.4
55,55,2019-01-27,19.84
56,56,2019-02-03,24.96
57,57,2019-02-10,18.56
58,58,2019-02-17,25.6
59,59,2019-02-24,18.56
60,60,2019-03-03,22.72
61,61,2019-03-10,13.76
62,62,2019-03-17,24.0
63,63,2019-03-24,19.52
64,64,2019-03-31,25.28
65,65,2019-04-07,23.36
66,66,2019-04-14,22.080000000000002
67,67,2019-04-21,21.44
68,68,2019-04-28,20.16
69,69,2019-05-05,18.56
70,70,2019-05-12,16.0
71,71,2019-05-19,17.92
72,72,2019-05-26,15.040000000000001
73,73,2019-06-02,28.48
74,74,2019-06-09,19.52
75,75,2019-06-16,21.44
76,76,2019-06-23,18.240000000000002
77,77,2019-06-30,18.88
78,78,2019-07-07,23.36
79,79,2019-07-14,19.52
80,80,2019-07-21,10.88
81,81,2019-07-28,16.64
82,82,2019-08-04,14.4
83,83,2019-08-11,16.64
84,84,2019-08-18,16.32
85,85,2019-08-25,18.240000000000002
86,86,2019-09-01,16.64
87,87,2019-09-08,23.68
88,88,2019-09-15,22.400000000000002
89,89,2019-09-22,19.2
90,90,2019-09-29,19.2
91,91,2019-10-06,25.28
92,92,2019-10-13,19.84
93,93,2019-10-20,15.68
94,94,2019-10-27,21.76
95,95,2019-11-03,19.2
96,96,2019-11-10,8.96
97,97,2019-11-17,23.36
98,98,2019-11-24,16.0
99,99,2019-12-01,18.240000000000002
100,100,2019-12-08,18.88
101,101,2019-12-15,16.96
102,102,2019-12-22,13.120000000000001
103,103,2019-12-29,12.48
104,104,2020-01-05,13.44
105,105,2020-01-12,24.32
106,106,2020-01-19,22.400000000000002
107,107,2020-01-26,21.76
108,108,2020-02-02,24.96
109,109,2020-02-09,20.16
110,110,2020-02-16,10.88
111,111,2020-02-23,17.28
112,112,2020-03-01,13.76
113,113,2020-03-08,19.2
114,114,2020-03-15,17.28
115,115,2020-03-22,18.56
116,116,2020-03-29,21.44
117,117,2020-04-05,20.8
118,118,2020-04-12,20.16
119,119,2020-04-19,19.2
120,120,2020-04-26,19.52
121,121,2020-05-03,24.64
122,122,2020-05-10,19.84
123,123,2020-05-17,32.0
