,date,means
0,2018-01-07,27.0
1,2018-01-14,55.0
2,2018-01-21,41.0
3,2018-01-28,11.0
4,2018-02-04,35.0
5,2018-02-11,66.0
6,2018-02-18,19.0
7,2018-02-25,73.0
8,2018-03-04,56.0
9,2018-03-11,35.0
10,2018-03-18,39.0
11,2018-03-25,43.0
12,2018-04-01,24.0
13,2018-04-08,51.0
14,2018-04-15,8.0
15,2018-04-22,15.0
16,2018-04-29,42.0
17,2018-05-06,38.0
18,2018-05-13,22.0
19,2018-05-20,47.0
20,2018-05-27,43.0
21,2018-06-03,40.0
22,2018-06-10,59.0
23,2018-06-17,73.0
24,2018-06-24,40.0
25,2018-07-01,26.0
26,2018-07-08,55.0
27,2018-07-15,66.0
28,2018-07-22,45.0
29,2018-07-29,58.0
30,2018-08-05,55.0
31,2018-08-12,13.0
32,2018-08-19,49.0
33,2018-08-26,64.0
34,2018-09-02,27.0
35,2018-09-09,34.0
36,2018-09-16,24.0
37,2018-09-23,44.0
38,2018-09-30,42.0
39,2018-10-07,24.0
40,2018-10-14,7.0
41,2018-10-21,67.0
42,2018-10-28,39.0
43,2018-11-04,24.0
44,2018-11-11,52.0
45,2018-11-18,62.0
46,2018-11-25,26.0
47,2018-12-02,7.0
48,2018-12-09,34.0
49,2018-12-16,37.0
50,2018-12-23,28.0
51,2018-12-30,23.0
52,2019-01-06,27.0
53,2019-01-13,49.0
54,2019-01-20,100.0
55,2019-01-27,54.0
56,2019-02-03,32.0
57,2019-02-10,38.0
58,2019-02-17,25.0
59,2019-02-24,27.0
60,2019-03-03,47.0
61,2019-03-10,35.0
62,2019-03-17,7.0
63,2019-03-24,40.0
64,2019-03-31,41.0
65,2019-04-07,22.0
66,2019-04-14,8.0
67,2019-04-21,14.0
68,2019-04-28,48.0
69,2019-05-05,41.0
70,2019-05-12,54.0
71,2019-05-19,42.0
72,2019-05-26,13.0
73,2019-06-02,7.0
74,2019-06-09,14.0
75,2019-06-16,10.0
76,2019-06-23,72.0
77,2019-06-30,49.0
78,2019-07-07,67.0
79,2019-07-14,61.0
80,2019-07-21,28.0
81,2019-07-28,42.0
82,2019-08-04,31.0
83,2019-08-11,72.0
84,2019-08-18,25.0
85,2019-08-25,45.0
86,2019-09-01,24.0
87,2019-09-08,36.0
88,2019-09-15,49.0
89,2019-09-22,7.0
90,2019-09-29,38.0
91,2019-10-06,24.0
92,2019-10-13,34.0
93,2019-10-20,87.0
94,2019-10-27,24.0
95,2019-11-03,19.0
96,2019-11-10,19.0
97,2019-11-17,29.0
98,2019-11-24,38.0
99,2019-12-01,94.0
100,2019-12-08,66.0
101,2019-12-15,32.0
102,2019-12-22,22.0
103,2019-12-29,44.0
104,2020-01-05,19.0
105,2020-01-12,33.0
106,2020-01-19,27.0
107,2020-01-26,41.0
108,2020-02-02,48.0
109,2020-02-09,27.0
110,2020-02-16,10.0
111,2020-02-23,22.0
112,2020-03-01,21.0
113,2020-03-08,39.0
114,2020-03-15,25.0
115,2020-03-22,41.0
116,2020-03-29,18.0
117,2020-04-05,12.0
118,2020-04-12,23.0
119,2020-04-19,33.0
120,2020-04-26,30.0
121,2020-05-03,41.0
122,2020-05-10,27.0
