,Unnamed: 0,date,means
0,0,2018-01-07,39.68
1,1,2018-01-14,42.88
2,2,2018-01-21,45.44
3,3,2018-01-28,40.32
4,4,2018-02-04,46.72
5,5,2018-02-11,46.72
6,6,2018-02-18,37.12
7,7,2018-02-25,42.24
8,8,2018-03-04,37.12
9,9,2018-03-11,49.28
10,10,2018-03-18,38.4
11,11,2018-03-25,41.6
12,12,2018-04-01,46.08
13,13,2018-04-08,44.800000000000004
14,14,2018-04-15,53.120000000000005
15,15,2018-04-22,46.08
16,16,2018-04-29,40.32
17,17,2018-05-06,37.12
18,18,2018-05-13,40.96
19,19,2018-05-20,37.76
20,20,2018-05-27,33.92
21,21,2018-06-03,35.2
22,22,2018-06-10,50.56
23,23,2018-06-17,32.0
24,24,2018-06-24,35.84
25,25,2018-07-01,37.76
26,26,2018-07-08,35.84
27,27,2018-07-15,50.56
28,28,2018-07-22,33.92
29,29,2018-07-29,39.04
30,30,2018-08-05,35.84
31,31,2018-08-12,44.800000000000004
32,32,2018-08-19,37.76
33,33,2018-08-26,49.92
34,34,2018-09-02,49.28
35,35,2018-09-09,40.96
36,36,2018-09-16,49.92
37,37,2018-09-23,40.96
38,38,2018-09-30,46.08
39,39,2018-10-07,44.160000000000004
40,40,2018-10-14,43.52
41,41,2018-10-21,39.04
42,42,2018-10-28,35.84
43,43,2018-11-04,35.2
44,44,2018-11-11,37.76
45,45,2018-11-18,39.68
46,46,2018-11-25,33.92
47,47,2018-12-02,35.84
48,48,2018-12-09,35.84
49,49,2018-12-16,32.64
50,50,2018-12-23,31.36
51,51,2018-12-30,38.4
52,52,2019-01-06,40.32
53,53,2019-01-13,36.480000000000004
54,54,2019-01-20,38.4
55,55,2019-01-27,37.12
56,56,2019-02-03,37.12
57,57,2019-02-10,40.96
58,58,2019-02-17,45.44
59,59,2019-02-24,37.12
60,60,2019-03-03,42.88
61,61,2019-03-10,44.800000000000004
62,62,2019-03-17,42.88
63,63,2019-03-24,52.480000000000004
64,64,2019-03-31,46.08
65,65,2019-04-07,42.88
66,66,2019-04-14,41.6
67,67,2019-04-21,44.160000000000004
68,68,2019-04-28,36.480000000000004
69,69,2019-05-05,37.12
70,70,2019-05-12,36.480000000000004
71,71,2019-05-19,38.4
72,72,2019-05-26,43.52
73,73,2019-06-02,41.6
74,74,2019-06-09,38.4
75,75,2019-06-16,42.88
76,76,2019-06-23,51.84
77,77,2019-06-30,34.56
78,78,2019-07-07,38.4
79,79,2019-07-14,55.04
80,80,2019-07-21,29.44
81,81,2019-07-28,32.64
82,82,2019-08-04,40.32
83,83,2019-08-11,35.2
84,84,2019-08-18,44.160000000000004
85,85,2019-08-25,46.08
86,86,2019-09-01,37.12
87,87,2019-09-08,43.52
88,88,2019-09-15,40.96
89,89,2019-09-22,49.92
90,90,2019-09-29,34.56
91,91,2019-10-06,36.480000000000004
92,92,2019-10-13,40.96
93,93,2019-10-20,43.52
94,94,2019-10-27,44.160000000000004
95,95,2019-11-03,42.88
96,96,2019-11-10,37.12
97,97,2019-11-17,39.68
98,98,2019-11-24,37.12
99,99,2019-12-01,30.72
100,100,2019-12-08,33.92
101,101,2019-12-15,35.84
102,102,2019-12-22,31.36
103,103,2019-12-29,40.96
104,104,2020-01-05,49.28
105,105,2020-01-12,35.2
106,106,2020-01-19,37.76
107,107,2020-01-26,40.96
108,108,2020-02-02,36.480000000000004
109,109,2020-02-09,47.36
110,110,2020-02-16,35.84
111,111,2020-02-23,37.76
112,112,2020-03-01,46.08
113,113,2020-03-08,33.28
114,114,2020-03-15,34.56
115,115,2020-03-22,41.6
116,116,2020-03-29,40.96
117,117,2020-04-05,50.56
118,118,2020-04-12,44.160000000000004
119,119,2020-04-19,49.92
120,120,2020-04-26,50.56
121,121,2020-05-03,46.08
122,122,2020-05-10,43.52
123,123,2020-05-17,64.0
