,Unnamed: 0,date,means
0,0,2018-01-07,36.45
1,1,2018-01-14,32.4
2,2,2018-01-21,27.45
3,3,2018-01-28,31.5
4,4,2018-02-04,30.150000000000002
5,5,2018-02-11,30.150000000000002
6,6,2018-02-18,23.85
7,7,2018-02-25,19.8
8,8,2018-03-04,37.800000000000004
9,9,2018-03-11,18.45
10,10,2018-03-18,32.4
11,11,2018-03-25,25.2
12,12,2018-04-01,40.95
13,13,2018-04-08,36.0
14,14,2018-04-15,28.8
15,15,2018-04-22,43.65
16,16,2018-04-29,27.900000000000002
17,17,2018-05-06,21.150000000000002
18,18,2018-05-13,38.25
19,19,2018-05-20,17.55
20,20,2018-05-27,36.45
21,21,2018-06-03,44.550000000000004
22,22,2018-06-10,28.35
23,23,2018-06-17,33.300000000000004
24,24,2018-06-24,33.75
25,25,2018-07-01,32.85
26,26,2018-07-08,26.1
27,27,2018-07-15,28.8
28,28,2018-07-22,39.15
29,29,2018-07-29,34.65
30,30,2018-08-05,19.35
31,31,2018-08-12,43.2
32,32,2018-08-19,43.2
33,33,2018-08-26,34.2
34,34,2018-09-02,28.35
35,35,2018-09-09,31.95
36,36,2018-09-16,41.4
37,37,2018-09-23,19.35
38,38,2018-09-30,36.0
39,39,2018-10-07,32.4
40,40,2018-10-14,39.6
41,41,2018-10-21,34.65
42,42,2018-10-28,39.15
43,43,2018-11-04,30.150000000000002
44,44,2018-11-11,31.95
45,45,2018-11-18,28.8
46,46,2018-11-25,42.75
47,47,2018-12-02,31.05
48,48,2018-12-09,13.5
49,49,2018-12-16,18.900000000000002
50,50,2018-12-23,36.0
51,51,2018-12-30,18.900000000000002
52,52,2019-01-06,20.7
53,53,2019-01-13,31.95
54,54,2019-01-20,30.150000000000002
55,55,2019-01-27,28.8
56,56,2019-02-03,29.25
57,57,2019-02-10,34.2
58,58,2019-02-17,32.85
59,59,2019-02-24,36.9
60,60,2019-03-03,27.45
61,61,2019-03-10,31.5
62,62,2019-03-17,39.6
63,63,2019-03-24,30.150000000000002
64,64,2019-03-31,36.9
65,65,2019-04-07,30.150000000000002
66,66,2019-04-14,26.1
67,67,2019-04-21,30.150000000000002
68,68,2019-04-28,39.15
69,69,2019-05-05,43.65
70,70,2019-05-12,38.25
71,71,2019-05-19,27.45
72,72,2019-05-26,33.300000000000004
73,73,2019-06-02,33.75
74,74,2019-06-09,29.25
75,75,2019-06-16,41.4
76,76,2019-06-23,45.0
77,77,2019-06-30,40.5
78,78,2019-07-07,33.75
79,79,2019-07-14,20.7
80,80,2019-07-21,20.25
81,81,2019-07-28,17.55
82,82,2019-08-04,36.9
83,83,2019-08-11,25.650000000000002
84,84,2019-08-18,37.35
85,85,2019-08-25,42.300000000000004
86,86,2019-09-01,27.900000000000002
87,87,2019-09-08,38.25
88,88,2019-09-15,27.900000000000002
89,89,2019-09-22,34.65
90,90,2019-09-29,39.6
91,91,2019-10-06,40.5
92,92,2019-10-13,38.25
93,93,2019-10-20,24.3
94,94,2019-10-27,22.05
95,95,2019-11-03,29.25
96,96,2019-11-10,43.2
97,97,2019-11-17,32.4
98,98,2019-11-24,33.300000000000004
99,99,2019-12-01,37.35
100,100,2019-12-08,32.4
101,101,2019-12-15,26.55
102,102,2019-12-22,15.3
103,103,2019-12-29,27.0
104,104,2020-01-05,26.1
105,105,2020-01-12,29.7
106,106,2020-01-19,29.25
107,107,2020-01-26,35.550000000000004
108,108,2020-02-02,36.0
109,109,2020-02-09,24.3
110,110,2020-02-16,30.150000000000002
111,111,2020-02-23,18.0
112,112,2020-03-01,28.8
113,113,2020-03-08,36.0
114,114,2020-03-15,22.95
115,115,2020-03-22,29.25
116,116,2020-03-29,26.55
117,117,2020-04-05,30.6
118,118,2020-04-12,21.150000000000002
119,119,2020-04-19,11.700000000000001
120,120,2020-04-26,32.4
121,121,2020-05-03,31.05
122,122,2020-05-10,24.75
