,Unnamed: 0,date,means
0,0,2018-01-07,58.46
1,1,2018-01-14,45.88
2,2,2018-01-21,57.72
3,3,2018-01-28,51.06
4,4,2018-02-04,58.46
5,5,2018-02-11,42.18
6,6,2018-02-18,22.94
7,7,2018-02-25,28.86
8,8,2018-03-04,52.54
9,9,2018-03-11,43.66
10,10,2018-03-18,37.74
11,11,2018-03-25,34.04
12,12,2018-04-01,44.4
13,13,2018-04-08,25.16
14,14,2018-04-15,37.74
15,15,2018-04-22,43.66
16,16,2018-04-29,45.14
17,17,2018-05-06,37.0
18,18,2018-05-13,54.019999999999996
19,19,2018-05-20,38.48
20,20,2018-05-27,56.98
21,21,2018-06-03,27.38
22,22,2018-06-10,31.82
23,23,2018-06-17,48.839999999999996
24,24,2018-06-24,31.82
25,25,2018-07-01,52.54
26,26,2018-07-08,54.019999999999996
27,27,2018-07-15,54.76
28,28,2018-07-22,72.52
29,29,2018-07-29,29.6
30,30,2018-08-05,37.74
31,31,2018-08-12,39.22
32,32,2018-08-19,42.92
33,33,2018-08-26,37.74
34,34,2018-09-02,28.86
35,35,2018-09-09,51.8
36,36,2018-09-16,45.14
37,37,2018-09-23,50.32
38,38,2018-09-30,59.94
39,39,2018-10-07,54.76
40,40,2018-10-14,54.76
41,41,2018-10-21,71.78
42,42,2018-10-28,51.06
43,43,2018-11-04,36.26
44,44,2018-11-11,44.4
45,45,2018-11-18,19.24
46,46,2018-11-25,45.14
47,47,2018-12-02,45.14
48,48,2018-12-09,26.64
49,49,2018-12-16,30.34
50,50,2018-12-23,25.9
51,51,2018-12-30,36.26
52,52,2019-01-06,60.68
53,53,2019-01-13,34.04
54,54,2019-01-20,61.42
55,55,2019-01-27,48.839999999999996
56,56,2019-02-03,25.9
57,57,2019-02-10,50.32
58,58,2019-02-17,54.019999999999996
59,59,2019-02-24,71.78
60,60,2019-03-03,39.96
61,61,2019-03-10,48.1
62,62,2019-03-17,48.839999999999996
63,63,2019-03-24,34.04
64,64,2019-03-31,22.2
65,65,2019-04-07,43.66
66,66,2019-04-14,29.6
67,67,2019-04-21,31.08
68,68,2019-04-28,54.019999999999996
69,69,2019-05-05,59.2
70,70,2019-05-12,53.28
71,71,2019-05-19,57.72
72,72,2019-05-26,43.66
73,73,2019-06-02,37.74
74,74,2019-06-09,65.86
75,75,2019-06-16,52.54
76,76,2019-06-23,39.22
77,77,2019-06-30,48.1
78,78,2019-07-07,60.68
79,79,2019-07-14,45.14
80,80,2019-07-21,31.82
81,81,2019-07-28,42.92
82,82,2019-08-04,42.18
83,83,2019-08-11,51.06
84,84,2019-08-18,43.66
85,85,2019-08-25,74.0
86,86,2019-09-01,45.88
87,87,2019-09-08,70.3
88,88,2019-09-15,37.74
89,89,2019-09-22,63.64
90,90,2019-09-29,39.96
91,91,2019-10-06,60.68
92,92,2019-10-13,37.0
93,93,2019-10-20,52.54
94,94,2019-10-27,62.9
95,95,2019-11-03,51.06
96,96,2019-11-10,41.44
97,97,2019-11-17,41.44
98,98,2019-11-24,51.06
99,99,2019-12-01,57.72
100,100,2019-12-08,47.36
101,101,2019-12-15,62.16
102,102,2019-12-22,33.3
103,103,2019-12-29,33.3
104,104,2020-01-05,59.2
105,105,2020-01-12,46.62
106,106,2020-01-19,42.92
107,107,2020-01-26,71.78
108,108,2020-02-02,36.26
109,109,2020-02-09,45.88
110,110,2020-02-16,30.34
111,111,2020-02-23,45.88
112,112,2020-03-01,48.1
113,113,2020-03-08,42.92
114,114,2020-03-15,48.1
115,115,2020-03-22,51.06
116,116,2020-03-29,37.0
117,117,2020-04-05,61.42
118,118,2020-04-12,70.3
119,119,2020-04-19,34.78
120,120,2020-04-26,51.8
121,121,2020-05-03,49.58
122,122,2020-05-10,62.9
