,Unnamed: 0,date,means
0,0,2018-01-07,29.61
1,1,2018-01-14,25.2
2,2,2018-01-21,63.0
3,3,2018-01-28,31.5
4,4,2018-02-04,13.23
5,5,2018-02-11,52.29
6,6,2018-02-18,25.2
7,7,2018-02-25,19.53
8,8,2018-03-04,37.8
9,9,2018-03-11,12.6
10,10,2018-03-18,13.23
11,11,2018-03-25,13.23
12,12,2018-04-01,12.6
13,13,2018-04-08,19.53
14,14,2018-04-15,20.79
15,15,2018-04-22,26.46
16,16,2018-04-29,13.23
17,17,2018-05-06,41.58
18,18,2018-05-13,13.23
19,19,2018-05-20,13.23
20,20,2018-05-27,12.6
21,21,2018-06-03,0.0
22,22,2018-06-10,11.97
23,23,2018-06-17,18.27
24,24,2018-06-24,25.2
25,25,2018-07-01,23.94
26,26,2018-07-08,10.71
27,27,2018-07-15,27.09
28,28,2018-07-22,14.49
29,29,2018-07-29,23.94
30,30,2018-08-05,9.45
31,31,2018-08-12,14.49
32,32,2018-08-19,16.38
33,33,2018-08-26,30.87
34,34,2018-09-02,12.6
35,35,2018-09-09,18.9
36,36,2018-09-16,18.9
37,37,2018-09-23,25.2
38,38,2018-09-30,25.2
39,39,2018-10-07,13.23
40,40,2018-10-14,25.2
41,41,2018-10-21,24.57
42,42,2018-10-28,12.6
43,43,2018-11-04,42.84
44,44,2018-11-11,31.5
45,45,2018-11-18,11.97
46,46,2018-11-25,25.2
47,47,2018-12-02,44.1
48,48,2018-12-09,12.6
49,49,2018-12-16,12.6
50,50,2018-12-23,18.9
51,51,2018-12-30,22.68
52,52,2019-01-06,17.64
53,53,2019-01-13,11.34
54,54,2019-01-20,23.31
55,55,2019-01-27,41.58
56,56,2019-02-03,30.87
57,57,2019-02-10,62.37
58,58,2019-02-17,11.97
59,59,2019-02-24,18.27
60,60,2019-03-03,23.31
61,61,2019-03-10,11.97
62,62,2019-03-17,42.21
63,63,2019-03-24,18.27
64,64,2019-03-31,12.6
65,65,2019-04-07,24.57
66,66,2019-04-14,25.2
67,67,2019-04-21,29.61
68,68,2019-04-28,11.34
69,69,2019-05-05,23.31
70,70,2019-05-12,29.61
71,71,2019-05-19,35.28
72,72,2019-05-26,17.01
73,73,2019-06-02,11.34
74,74,2019-06-09,22.68
75,75,2019-06-16,34.65
76,76,2019-06-23,57.96
77,77,2019-06-30,27.72
78,78,2019-07-07,0.0
79,79,2019-07-14,22.05
80,80,2019-07-21,44.1
81,81,2019-07-28,10.71
82,82,2019-08-04,16.38
83,83,2019-08-11,10.71
84,84,2019-08-18,11.34
85,85,2019-08-25,55.44
86,86,2019-09-01,21.42
87,87,2019-09-08,32.76
88,88,2019-09-15,16.38
89,89,2019-09-22,44.73
90,90,2019-09-29,16.38
91,91,2019-10-06,16.38
92,92,2019-10-13,10.08
93,93,2019-10-20,20.79
94,94,2019-10-27,10.71
95,95,2019-11-03,20.79
96,96,2019-11-10,26.46
97,97,2019-11-17,15.75
98,98,2019-11-24,10.71
99,99,2019-12-01,27.72
100,100,2019-12-08,0.0
101,101,2019-12-15,22.05
102,102,2019-12-22,11.34
103,103,2019-12-29,10.08
104,104,2020-01-05,15.120000000000001
105,105,2020-01-12,19.53
106,106,2020-01-19,10.08
107,107,2020-01-26,24.57
108,108,2020-02-02,19.53
109,109,2020-02-09,15.75
110,110,2020-02-16,20.79
111,111,2020-02-23,39.69
112,112,2020-03-01,15.120000000000001
113,113,2020-03-08,9.45
114,114,2020-03-15,27.72
115,115,2020-03-22,0.0
116,116,2020-03-29,0.0
117,117,2020-04-05,15.120000000000001
118,118,2020-04-12,19.53
119,119,2020-04-19,13.86
120,120,2020-04-26,13.86
121,121,2020-05-03,18.9
122,122,2020-05-10,18.27
