,Unnamed: 0,date,means
0,0,2018-01-07,28.35
1,1,2018-01-14,41.31
2,2,2018-01-21,40.5
3,3,2018-01-28,24.3
4,4,2018-02-04,39.690000000000005
5,5,2018-02-11,36.45
6,6,2018-02-18,56.7
7,7,2018-02-25,55.89
8,8,2018-03-04,42.93
9,9,2018-03-11,35.64
10,10,2018-03-18,40.5
11,11,2018-03-25,31.590000000000003
12,12,2018-04-01,33.21
13,13,2018-04-08,81.0
14,14,2018-04-15,72.09
15,15,2018-04-22,52.650000000000006
16,16,2018-04-29,34.02
17,17,2018-05-06,38.07
18,18,2018-05-13,38.88
19,19,2018-05-20,53.46
20,20,2018-05-27,34.02
21,21,2018-06-03,42.93
22,22,2018-06-10,44.550000000000004
23,23,2018-06-17,44.550000000000004
24,24,2018-06-24,42.120000000000005
25,25,2018-07-01,42.120000000000005
26,26,2018-07-08,38.88
27,27,2018-07-15,42.120000000000005
28,28,2018-07-22,35.64
29,29,2018-07-29,34.830000000000005
30,30,2018-08-05,42.93
31,31,2018-08-12,39.690000000000005
32,32,2018-08-19,46.17
33,33,2018-08-26,31.590000000000003
34,34,2018-09-02,30.78
35,35,2018-09-09,48.6
36,36,2018-09-16,55.89
37,37,2018-09-23,62.370000000000005
38,38,2018-09-30,25.110000000000003
39,39,2018-10-07,29.160000000000004
40,40,2018-10-14,46.980000000000004
41,41,2018-10-21,28.35
42,42,2018-10-28,38.88
43,43,2018-11-04,56.7
44,44,2018-11-11,33.21
45,45,2018-11-18,26.73
46,46,2018-11-25,24.3
47,47,2018-12-02,40.5
48,48,2018-12-09,38.07
49,49,2018-12-16,26.73
50,50,2018-12-23,34.02
51,51,2018-12-30,19.44
52,52,2019-01-06,29.160000000000004
53,53,2019-01-13,34.02
54,54,2019-01-20,37.260000000000005
55,55,2019-01-27,42.120000000000005
56,56,2019-02-03,25.92
57,57,2019-02-10,41.31
58,58,2019-02-17,42.120000000000005
59,59,2019-02-24,39.690000000000005
60,60,2019-03-03,47.790000000000006
61,61,2019-03-10,50.220000000000006
62,62,2019-03-17,54.27
63,63,2019-03-24,39.690000000000005
64,64,2019-03-31,35.64
65,65,2019-04-07,62.370000000000005
66,66,2019-04-14,43.74
67,67,2019-04-21,38.88
68,68,2019-04-28,51.03
69,69,2019-05-05,32.400000000000006
70,70,2019-05-12,25.110000000000003
71,71,2019-05-19,30.78
72,72,2019-05-26,38.07
73,73,2019-06-02,35.64
74,74,2019-06-09,49.410000000000004
75,75,2019-06-16,29.970000000000002
76,76,2019-06-23,34.830000000000005
77,77,2019-06-30,31.590000000000003
78,78,2019-07-07,42.120000000000005
79,79,2019-07-14,29.970000000000002
80,80,2019-07-21,36.45
81,81,2019-07-28,29.970000000000002
82,82,2019-08-04,34.02
83,83,2019-08-11,34.02
84,84,2019-08-18,30.78
85,85,2019-08-25,29.160000000000004
86,86,2019-09-01,34.830000000000005
87,87,2019-09-08,35.64
88,88,2019-09-15,46.17
89,89,2019-09-22,32.400000000000006
90,90,2019-09-29,35.64
91,91,2019-10-06,51.03
92,92,2019-10-13,34.02
93,93,2019-10-20,40.5
94,94,2019-10-27,30.78
95,95,2019-11-03,32.400000000000006
96,96,2019-11-10,51.03
97,97,2019-11-17,40.5
98,98,2019-11-24,30.78
99,99,2019-12-01,43.74
100,100,2019-12-08,51.03
101,101,2019-12-15,55.080000000000005
102,102,2019-12-22,19.44
103,103,2019-12-29,29.160000000000004
104,104,2020-01-05,38.88
105,105,2020-01-12,35.64
106,106,2020-01-19,59.13
107,107,2020-01-26,42.93
108,108,2020-02-02,34.02
109,109,2020-02-09,38.07
110,110,2020-02-16,35.64
111,111,2020-02-23,30.78
112,112,2020-03-01,29.160000000000004
113,113,2020-03-08,46.980000000000004
114,114,2020-03-15,29.160000000000004
115,115,2020-03-22,29.160000000000004
116,116,2020-03-29,40.5
117,117,2020-04-05,44.550000000000004
118,118,2020-04-12,38.88
119,119,2020-04-19,33.21
120,120,2020-04-26,38.88
121,121,2020-05-03,42.120000000000005
122,122,2020-05-10,50.220000000000006
