,date,means
0,2018-01-07,27.0
1,2018-01-14,100.0
2,2018-01-21,47.0
3,2018-01-28,41.0
4,2018-02-04,16.0
5,2018-02-11,16.0
6,2018-02-18,52.0
7,2018-02-25,97.0
8,2018-03-04,28.0
9,2018-03-11,46.0
10,2018-03-18,15.0
11,2018-03-25,41.0
12,2018-04-01,26.0
13,2018-04-08,26.0
14,2018-04-15,68.0
15,2018-04-22,51.0
16,2018-04-29,11.0
17,2018-05-06,0.0
18,2018-05-13,11.0
19,2018-05-20,26.0
20,2018-05-27,11.0
21,2018-06-03,48.0
22,2018-06-10,20.0
23,2018-06-17,0.0
24,2018-06-24,15.0
25,2018-07-01,22.0
26,2018-07-08,52.0
27,2018-07-15,33.0
28,2018-07-22,48.0
29,2018-07-29,92.0
30,2018-08-05,24.0
31,2018-08-12,11.0
32,2018-08-19,0.0
33,2018-08-26,96.0
34,2018-09-02,11.0
35,2018-09-09,40.0
36,2018-09-16,54.0
37,2018-09-23,40.0
38,2018-09-30,27.0
39,2018-10-07,66.0
40,2018-10-14,0.0
41,2018-10-21,14.0
42,2018-10-28,24.0
43,2018-11-04,29.0
44,2018-11-11,24.0
45,2018-11-18,24.0
46,2018-11-25,20.0
47,2018-12-02,68.0
48,2018-12-09,49.0
49,2018-12-16,15.0
50,2018-12-23,43.0
51,2018-12-30,39.0
52,2019-01-06,43.0
53,2019-01-13,91.0
54,2019-01-20,0.0
55,2019-01-27,10.0
56,2019-02-03,70.0
57,2019-02-10,10.0
58,2019-02-17,10.0
59,2019-02-24,65.0
60,2019-03-03,81.0
61,2019-03-10,0.0
62,2019-03-17,39.0
63,2019-03-24,31.0
64,2019-03-31,83.0
65,2019-04-07,62.0
66,2019-04-14,51.0
67,2019-04-21,39.0
68,2019-04-28,29.0
69,2019-05-05,60.0
70,2019-05-12,63.0
71,2019-05-19,15.0
72,2019-05-26,29.0
73,2019-06-02,0.0
74,2019-06-09,48.0
75,2019-06-16,44.0
76,2019-06-23,82.0
77,2019-06-30,10.0
78,2019-07-07,66.0
79,2019-07-14,61.0
80,2019-07-21,15.0
81,2019-07-28,31.0
82,2019-08-04,31.0
83,2019-08-11,52.0
84,2019-08-18,63.0
85,2019-08-25,23.0
86,2019-09-01,10.0
87,2019-09-08,63.0
88,2019-09-15,24.0
89,2019-09-22,66.0
90,2019-09-29,15.0
91,2019-10-06,23.0
92,2019-10-13,64.0
93,2019-10-20,32.0
94,2019-10-27,39.0
95,2019-11-03,39.0
96,2019-11-10,56.0
97,2019-11-17,43.0
98,2019-11-24,21.0
99,2019-12-01,30.0
100,2019-12-08,66.0
101,2019-12-15,13.0
102,2019-12-22,24.0
103,2019-12-29,54.0
104,2020-01-05,89.0
105,2020-01-12,61.0
106,2020-01-19,63.0
107,2020-01-26,12.0
108,2020-02-02,70.0
109,2020-02-09,26.0
110,2020-02-16,56.0
111,2020-02-23,17.0
112,2020-03-01,52.0
113,2020-03-08,79.0
114,2020-03-15,0.0
115,2020-03-22,7.0
116,2020-03-29,0.0
117,2020-04-05,39.0
118,2020-04-12,23.0
119,2020-04-19,0.0
120,2020-04-26,15.0
121,2020-05-03,18.0
122,2020-05-10,15.0
123,2020-05-17,0.0
