,date,means
0,2018-01-07,81.0
1,2018-01-14,60.0
2,2018-01-21,56.0
3,2018-01-28,52.0
4,2018-02-04,64.0
5,2018-02-11,63.0
6,2018-02-18,62.0
7,2018-02-25,31.0
8,2018-03-04,71.0
9,2018-03-11,47.0
10,2018-03-18,59.0
11,2018-03-25,70.0
12,2018-04-01,81.0
13,2018-04-08,84.0
14,2018-04-15,94.0
15,2018-04-22,76.0
16,2018-04-29,63.0
17,2018-05-06,65.0
18,2018-05-13,54.0
19,2018-05-20,76.0
20,2018-05-27,75.0
21,2018-06-03,97.0
22,2018-06-10,74.0
23,2018-06-17,64.0
24,2018-06-24,50.0
25,2018-07-01,61.0
26,2018-07-08,63.0
27,2018-07-15,78.0
28,2018-07-22,56.0
29,2018-07-29,63.0
30,2018-08-05,44.0
31,2018-08-12,70.0
32,2018-08-19,84.0
33,2018-08-26,57.0
34,2018-09-02,87.0
35,2018-09-09,38.0
36,2018-09-16,54.0
37,2018-09-23,57.0
38,2018-09-30,67.0
39,2018-10-07,50.0
40,2018-10-14,51.0
41,2018-10-21,88.0
42,2018-10-28,54.0
43,2018-11-04,85.0
44,2018-11-11,57.0
45,2018-11-18,49.0
46,2018-11-25,77.0
47,2018-12-02,45.0
48,2018-12-09,44.0
49,2018-12-16,49.0
50,2018-12-23,83.0
51,2018-12-30,52.0
52,2019-01-06,50.0
53,2019-01-13,71.0
54,2019-01-20,80.0
55,2019-01-27,73.0
56,2019-02-03,53.0
57,2019-02-10,69.0
58,2019-02-17,63.0
59,2019-02-24,60.0
60,2019-03-03,60.0
61,2019-03-10,100.0
62,2019-03-17,72.0
63,2019-03-24,52.0
64,2019-03-31,87.0
65,2019-04-07,65.0
66,2019-04-14,59.0
67,2019-04-21,81.0
68,2019-04-28,47.0
69,2019-05-05,77.0
70,2019-05-12,72.0
71,2019-05-19,66.0
72,2019-05-26,69.0
73,2019-06-02,72.0
74,2019-06-09,78.0
75,2019-06-16,62.0
76,2019-06-23,87.0
77,2019-06-30,74.0
78,2019-07-07,51.0
79,2019-07-14,63.0
80,2019-07-21,68.0
81,2019-07-28,59.0
82,2019-08-04,85.0
83,2019-08-11,73.0
84,2019-08-18,82.0
85,2019-08-25,52.0
86,2019-09-01,54.0
87,2019-09-08,47.0
88,2019-09-15,73.0
89,2019-09-22,64.0
90,2019-09-29,92.0
91,2019-10-06,59.0
92,2019-10-13,47.0
93,2019-10-20,50.0
94,2019-10-27,52.0
95,2019-11-03,49.0
96,2019-11-10,58.0
97,2019-11-17,53.0
98,2019-11-24,37.0
99,2019-12-01,50.0
100,2019-12-08,40.0
101,2019-12-15,63.0
102,2019-12-22,58.0
103,2019-12-29,58.0
104,2020-01-05,70.0
105,2020-01-12,50.0
106,2020-01-19,78.0
107,2020-01-26,63.0
108,2020-02-02,33.0
109,2020-02-09,68.0
110,2020-02-16,45.0
111,2020-02-23,63.0
112,2020-03-01,68.0
113,2020-03-08,54.0
114,2020-03-15,42.0
115,2020-03-22,35.0
116,2020-03-29,63.0
117,2020-04-05,57.0
118,2020-04-12,68.0
119,2020-04-19,73.0
120,2020-04-26,72.0
121,2020-05-03,77.0
122,2020-05-10,58.0
