,Unnamed: 0,date,means
0,0,2018-01-07,26.88
1,1,2018-01-14,0.0
2,2,2018-01-21,12.0
3,3,2018-01-28,24.0
4,4,2018-02-04,17.759999999999998
5,5,2018-02-11,20.64
6,6,2018-02-18,7.68
7,7,2018-02-25,24.0
8,8,2018-03-04,14.879999999999999
9,9,2018-03-11,13.44
10,10,2018-03-18,27.36
11,11,2018-03-25,13.92
12,12,2018-04-01,8.16
13,13,2018-04-08,17.28
14,14,2018-04-15,12.0
15,15,2018-04-22,34.08
16,16,2018-04-29,23.52
17,17,2018-05-06,22.08
18,18,2018-05-13,24.0
19,19,2018-05-20,22.08
20,20,2018-05-27,18.72
21,21,2018-06-03,29.279999999999998
22,22,2018-06-10,9.6
23,23,2018-06-17,25.439999999999998
24,24,2018-06-24,14.879999999999999
25,25,2018-07-01,20.16
26,26,2018-07-08,30.72
27,27,2018-07-15,28.799999999999997
28,28,2018-07-22,28.32
29,29,2018-07-29,4.8
30,30,2018-08-05,5.279999999999999
31,31,2018-08-12,17.759999999999998
32,32,2018-08-19,20.64
33,33,2018-08-26,14.879999999999999
34,34,2018-09-02,19.2
35,35,2018-09-09,22.56
36,36,2018-09-16,16.32
37,37,2018-09-23,42.239999999999995
38,38,2018-09-30,43.199999999999996
39,39,2018-10-07,14.399999999999999
40,40,2018-10-14,20.64
41,41,2018-10-21,3.84
42,42,2018-10-28,5.279999999999999
43,43,2018-11-04,25.919999999999998
44,44,2018-11-11,16.32
45,45,2018-11-18,29.279999999999998
46,46,2018-11-25,12.48
47,47,2018-12-02,7.68
48,48,2018-12-09,18.72
49,49,2018-12-16,13.44
50,50,2018-12-23,12.959999999999999
51,51,2018-12-30,7.199999999999999
52,52,2019-01-06,40.8
53,53,2019-01-13,25.439999999999998
54,54,2019-01-20,3.36
55,55,2019-01-27,27.36
56,56,2019-02-03,10.559999999999999
57,57,2019-02-10,10.559999999999999
58,58,2019-02-17,22.08
59,59,2019-02-24,19.2
60,60,2019-03-03,48.0
61,61,2019-03-10,14.399999999999999
62,62,2019-03-17,36.0
63,63,2019-03-24,27.84
64,64,2019-03-31,21.599999999999998
65,65,2019-04-07,28.799999999999997
66,66,2019-04-14,38.4
67,67,2019-04-21,10.559999999999999
68,68,2019-04-28,20.64
69,69,2019-05-05,16.8
70,70,2019-05-12,14.879999999999999
71,71,2019-05-19,17.759999999999998
72,72,2019-05-26,17.28
73,73,2019-06-02,12.959999999999999
74,74,2019-06-09,22.08
75,75,2019-06-16,12.0
76,76,2019-06-23,30.24
77,77,2019-06-30,43.199999999999996
78,78,2019-07-07,23.04
79,79,2019-07-14,23.04
80,80,2019-07-21,24.96
81,81,2019-07-28,30.72
82,82,2019-08-04,18.24
83,83,2019-08-11,26.88
84,84,2019-08-18,21.599999999999998
85,85,2019-08-25,6.72
86,86,2019-09-01,15.84
87,87,2019-09-08,25.439999999999998
88,88,2019-09-15,32.16
89,89,2019-09-22,15.36
90,90,2019-09-29,23.04
91,91,2019-10-06,31.68
92,92,2019-10-13,26.88
93,93,2019-10-20,28.799999999999997
94,94,2019-10-27,26.4
95,95,2019-11-03,18.72
96,96,2019-11-10,19.2
97,97,2019-11-17,11.04
98,98,2019-11-24,14.399999999999999
99,99,2019-12-01,10.559999999999999
100,100,2019-12-08,6.72
101,101,2019-12-15,11.52
102,102,2019-12-22,12.0
103,103,2019-12-29,20.64
104,104,2020-01-05,20.16
105,105,2020-01-12,24.96
106,106,2020-01-19,15.84
107,107,2020-01-26,18.72
108,108,2020-02-02,18.24
109,109,2020-02-09,11.52
110,110,2020-02-16,8.16
111,111,2020-02-23,24.0
112,112,2020-03-01,6.24
113,113,2020-03-08,10.08
114,114,2020-03-15,14.399999999999999
115,115,2020-03-22,13.44
116,116,2020-03-29,17.28
117,117,2020-04-05,13.44
118,118,2020-04-12,4.32
119,119,2020-04-19,5.76
120,120,2020-04-26,10.08
121,121,2020-05-03,13.92
122,122,2020-05-10,14.879999999999999
