,date,means
0,2018-01-07,43.0
1,2018-01-14,32.0
2,2018-01-21,48.0
3,2018-01-28,96.0
4,2018-02-04,0.0
5,2018-02-11,34.0
6,2018-02-18,82.0
7,2018-02-25,48.0
8,2018-03-04,33.0
9,2018-03-11,33.0
10,2018-03-18,33.0
11,2018-03-25,59.0
12,2018-04-01,35.0
13,2018-04-08,68.0
14,2018-04-15,36.0
15,2018-04-22,100.0
16,2018-04-29,35.0
17,2018-05-06,35.0
18,2018-05-13,33.0
19,2018-05-20,34.0
20,2018-05-27,67.0
21,2018-06-03,33.0
22,2018-06-10,32.0
23,2018-06-17,33.0
24,2018-06-24,35.0
25,2018-07-01,34.0
26,2018-07-08,34.0
27,2018-07-15,35.0
28,2018-07-22,35.0
29,2018-07-29,33.0
30,2018-08-05,49.0
31,2018-08-12,34.0
32,2018-08-19,33.0
33,2018-08-26,33.0
34,2018-09-02,68.0
35,2018-09-09,34.0
36,2018-09-16,34.0
37,2018-09-23,68.0
38,2018-09-30,35.0
39,2018-10-07,35.0
40,2018-10-14,68.0
41,2018-10-21,33.0
42,2018-10-28,49.0
43,2018-11-04,53.0
44,2018-11-11,32.0
45,2018-11-18,31.0
46,2018-11-25,64.0
47,2018-12-02,48.0
48,2018-12-09,32.0
49,2018-12-16,65.0
50,2018-12-23,53.0
51,2018-12-30,44.0
52,2019-01-06,30.0
53,2019-01-13,30.0
54,2019-01-20,30.0
55,2019-01-27,46.0
56,2019-02-03,82.0
57,2019-02-10,31.0
58,2019-02-17,31.0
59,2019-02-24,33.0
60,2019-03-03,93.0
61,2019-03-10,0.0
62,2019-03-17,43.0
63,2019-03-24,33.0
64,2019-03-31,48.0
65,2019-04-07,63.0
66,2019-04-14,49.0
67,2019-04-21,32.0
68,2019-04-28,32.0
69,2019-05-05,60.0
70,2019-05-12,64.0
71,2019-05-19,47.0
72,2019-05-26,48.0
73,2019-06-02,52.0
74,2019-06-09,31.0
75,2019-06-16,33.0
76,2019-06-23,65.0
77,2019-06-30,32.0
78,2019-07-07,32.0
79,2019-07-14,32.0
80,2019-07-21,57.0
81,2019-07-28,34.0
82,2019-08-04,0.0
83,2019-08-11,77.0
84,2019-08-18,63.0
85,2019-08-25,31.0
86,2019-09-01,61.0
87,2019-09-08,31.0
88,2019-09-15,32.0
89,2019-09-22,30.0
90,2019-09-29,31.0
91,2019-10-06,30.0
92,2019-10-13,30.0
93,2019-10-20,29.0
94,2019-10-27,29.0
95,2019-11-03,42.0
96,2019-11-10,58.0
97,2019-11-17,43.0
98,2019-11-24,56.0
99,2019-12-01,29.0
100,2019-12-08,0.0
101,2019-12-15,43.0
102,2019-12-22,0.0
103,2019-12-29,30.0
104,2020-01-05,27.0
105,2020-01-12,53.0
106,2020-01-19,0.0
107,2020-01-26,27.0
108,2020-02-02,0.0
109,2020-02-09,44.0
110,2020-02-16,84.0
111,2020-02-23,35.0
112,2020-03-01,26.0
113,2020-03-08,50.0
114,2020-03-15,24.0
115,2020-03-22,35.0
116,2020-03-29,59.0
117,2020-04-05,34.0
118,2020-04-12,37.0
119,2020-04-19,24.0
120,2020-04-26,23.0
121,2020-05-03,48.0
122,2020-05-10,24.0
