,Unnamed: 0,date,means
0,0,2018-01-07,12.959999999999999
1,1,2018-01-14,72.0
2,2,2018-01-21,29.52
3,3,2018-01-28,41.76
4,4,2018-02-04,17.28
5,5,2018-02-11,15.12
6,6,2018-02-18,30.24
7,7,2018-02-25,11.52
8,8,2018-03-04,16.56
9,9,2018-03-11,53.28
10,10,2018-03-18,18.0
11,11,2018-03-25,12.24
12,12,2018-04-01,37.44
13,13,2018-04-08,30.24
14,14,2018-04-15,45.36
15,15,2018-04-22,36.0
16,16,2018-04-29,30.24
17,17,2018-05-06,14.399999999999999
18,18,2018-05-13,53.28
19,19,2018-05-20,24.48
20,20,2018-05-27,23.04
21,21,2018-06-03,15.12
22,22,2018-06-10,18.0
23,23,2018-06-17,21.599999999999998
24,24,2018-06-24,24.48
25,25,2018-07-01,66.96
26,26,2018-07-08,20.88
27,27,2018-07-15,12.24
28,28,2018-07-22,39.6
29,29,2018-07-29,49.68
30,30,2018-08-05,15.12
31,31,2018-08-12,19.439999999999998
32,32,2018-08-19,11.52
33,33,2018-08-26,33.12
34,34,2018-09-02,60.48
35,35,2018-09-09,37.44
36,36,2018-09-16,36.72
37,37,2018-09-23,5.04
38,38,2018-09-30,23.04
39,39,2018-10-07,59.04
40,40,2018-10-14,59.04
41,41,2018-10-21,36.72
42,42,2018-10-28,44.64
43,43,2018-11-04,15.12
44,44,2018-11-11,17.28
45,45,2018-11-18,27.36
46,46,2018-11-25,18.0
47,47,2018-12-02,27.36
48,48,2018-12-09,19.439999999999998
49,49,2018-12-16,18.0
50,50,2018-12-23,44.64
51,51,2018-12-30,30.959999999999997
52,52,2019-01-06,48.239999999999995
53,53,2019-01-13,31.68
54,54,2019-01-20,45.36
55,55,2019-01-27,18.72
56,56,2019-02-03,36.72
57,57,2019-02-10,53.28
58,58,2019-02-17,27.36
59,59,2019-02-24,30.24
60,60,2019-03-03,36.72
61,61,2019-03-10,18.0
62,62,2019-03-17,34.56
63,63,2019-03-24,30.959999999999997
64,64,2019-03-31,26.64
65,65,2019-04-07,34.56
66,66,2019-04-14,29.52
67,67,2019-04-21,23.759999999999998
68,68,2019-04-28,32.4
69,69,2019-05-05,53.28
70,70,2019-05-12,16.56
71,71,2019-05-19,66.96
72,72,2019-05-26,48.96
73,73,2019-06-02,36.72
74,74,2019-06-09,23.04
75,75,2019-06-16,28.799999999999997
76,76,2019-06-23,0.0
77,77,2019-06-30,39.6
78,78,2019-07-07,44.64
79,79,2019-07-14,11.52
80,80,2019-07-21,14.399999999999999
81,81,2019-07-28,30.959999999999997
82,82,2019-08-04,28.799999999999997
83,83,2019-08-11,25.919999999999998
84,84,2019-08-18,15.12
85,85,2019-08-25,27.36
86,86,2019-09-01,54.72
87,87,2019-09-08,38.16
88,88,2019-09-15,30.24
89,89,2019-09-22,33.12
90,90,2019-09-29,41.76
91,91,2019-10-06,22.32
92,92,2019-10-13,28.08
93,93,2019-10-20,42.48
94,94,2019-10-27,43.199999999999996
95,95,2019-11-03,42.48
96,96,2019-11-10,20.16
97,97,2019-11-17,32.4
98,98,2019-11-24,38.879999999999995
99,99,2019-12-01,16.56
100,100,2019-12-08,33.839999999999996
101,101,2019-12-15,36.72
102,102,2019-12-22,23.04
103,103,2019-12-29,15.12
104,104,2020-01-05,66.96
105,105,2020-01-12,46.08
106,106,2020-01-19,41.04
107,107,2020-01-26,46.08
108,108,2020-02-02,29.52
109,109,2020-02-09,15.84
110,110,2020-02-16,28.08
111,111,2020-02-23,36.72
112,112,2020-03-01,28.08
113,113,2020-03-08,31.68
114,114,2020-03-15,22.32
115,115,2020-03-22,8.64
116,116,2020-03-29,12.959999999999999
117,117,2020-04-05,27.36
118,118,2020-04-12,19.439999999999998
119,119,2020-04-19,0.0
120,120,2020-04-26,19.439999999999998
121,121,2020-05-03,5.04
122,122,2020-05-10,8.64
123,123,2020-05-17,9.36
