,Unnamed: 0,date,means
0,0,2018-01-07,18.6
1,1,2018-01-14,18.29
2,2,2018-01-21,29.45
3,3,2018-01-28,6.82
4,4,2018-02-04,22.63
5,5,2018-02-11,14.57
6,6,2018-02-18,20.15
7,7,2018-02-25,17.669999999999998
8,8,2018-03-04,20.15
9,9,2018-03-11,24.49
10,10,2018-03-18,16.43
11,11,2018-03-25,10.23
12,12,2018-04-01,5.58
13,13,2018-04-08,2.48
14,14,2018-04-15,12.09
15,15,2018-04-22,11.47
16,16,2018-04-29,13.64
17,17,2018-05-06,6.82
18,18,2018-05-13,5.58
19,19,2018-05-20,10.54
20,20,2018-05-27,2.48
21,21,2018-06-03,11.78
22,22,2018-06-10,9.3
23,23,2018-06-17,4.34
24,24,2018-06-24,4.65
25,25,2018-07-01,15.19
26,26,2018-07-08,9.92
27,27,2018-07-15,14.26
28,28,2018-07-22,10.54
29,29,2018-07-29,6.2
30,30,2018-08-05,10.85
31,31,2018-08-12,4.03
32,32,2018-08-19,6.82
33,33,2018-08-26,1.24
34,34,2018-09-02,21.08
35,35,2018-09-09,11.47
36,36,2018-09-16,8.68
37,37,2018-09-23,29.45
38,38,2018-09-30,16.12
39,39,2018-10-07,10.23
40,40,2018-10-14,16.12
41,41,2018-10-21,20.46
42,42,2018-10-28,19.53
43,43,2018-11-04,15.19
44,44,2018-11-11,18.29
45,45,2018-11-18,27.28
46,46,2018-11-25,14.57
47,47,2018-12-02,13.02
48,48,2018-12-09,16.74
49,49,2018-12-16,18.6
50,50,2018-12-23,16.74
51,51,2018-12-30,13.64
52,52,2019-01-06,14.57
53,53,2019-01-13,12.09
54,54,2019-01-20,31.0
55,55,2019-01-27,12.709999999999999
56,56,2019-02-03,15.19
57,57,2019-02-10,9.92
58,58,2019-02-17,15.81
59,59,2019-02-24,4.96
60,60,2019-03-03,13.33
61,61,2019-03-10,15.81
62,62,2019-03-17,8.06
63,63,2019-03-24,8.37
64,64,2019-03-31,16.74
65,65,2019-04-07,13.02
66,66,2019-04-14,4.34
67,67,2019-04-21,4.96
68,68,2019-04-28,4.34
69,69,2019-05-05,14.26
70,70,2019-05-12,7.75
71,71,2019-05-19,5.58
72,72,2019-05-26,3.7199999999999998
73,73,2019-06-02,18.29
74,74,2019-06-09,7.75
75,75,2019-06-16,4.34
76,76,2019-06-23,10.54
77,77,2019-06-30,10.23
78,78,2019-07-07,12.4
79,79,2019-07-14,11.16
80,80,2019-07-21,5.58
81,81,2019-07-28,5.89
82,82,2019-08-04,12.4
83,83,2019-08-11,10.54
84,84,2019-08-18,13.64
85,85,2019-08-25,7.13
86,86,2019-09-01,13.95
87,87,2019-09-08,14.879999999999999
88,88,2019-09-15,18.6
89,89,2019-09-22,23.25
90,90,2019-09-29,20.46
91,91,2019-10-06,22.63
92,92,2019-10-13,5.89
93,93,2019-10-20,19.53
94,94,2019-10-27,14.26
95,95,2019-11-03,12.709999999999999
96,96,2019-11-10,25.73
97,97,2019-11-17,10.85
98,98,2019-11-24,12.4
99,99,2019-12-01,7.75
100,100,2019-12-08,12.709999999999999
101,101,2019-12-15,6.2
102,102,2019-12-22,6.82
103,103,2019-12-29,13.64
104,104,2020-01-05,11.47
105,105,2020-01-12,9.61
106,106,2020-01-19,16.74
107,107,2020-01-26,9.92
108,108,2020-02-02,16.43
109,109,2020-02-09,13.02
110,110,2020-02-16,16.12
111,111,2020-02-23,9.92
112,112,2020-03-01,10.85
113,113,2020-03-08,8.06
114,114,2020-03-15,7.4399999999999995
115,115,2020-03-22,14.26
116,116,2020-03-29,6.51
117,117,2020-04-05,2.17
118,118,2020-04-12,21.08
119,119,2020-04-19,15.19
120,120,2020-04-26,4.03
121,121,2020-05-03,9.61
122,122,2020-05-10,10.23
