,Unnamed: 0,date,means
0,0,2018-01-07,39.56
1,1,2018-01-14,42.32
2,2,2018-01-21,44.160000000000004
3,3,2018-01-28,56.120000000000005
4,4,2018-02-04,38.64
5,5,2018-02-11,57.04
6,6,2018-02-18,64.4
7,7,2018-02-25,44.160000000000004
8,8,2018-03-04,43.24
9,9,2018-03-11,28.52
10,10,2018-03-18,33.120000000000005
11,11,2018-03-25,41.4
12,12,2018-04-01,46.0
13,13,2018-04-08,44.160000000000004
14,14,2018-04-15,37.72
15,15,2018-04-22,36.800000000000004
16,16,2018-04-29,47.84
17,17,2018-05-06,40.480000000000004
18,18,2018-05-13,44.160000000000004
19,19,2018-05-20,49.68
20,20,2018-05-27,38.64
21,21,2018-06-03,58.88
22,22,2018-06-10,17.48
23,23,2018-06-17,36.800000000000004
24,24,2018-06-24,65.32000000000001
25,25,2018-07-01,48.760000000000005
26,26,2018-07-08,43.24
27,27,2018-07-15,42.32
28,28,2018-07-22,68.08
29,29,2018-07-29,46.0
30,30,2018-08-05,39.56
31,31,2018-08-12,45.080000000000005
32,32,2018-08-19,37.72
33,33,2018-08-26,57.96
34,34,2018-09-02,39.56
35,35,2018-09-09,60.720000000000006
36,36,2018-09-16,58.88
37,37,2018-09-23,77.28
38,38,2018-09-30,58.88
39,39,2018-10-07,63.480000000000004
40,40,2018-10-14,46.92
41,41,2018-10-21,36.800000000000004
42,42,2018-10-28,69.0
43,43,2018-11-04,61.64
44,44,2018-11-11,36.800000000000004
45,45,2018-11-18,22.080000000000002
46,46,2018-11-25,36.800000000000004
47,47,2018-12-02,45.080000000000005
48,48,2018-12-09,53.36
49,49,2018-12-16,46.92
50,50,2018-12-23,31.28
51,51,2018-12-30,43.24
52,52,2019-01-06,55.2
53,53,2019-01-13,31.28
54,54,2019-01-20,36.800000000000004
55,55,2019-01-27,36.800000000000004
56,56,2019-02-03,30.360000000000003
57,57,2019-02-10,46.92
58,58,2019-02-17,44.160000000000004
59,59,2019-02-24,48.760000000000005
60,60,2019-03-03,56.120000000000005
61,61,2019-03-10,32.2
62,62,2019-03-17,41.4
63,63,2019-03-24,55.2
64,64,2019-03-31,51.52
65,65,2019-04-07,68.08
66,66,2019-04-14,46.92
67,67,2019-04-21,46.92
68,68,2019-04-28,39.56
69,69,2019-05-05,37.72
70,70,2019-05-12,32.2
71,71,2019-05-19,58.88
72,72,2019-05-26,50.6
73,73,2019-06-02,37.72
74,74,2019-06-09,39.56
75,75,2019-06-16,64.4
76,76,2019-06-23,36.800000000000004
77,77,2019-06-30,50.6
78,78,2019-07-07,21.16
79,79,2019-07-14,47.84
80,80,2019-07-21,57.04
81,81,2019-07-28,34.96
82,82,2019-08-04,92.0
83,83,2019-08-11,42.32
84,84,2019-08-18,59.800000000000004
85,85,2019-08-25,52.440000000000005
86,86,2019-09-01,54.28
87,87,2019-09-08,30.360000000000003
88,88,2019-09-15,40.480000000000004
89,89,2019-09-22,28.52
90,90,2019-09-29,52.440000000000005
91,91,2019-10-06,19.32
92,92,2019-10-13,46.0
93,93,2019-10-20,36.800000000000004
94,94,2019-10-27,34.04
95,95,2019-11-03,54.28
96,96,2019-11-10,46.92
97,97,2019-11-17,50.6
98,98,2019-11-24,33.120000000000005
99,99,2019-12-01,40.480000000000004
100,100,2019-12-08,28.52
101,101,2019-12-15,48.760000000000005
102,102,2019-12-22,24.84
103,103,2019-12-29,24.84
104,104,2020-01-05,38.64
105,105,2020-01-12,48.760000000000005
106,106,2020-01-19,41.4
107,107,2020-01-26,53.36
108,108,2020-02-02,46.0
109,109,2020-02-09,35.88
110,110,2020-02-16,41.4
111,111,2020-02-23,45.080000000000005
112,112,2020-03-01,34.04
113,113,2020-03-08,53.36
114,114,2020-03-15,24.84
115,115,2020-03-22,35.88
116,116,2020-03-29,30.360000000000003
117,117,2020-04-05,65.32000000000001
118,118,2020-04-12,46.92
119,119,2020-04-19,71.76
120,120,2020-04-26,56.120000000000005
121,121,2020-05-03,59.800000000000004
122,122,2020-05-10,49.68
