,Unnamed: 0,date,means
0,0,2018-01-07,38.0
1,1,2018-01-14,42.0
2,2,2018-01-21,38.0
3,3,2018-01-28,51.0
4,4,2018-02-04,41.0
5,5,2018-02-11,83.0
6,6,2018-02-18,53.0
7,7,2018-02-25,39.0
8,8,2018-03-04,36.0
9,9,2018-03-11,33.0
10,10,2018-03-18,37.0
11,11,2018-03-25,39.0
12,12,2018-04-01,53.0
13,13,2018-04-08,39.0
14,14,2018-04-15,44.0
15,15,2018-04-22,45.0
16,16,2018-04-29,76.0
17,17,2018-05-06,55.0
18,18,2018-05-13,44.0
19,19,2018-05-20,48.0
20,20,2018-05-27,37.0
21,21,2018-06-03,51.0
22,22,2018-06-10,47.0
23,23,2018-06-17,44.0
24,24,2018-06-24,38.0
25,25,2018-07-01,55.0
26,26,2018-07-08,37.0
27,27,2018-07-15,48.0
28,28,2018-07-22,56.0
29,29,2018-07-29,47.0
30,30,2018-08-05,44.0
31,31,2018-08-12,36.0
32,32,2018-08-19,45.0
33,33,2018-08-26,33.0
34,34,2018-09-02,37.0
35,35,2018-09-09,54.0
36,36,2018-09-16,47.0
37,37,2018-09-23,51.0
38,38,2018-09-30,33.0
39,39,2018-10-07,48.0
40,40,2018-10-14,48.0
41,41,2018-10-21,31.0
42,42,2018-10-28,51.0
43,43,2018-11-04,34.0
44,44,2018-11-11,29.0
45,45,2018-11-18,34.0
46,46,2018-11-25,30.0
47,47,2018-12-02,42.0
48,48,2018-12-09,13.0
49,49,2018-12-16,33.0
50,50,2018-12-23,18.0
51,51,2018-12-30,28.0
52,52,2019-01-06,24.0
53,53,2019-01-13,23.0
54,54,2019-01-20,40.0
55,55,2019-01-27,26.0
56,56,2019-02-03,42.0
57,57,2019-02-10,100.0
58,58,2019-02-17,27.0
59,59,2019-02-24,38.0
60,60,2019-03-03,34.0
61,61,2019-03-10,45.0
62,62,2019-03-17,44.0
63,63,2019-03-24,25.0
64,64,2019-03-31,34.0
65,65,2019-04-07,39.0
66,66,2019-04-14,22.0
67,67,2019-04-21,38.0
68,68,2019-04-28,86.0
69,69,2019-05-05,39.0
70,70,2019-05-12,39.0
71,71,2019-05-19,39.0
72,72,2019-05-26,37.0
73,73,2019-06-02,35.0
74,74,2019-06-09,57.0
75,75,2019-06-16,57.0
76,76,2019-06-23,33.0
77,77,2019-06-30,36.0
78,78,2019-07-07,32.0
79,79,2019-07-14,48.0
80,80,2019-07-21,29.0
81,81,2019-07-28,43.0
82,82,2019-08-04,36.0
83,83,2019-08-11,33.0
84,84,2019-08-18,41.0
85,85,2019-08-25,44.0
86,86,2019-09-01,32.0
87,87,2019-09-08,44.0
88,88,2019-09-15,49.0
89,89,2019-09-22,47.0
90,90,2019-09-29,44.0
91,91,2019-10-06,65.0
92,92,2019-10-13,28.0
93,93,2019-10-20,44.0
94,94,2019-10-27,47.0
95,95,2019-11-03,44.0
96,96,2019-11-10,37.0
97,97,2019-11-17,29.0
98,98,2019-11-24,25.0
99,99,2019-12-01,27.0
100,100,2019-12-08,41.0
101,101,2019-12-15,26.0
102,102,2019-12-22,20.0
103,103,2019-12-29,26.0
104,104,2020-01-05,16.0
105,105,2020-01-12,45.0
106,106,2020-01-19,30.0
107,107,2020-01-26,54.0
108,108,2020-02-02,57.0
109,109,2020-02-09,90.0
110,110,2020-02-16,38.0
111,111,2020-02-23,25.0
112,112,2020-03-01,37.0
113,113,2020-03-08,24.0
114,114,2020-03-15,27.0
115,115,2020-03-22,21.0
116,116,2020-03-29,26.0
117,117,2020-04-05,53.0
118,118,2020-04-12,56.0
