,Unnamed: 0,date,means
0,0,2018-01-07,56.12
1,1,2018-01-14,30.5
2,2,2018-01-21,6.71
3,3,2018-01-28,38.43
4,4,2018-02-04,39.65
5,5,2018-02-11,24.4
6,6,2018-02-18,30.5
7,7,2018-02-25,52.46
8,8,2018-03-04,43.31
9,9,2018-03-11,12.2
10,10,2018-03-18,37.21
11,11,2018-03-25,14.64
12,12,2018-04-01,15.25
13,13,2018-04-08,24.4
14,14,2018-04-15,24.4
15,15,2018-04-22,39.04
16,16,2018-04-29,30.5
17,17,2018-05-06,41.48
18,18,2018-05-13,6.71
19,19,2018-05-20,42.699999999999996
20,20,2018-05-27,26.23
21,21,2018-06-03,47.58
22,22,2018-06-10,24.4
23,23,2018-06-17,48.19
24,24,2018-06-24,13.42
25,25,2018-07-01,29.89
26,26,2018-07-08,41.48
27,27,2018-07-15,16.47
28,28,2018-07-22,29.28
29,29,2018-07-29,54.29
30,30,2018-08-05,50.629999999999995
31,31,2018-08-12,21.96
32,32,2018-08-19,13.42
33,33,2018-08-26,15.25
34,34,2018-09-02,46.36
35,35,2018-09-09,29.89
36,36,2018-09-16,39.04
37,37,2018-09-23,26.23
38,38,2018-09-30,48.8
39,39,2018-10-07,36.6
40,40,2018-10-14,25.62
41,41,2018-10-21,20.13
42,42,2018-10-28,6.71
43,43,2018-11-04,22.57
44,44,2018-11-11,23.18
45,45,2018-11-18,0.0
46,46,2018-11-25,19.52
47,47,2018-12-02,7.32
48,48,2018-12-09,48.19
49,49,2018-12-16,16.47
50,50,2018-12-23,7.93
51,51,2018-12-30,7.32
52,52,2019-01-06,20.13
53,53,2019-01-13,15.25
54,54,2019-01-20,20.13
55,55,2019-01-27,32.94
56,56,2019-02-03,28.669999999999998
57,57,2019-02-10,21.96
58,58,2019-02-17,15.86
59,59,2019-02-24,6.71
60,60,2019-03-03,55.51
61,61,2019-03-10,32.33
62,62,2019-03-17,45.75
63,63,2019-03-24,32.94
64,64,2019-03-31,28.669999999999998
65,65,2019-04-07,43.92
66,66,2019-04-14,6.1
67,67,2019-04-21,16.47
68,68,2019-04-28,18.91
69,69,2019-05-05,26.23
70,70,2019-05-12,17.08
71,71,2019-05-19,28.669999999999998
72,72,2019-05-26,35.99
73,73,2019-06-02,53.68
74,74,2019-06-09,15.25
75,75,2019-06-16,33.55
76,76,2019-06-23,19.52
77,77,2019-06-30,25.62
78,78,2019-07-07,61.0
79,79,2019-07-14,15.86
80,80,2019-07-21,31.72
81,81,2019-07-28,45.75
82,82,2019-08-04,35.38
83,83,2019-08-11,25.62
84,84,2019-08-18,35.99
85,85,2019-08-25,17.08
86,86,2019-09-01,6.1
87,87,2019-09-08,12.2
88,88,2019-09-15,27.45
89,89,2019-09-22,28.669999999999998
90,90,2019-09-29,25.009999999999998
91,91,2019-10-06,18.3
92,92,2019-10-13,9.76
93,93,2019-10-20,8.54
94,94,2019-10-27,8.54
95,95,2019-11-03,51.85
96,96,2019-11-10,23.79
97,97,2019-11-17,17.08
98,98,2019-11-24,5.49
99,99,2019-12-01,25.009999999999998
100,100,2019-12-08,25.009999999999998
101,101,2019-12-15,18.91
102,102,2019-12-22,10.37
103,103,2019-12-29,9.76
104,104,2020-01-05,9.76
105,105,2020-01-12,17.08
106,106,2020-01-19,26.23
107,107,2020-01-26,29.89
108,108,2020-02-02,48.8
109,109,2020-02-09,26.23
110,110,2020-02-16,19.52
111,111,2020-02-23,28.06
112,112,2020-03-01,26.23
113,113,2020-03-08,5.49
114,114,2020-03-15,0.0
115,115,2020-03-22,4.88
116,116,2020-03-29,18.3
117,117,2020-04-05,4.88
118,118,2020-04-12,8.54
