,date,means
0,2018-01-07,33.0
1,2018-01-14,29.0
2,2018-01-21,35.0
3,2018-01-28,21.0
4,2018-02-04,21.0
5,2018-02-11,17.0
6,2018-02-18,52.0
7,2018-02-25,19.0
8,2018-03-04,15.0
9,2018-03-11,32.0
10,2018-03-18,8.0
11,2018-03-25,26.0
12,2018-04-01,43.0
13,2018-04-08,51.0
14,2018-04-15,85.0
15,2018-04-22,10.0
16,2018-04-29,3.0
17,2018-05-06,28.0
18,2018-05-13,17.0
19,2018-05-20,76.0
20,2018-05-27,7.0
21,2018-06-03,7.0
22,2018-06-10,8.0
23,2018-06-17,63.0
24,2018-06-24,11.0
25,2018-07-01,9.0
26,2018-07-08,26.0
27,2018-07-15,20.0
28,2018-07-22,15.0
29,2018-07-29,7.0
30,2018-08-05,12.0
31,2018-08-12,25.0
32,2018-08-19,14.0
33,2018-08-26,51.0
34,2018-09-02,94.0
35,2018-09-09,7.0
36,2018-09-16,13.0
37,2018-09-23,15.0
38,2018-09-30,18.0
39,2018-10-07,22.0
40,2018-10-14,61.0
41,2018-10-21,24.0
42,2018-10-28,7.0
43,2018-11-04,25.0
44,2018-11-11,31.0
45,2018-11-18,10.0
46,2018-11-25,35.0
47,2018-12-02,55.0
48,2018-12-09,100.0
49,2018-12-16,33.0
50,2018-12-23,14.0
51,2018-12-30,10.0
52,2019-01-06,21.0
53,2019-01-13,22.0
54,2019-01-20,6.0
55,2019-01-27,13.0
56,2019-02-03,12.0
57,2019-02-10,60.0
58,2019-02-17,15.0
59,2019-02-24,13.0
60,2019-03-03,28.0
61,2019-03-10,32.0
62,2019-03-17,41.0
63,2019-03-24,87.0
64,2019-03-31,32.0
65,2019-04-07,58.0
66,2019-04-14,39.0
67,2019-04-21,14.0
68,2019-04-28,6.0
69,2019-05-05,26.0
70,2019-05-12,46.0
71,2019-05-19,11.0
72,2019-05-26,62.0
73,2019-06-02,16.0
74,2019-06-09,28.0
75,2019-06-16,13.0
76,2019-06-23,38.0
77,2019-06-30,46.0
78,2019-07-07,8.0
79,2019-07-14,15.0
80,2019-07-21,12.0
81,2019-07-28,25.0
82,2019-08-04,12.0
83,2019-08-11,58.0
84,2019-08-18,12.0
85,2019-08-25,61.0
86,2019-09-01,15.0
87,2019-09-08,15.0
88,2019-09-15,39.0
89,2019-09-22,67.0
90,2019-09-29,34.0
91,2019-10-06,10.0
92,2019-10-13,19.0
93,2019-10-20,16.0
94,2019-10-27,11.0
95,2019-11-03,11.0
96,2019-11-10,6.0
97,2019-11-17,26.0
98,2019-11-24,47.0
99,2019-12-01,81.0
100,2019-12-08,21.0
101,2019-12-15,42.0
102,2019-12-22,55.0
103,2019-12-29,18.0
104,2020-01-05,13.0
105,2020-01-12,15.0
106,2020-01-19,11.0
107,2020-01-26,30.0
108,2020-02-02,43.0
109,2020-02-09,26.0
110,2020-02-16,23.0
111,2020-02-23,8.0
112,2020-03-01,12.0
113,2020-03-08,4.0
114,2020-03-15,14.0
115,2020-03-22,7.0
116,2020-03-29,25.0
117,2020-04-05,25.0
118,2020-04-12,10.0
