,Unnamed: 0,date,means
0,0,2018-01-07,6.489999999999999
1,1,2018-01-14,6.489999999999999
2,2,2018-01-21,19.47
3,3,2018-01-28,50.739999999999995
4,4,2018-02-04,44.25
5,5,2018-02-11,9.44
6,6,2018-02-18,37.76
7,7,2018-02-25,11.209999999999999
8,8,2018-03-04,29.5
9,9,2018-03-11,17.11
10,10,2018-03-18,18.88
11,11,2018-03-25,50.15
12,12,2018-04-01,49.559999999999995
13,13,2018-04-08,28.32
14,14,2018-04-15,59.0
15,15,2018-04-22,45.43
16,16,2018-04-29,9.44
17,17,2018-05-06,50.15
18,18,2018-05-13,24.189999999999998
19,19,2018-05-20,30.09
20,20,2018-05-27,6.489999999999999
21,21,2018-06-03,7.08
22,22,2018-06-10,48.97
23,23,2018-06-17,15.93
24,24,2018-06-24,9.44
25,25,2018-07-01,10.03
26,26,2018-07-08,7.67
27,27,2018-07-15,12.389999999999999
28,28,2018-07-22,16.52
29,29,2018-07-29,21.83
30,30,2018-08-05,11.799999999999999
31,31,2018-08-12,10.03
32,32,2018-08-19,12.389999999999999
33,33,2018-08-26,11.799999999999999
34,34,2018-09-02,12.979999999999999
35,35,2018-09-09,8.85
36,36,2018-09-16,28.32
37,37,2018-09-23,17.11
38,38,2018-09-30,12.389999999999999
39,39,2018-10-07,5.8999999999999995
40,40,2018-10-14,7.08
41,41,2018-10-21,10.03
42,42,2018-10-28,10.62
43,43,2018-11-04,29.5
44,44,2018-11-11,18.88
45,45,2018-11-18,21.24
46,46,2018-11-25,9.44
47,47,2018-12-02,21.24
48,48,2018-12-09,13.569999999999999
49,49,2018-12-16,11.209999999999999
50,50,2018-12-23,20.06
51,51,2018-12-30,15.93
52,52,2019-01-06,21.83
53,53,2019-01-13,11.209999999999999
54,54,2019-01-20,9.44
55,55,2019-01-27,14.75
56,56,2019-02-03,8.85
57,57,2019-02-10,8.26
58,58,2019-02-17,9.44
59,59,2019-02-24,17.11
60,60,2019-03-03,19.47
61,61,2019-03-10,13.569999999999999
62,62,2019-03-17,14.16
63,63,2019-03-24,9.44
64,64,2019-03-31,17.11
65,65,2019-04-07,8.85
66,66,2019-04-14,16.52
67,67,2019-04-21,7.67
68,68,2019-04-28,23.009999999999998
69,69,2019-05-05,4.13
70,70,2019-05-12,39.53
71,71,2019-05-19,4.13
72,72,2019-05-26,6.489999999999999
73,73,2019-06-02,20.65
74,74,2019-06-09,11.209999999999999
75,75,2019-06-16,11.209999999999999
76,76,2019-06-23,23.009999999999998
77,77,2019-06-30,10.03
78,78,2019-07-07,7.67
79,79,2019-07-14,12.389999999999999
80,80,2019-07-21,7.08
81,81,2019-07-28,4.72
82,82,2019-08-04,7.67
83,83,2019-08-11,22.419999999999998
84,84,2019-08-18,16.52
85,85,2019-08-25,33.04
86,86,2019-09-01,12.979999999999999
87,87,2019-09-08,12.389999999999999
88,88,2019-09-15,11.799999999999999
89,89,2019-09-22,10.03
90,90,2019-09-29,5.8999999999999995
91,91,2019-10-06,8.26
92,92,2019-10-13,11.209999999999999
93,93,2019-10-20,11.799999999999999
94,94,2019-10-27,17.7
95,95,2019-11-03,16.52
96,96,2019-11-10,6.489999999999999
97,97,2019-11-17,45.43
98,98,2019-11-24,24.779999999999998
99,99,2019-12-01,8.85
100,100,2019-12-08,11.799999999999999
101,101,2019-12-15,27.139999999999997
102,102,2019-12-22,20.65
103,103,2019-12-29,24.779999999999998
104,104,2020-01-05,17.7
105,105,2020-01-12,11.799999999999999
106,106,2020-01-19,21.83
107,107,2020-01-26,15.34
108,108,2020-02-02,4.72
109,109,2020-02-09,8.85
110,110,2020-02-16,36.58
111,111,2020-02-23,38.35
112,112,2020-03-01,8.26
113,113,2020-03-08,11.209999999999999
114,114,2020-03-15,24.779999999999998
115,115,2020-03-22,11.209999999999999
116,116,2020-03-29,14.16
117,117,2020-04-05,24.189999999999998
118,118,2020-04-12,9.44
