,date,means
0,2018-01-07,67.0
1,2018-01-14,43.0
2,2018-01-21,66.0
3,2018-01-28,67.0
4,2018-02-04,48.0
5,2018-02-11,25.0
6,2018-02-18,51.0
7,2018-02-25,26.0
8,2018-03-04,33.0
9,2018-03-11,63.0
10,2018-03-18,57.0
11,2018-03-25,34.0
12,2018-04-01,47.0
13,2018-04-08,57.0
14,2018-04-15,19.0
15,2018-04-22,45.0
16,2018-04-29,48.0
17,2018-05-06,38.0
18,2018-05-13,31.0
19,2018-05-20,60.0
20,2018-05-27,70.0
21,2018-06-03,46.0
22,2018-06-10,57.0
23,2018-06-17,66.0
24,2018-06-24,52.0
25,2018-07-01,86.0
26,2018-07-08,54.0
27,2018-07-15,37.0
28,2018-07-22,79.0
29,2018-07-29,75.0
30,2018-08-05,37.0
31,2018-08-12,15.0
32,2018-08-19,59.0
33,2018-08-26,27.0
34,2018-09-02,52.0
35,2018-09-09,56.0
36,2018-09-16,36.0
37,2018-09-23,70.0
38,2018-09-30,66.0
39,2018-10-07,43.0
40,2018-10-14,58.0
41,2018-10-21,59.0
42,2018-10-28,18.0
43,2018-11-04,45.0
44,2018-11-11,79.0
45,2018-11-18,48.0
46,2018-11-25,69.0
47,2018-12-02,74.0
48,2018-12-09,52.0
49,2018-12-16,67.0
50,2018-12-23,18.0
51,2018-12-30,61.0
52,2019-01-06,39.0
53,2019-01-13,42.0
54,2019-01-20,55.0
55,2019-01-27,46.0
56,2019-02-03,37.0
57,2019-02-10,80.0
58,2019-02-17,27.0
59,2019-02-24,17.0
60,2019-03-03,61.0
61,2019-03-10,100.0
62,2019-03-17,48.0
63,2019-03-24,31.0
64,2019-03-31,33.0
65,2019-04-07,84.0
66,2019-04-14,25.0
67,2019-04-21,44.0
68,2019-04-28,69.0
69,2019-05-05,82.0
70,2019-05-12,57.0
71,2019-05-19,59.0
72,2019-05-26,69.0
73,2019-06-02,90.0
74,2019-06-09,53.0
75,2019-06-16,39.0
76,2019-06-23,64.0
77,2019-06-30,52.0
78,2019-07-07,54.0
79,2019-07-14,25.0
80,2019-07-21,42.0
81,2019-07-28,70.0
82,2019-08-04,67.0
83,2019-08-11,57.0
84,2019-08-18,69.0
85,2019-08-25,66.0
86,2019-09-01,77.0
87,2019-09-08,51.0
88,2019-09-15,46.0
89,2019-09-22,83.0
90,2019-09-29,86.0
91,2019-10-06,69.0
92,2019-10-13,39.0
93,2019-10-20,41.0
94,2019-10-27,28.0
95,2019-11-03,32.0
96,2019-11-10,34.0
97,2019-11-17,67.0
98,2019-11-24,38.0
99,2019-12-01,76.0
100,2019-12-08,24.0
101,2019-12-15,42.0
102,2019-12-22,47.0
103,2019-12-29,25.0
104,2020-01-05,33.0
105,2020-01-12,67.0
106,2020-01-19,67.0
107,2020-01-26,38.0
108,2020-02-02,69.0
109,2020-02-09,43.0
110,2020-02-16,37.0
111,2020-02-23,42.0
112,2020-03-01,48.0
113,2020-03-08,37.0
114,2020-03-15,28.0
115,2020-03-22,40.0
116,2020-03-29,39.0
117,2020-04-05,18.0
118,2020-04-12,58.0
