,date,means
0,2018-01-07,10.0
1,2018-01-14,15.0
2,2018-01-21,18.0
3,2018-01-28,17.0
4,2018-02-04,42.0
5,2018-02-11,22.0
6,2018-02-18,21.0
7,2018-02-25,5.0
8,2018-03-04,5.0
9,2018-03-11,10.0
10,2018-03-18,12.0
11,2018-03-25,15.0
12,2018-04-01,10.0
13,2018-04-08,8.0
14,2018-04-15,10.0
15,2018-04-22,11.0
16,2018-04-29,13.0
17,2018-05-06,7.0
18,2018-05-13,7.0
19,2018-05-20,11.0
20,2018-05-27,6.0
21,2018-06-03,13.0
22,2018-06-10,10.0
23,2018-06-17,9.0
24,2018-06-24,8.0
25,2018-07-01,11.0
26,2018-07-08,9.0
27,2018-07-15,6.0
28,2018-07-22,7.0
29,2018-07-29,5.0
30,2018-08-05,6.0
31,2018-08-12,13.0
32,2018-08-19,10.0
33,2018-08-26,9.0
34,2018-09-02,13.0
35,2018-09-09,10.0
36,2018-09-16,7.0
37,2018-09-23,15.0
38,2018-09-30,9.0
39,2018-10-07,12.0
40,2018-10-14,14.0
41,2018-10-21,27.0
42,2018-10-28,60.0
43,2018-11-04,11.0
44,2018-11-11,8.0
45,2018-11-18,16.0
46,2018-11-25,10.0
47,2018-12-02,19.0
48,2018-12-09,22.0
49,2018-12-16,14.0
50,2018-12-23,13.0
51,2018-12-30,17.0
52,2019-01-06,8.0
53,2019-01-13,11.0
54,2019-01-20,8.0
55,2019-01-27,17.0
56,2019-02-03,12.0
57,2019-02-10,18.0
58,2019-02-17,19.0
59,2019-02-24,62.0
60,2019-03-03,19.0
61,2019-03-10,10.0
62,2019-03-17,7.0
63,2019-03-24,12.0
64,2019-03-31,7.0
65,2019-04-07,13.0
66,2019-04-14,10.0
67,2019-04-21,12.0
68,2019-04-28,6.0
69,2019-05-05,10.0
70,2019-05-12,9.0
71,2019-05-19,14.0
72,2019-05-26,10.0
73,2019-06-02,9.0
74,2019-06-09,5.0
75,2019-06-16,9.0
76,2019-06-23,8.0
77,2019-06-30,8.0
78,2019-07-07,3.0
79,2019-07-14,13.0
80,2019-07-21,7.0
81,2019-07-28,7.0
82,2019-08-04,7.0
83,2019-08-11,5.0
84,2019-08-18,6.0
85,2019-08-25,10.0
86,2019-09-01,11.0
87,2019-09-08,10.0
88,2019-09-15,11.0
89,2019-09-22,10.0
90,2019-09-29,9.0
91,2019-10-06,12.0
92,2019-10-13,16.0
93,2019-10-20,20.0
94,2019-10-27,100.0
95,2019-11-03,9.0
96,2019-11-10,10.0
97,2019-11-17,8.0
98,2019-11-24,8.0
99,2019-12-01,17.0
100,2019-12-08,17.0
101,2019-12-15,12.0
102,2019-12-22,11.0
103,2019-12-29,18.0
104,2020-01-05,7.0
105,2020-01-12,17.0
106,2020-01-19,11.0
107,2020-01-26,10.0
108,2020-02-02,19.0
109,2020-02-09,20.0
110,2020-02-16,57.0
111,2020-02-23,17.0
112,2020-03-01,13.0
113,2020-03-08,11.0
114,2020-03-15,7.0
115,2020-03-22,10.0
116,2020-03-29,12.0
117,2020-04-05,11.0
118,2020-04-12,17.0
