,Unnamed: 0,date,means
0,0,2018-01-07,6.93
1,1,2018-01-14,12.6
2,2,2018-01-21,11.34
3,3,2018-01-28,18.27
4,4,2018-02-04,29.61
5,5,2018-02-11,22.68
6,6,2018-02-18,10.71
7,7,2018-02-25,8.82
8,8,2018-03-04,13.86
9,9,2018-03-11,6.3
10,10,2018-03-18,10.71
11,11,2018-03-25,12.6
12,12,2018-04-01,6.3
13,13,2018-04-08,7.5600000000000005
14,14,2018-04-15,11.34
15,15,2018-04-22,10.08
16,16,2018-04-29,7.5600000000000005
17,17,2018-05-06,8.82
18,18,2018-05-13,7.5600000000000005
19,19,2018-05-20,10.08
20,20,2018-05-27,8.19
21,21,2018-06-03,10.08
22,22,2018-06-10,8.82
23,23,2018-06-17,8.19
24,24,2018-06-24,10.71
25,25,2018-07-01,5.04
26,26,2018-07-08,6.93
27,27,2018-07-15,8.82
28,28,2018-07-22,8.82
29,29,2018-07-29,13.23
30,30,2018-08-05,6.93
31,31,2018-08-12,10.08
32,32,2018-08-19,8.19
33,33,2018-08-26,8.19
34,34,2018-09-02,8.82
35,35,2018-09-09,6.3
36,36,2018-09-16,6.93
37,37,2018-09-23,7.5600000000000005
38,38,2018-09-30,13.23
39,39,2018-10-07,11.97
40,40,2018-10-14,15.120000000000001
41,41,2018-10-21,22.68
42,42,2018-10-28,63.0
43,43,2018-11-04,9.45
44,44,2018-11-11,8.82
45,45,2018-11-18,9.45
46,46,2018-11-25,10.08
47,47,2018-12-02,10.71
48,48,2018-12-09,10.08
49,49,2018-12-16,14.49
50,50,2018-12-23,13.86
51,51,2018-12-30,14.49
52,52,2019-01-06,8.19
53,53,2019-01-13,7.5600000000000005
54,54,2019-01-20,6.93
55,55,2019-01-27,10.71
56,56,2019-02-03,10.08
57,57,2019-02-10,11.34
58,58,2019-02-17,14.49
59,59,2019-02-24,28.98
60,60,2019-03-03,17.64
61,61,2019-03-10,10.71
62,62,2019-03-17,8.82
63,63,2019-03-24,8.19
64,64,2019-03-31,11.97
65,65,2019-04-07,7.5600000000000005
66,66,2019-04-14,8.19
67,67,2019-04-21,10.71
68,68,2019-04-28,7.5600000000000005
69,69,2019-05-05,9.45
70,70,2019-05-12,10.08
71,71,2019-05-19,6.93
72,72,2019-05-26,5.04
73,73,2019-06-02,6.93
74,74,2019-06-09,11.34
75,75,2019-06-16,11.97
76,76,2019-06-23,8.19
77,77,2019-06-30,4.41
78,78,2019-07-07,6.3
79,79,2019-07-14,5.04
80,80,2019-07-21,9.45
81,81,2019-07-28,6.93
82,82,2019-08-04,8.19
83,83,2019-08-11,8.19
84,84,2019-08-18,6.93
85,85,2019-08-25,7.5600000000000005
86,86,2019-09-01,10.08
87,87,2019-09-08,8.82
88,88,2019-09-15,10.08
89,89,2019-09-22,8.19
90,90,2019-09-29,13.86
91,91,2019-10-06,12.6
92,92,2019-10-13,11.34
93,93,2019-10-20,12.6
94,94,2019-10-27,59.85
95,95,2019-11-03,8.19
96,96,2019-11-10,10.08
97,97,2019-11-17,9.45
98,98,2019-11-24,13.23
99,99,2019-12-01,11.34
100,100,2019-12-08,13.23
101,101,2019-12-15,11.97
102,102,2019-12-22,14.49
103,103,2019-12-29,12.6
104,104,2020-01-05,5.67
105,105,2020-01-12,11.97
106,106,2020-01-19,7.5600000000000005
107,107,2020-01-26,13.23
108,108,2020-02-02,9.45
109,109,2020-02-09,13.23
110,110,2020-02-16,27.72
111,111,2020-02-23,21.42
112,112,2020-03-01,10.08
113,113,2020-03-08,4.41
114,114,2020-03-15,6.3
115,115,2020-03-22,7.5600000000000005
116,116,2020-03-29,4.41
117,117,2020-04-05,6.93
118,118,2020-04-12,11.34
