,date,means
0,2018-01-07,44.0
1,2018-01-14,23.0
2,2018-01-21,31.0
3,2018-01-28,37.0
4,2018-02-04,44.0
5,2018-02-11,50.0
6,2018-02-18,43.0
7,2018-02-25,51.0
8,2018-03-04,50.0
9,2018-03-11,39.0
10,2018-03-18,72.0
11,2018-03-25,43.0
12,2018-04-01,66.0
13,2018-04-08,28.0
14,2018-04-15,41.0
15,2018-04-22,54.0
16,2018-04-29,49.0
17,2018-05-06,68.0
18,2018-05-13,38.0
19,2018-05-20,46.0
20,2018-05-27,51.0
21,2018-06-03,71.0
22,2018-06-10,43.0
23,2018-06-17,35.0
24,2018-06-24,43.0
25,2018-07-01,32.0
26,2018-07-08,54.0
27,2018-07-15,36.0
28,2018-07-22,52.0
29,2018-07-29,63.0
30,2018-08-05,42.0
31,2018-08-12,34.0
32,2018-08-19,47.0
33,2018-08-26,23.0
34,2018-09-02,49.0
35,2018-09-09,63.0
36,2018-09-16,39.0
37,2018-09-23,50.0
38,2018-09-30,41.0
39,2018-10-07,32.0
40,2018-10-14,39.0
41,2018-10-21,49.0
42,2018-10-28,50.0
43,2018-11-04,44.0
44,2018-11-11,63.0
45,2018-11-18,54.0
46,2018-11-25,44.0
47,2018-12-02,43.0
48,2018-12-09,39.0
49,2018-12-16,42.0
50,2018-12-23,43.0
51,2018-12-30,35.0
52,2019-01-06,29.0
53,2019-01-13,43.0
54,2019-01-20,26.0
55,2019-01-27,43.0
56,2019-02-03,57.0
57,2019-02-10,68.0
58,2019-02-17,49.0
59,2019-02-24,49.0
60,2019-03-03,47.0
61,2019-03-10,58.0
62,2019-03-17,74.0
63,2019-03-24,59.0
64,2019-03-31,83.0
65,2019-04-07,56.0
66,2019-04-14,39.0
67,2019-04-21,32.0
68,2019-04-28,51.0
69,2019-05-05,43.0
70,2019-05-12,43.0
71,2019-05-19,43.0
72,2019-05-26,39.0
73,2019-06-02,43.0
74,2019-06-09,100.0
75,2019-06-16,67.0
76,2019-06-23,47.0
77,2019-06-30,57.0
78,2019-07-07,47.0
79,2019-07-14,34.0
80,2019-07-21,43.0
81,2019-07-28,43.0
82,2019-08-04,45.0
83,2019-08-11,47.0
84,2019-08-18,47.0
85,2019-08-25,60.0
86,2019-09-01,52.0
87,2019-09-08,44.0
88,2019-09-15,40.0
89,2019-09-22,36.0
90,2019-09-29,41.0
91,2019-10-06,62.0
92,2019-10-13,42.0
93,2019-10-20,35.0
94,2019-10-27,46.0
95,2019-11-03,27.0
96,2019-11-10,31.0
97,2019-11-17,49.0
98,2019-11-24,33.0
99,2019-12-01,47.0
100,2019-12-08,30.0
101,2019-12-15,39.0
102,2019-12-22,64.0
103,2019-12-29,36.0
104,2020-01-05,30.0
105,2020-01-12,61.0
106,2020-01-19,45.0
107,2020-01-26,65.0
108,2020-02-02,36.0
109,2020-02-09,40.0
110,2020-02-16,61.0
111,2020-02-23,47.0
112,2020-03-01,62.0
113,2020-03-08,47.0
114,2020-03-15,42.0
115,2020-03-22,56.0
116,2020-03-29,35.0
117,2020-04-05,27.0
118,2020-04-12,43.0
