,date,means
0,2018-01-07,47.0
1,2018-01-14,59.0
2,2018-01-21,45.0
3,2018-01-28,68.0
4,2018-02-04,46.0
5,2018-02-11,62.0
6,2018-02-18,64.0
7,2018-02-25,55.0
8,2018-03-04,44.0
9,2018-03-11,42.0
10,2018-03-18,55.0
11,2018-03-25,57.0
12,2018-04-01,69.0
13,2018-04-08,46.0
14,2018-04-15,100.0
15,2018-04-22,60.0
16,2018-04-29,57.0
17,2018-05-06,55.0
18,2018-05-13,37.0
19,2018-05-20,45.0
20,2018-05-27,66.0
21,2018-06-03,42.0
22,2018-06-10,53.0
23,2018-06-17,58.0
24,2018-06-24,59.0
25,2018-07-01,46.0
26,2018-07-08,45.0
27,2018-07-15,42.0
28,2018-07-22,71.0
29,2018-07-29,55.0
30,2018-08-05,74.0
31,2018-08-12,67.0
32,2018-08-19,63.0
33,2018-08-26,67.0
34,2018-09-02,97.0
35,2018-09-09,69.0
36,2018-09-16,73.0
37,2018-09-23,62.0
38,2018-09-30,60.0
39,2018-10-07,58.0
40,2018-10-14,54.0
41,2018-10-21,58.0
42,2018-10-28,45.0
43,2018-11-04,51.0
44,2018-11-11,58.0
45,2018-11-18,54.0
46,2018-11-25,77.0
47,2018-12-02,51.0
48,2018-12-09,44.0
49,2018-12-16,47.0
50,2018-12-23,56.0
51,2018-12-30,53.0
52,2019-01-06,47.0
53,2019-01-13,43.0
54,2019-01-20,51.0
55,2019-01-27,51.0
56,2019-02-03,59.0
57,2019-02-10,53.0
58,2019-02-17,61.0
59,2019-02-24,60.0
60,2019-03-03,52.0
61,2019-03-10,44.0
62,2019-03-17,57.0
63,2019-03-24,64.0
64,2019-03-31,40.0
65,2019-04-07,45.0
66,2019-04-14,44.0
67,2019-04-21,53.0
68,2019-04-28,58.0
69,2019-05-05,59.0
70,2019-05-12,52.0
71,2019-05-19,77.0
72,2019-05-26,63.0
73,2019-06-02,59.0
74,2019-06-09,67.0
75,2019-06-16,62.0
76,2019-06-23,66.0
77,2019-06-30,58.0
78,2019-07-07,56.0
79,2019-07-14,59.0
80,2019-07-21,91.0
81,2019-07-28,75.0
82,2019-08-04,79.0
83,2019-08-11,94.0
84,2019-08-18,71.0
85,2019-08-25,83.0
86,2019-09-01,74.0
87,2019-09-08,70.0
88,2019-09-15,55.0
89,2019-09-22,78.0
90,2019-09-29,54.0
91,2019-10-06,54.0
92,2019-10-13,74.0
93,2019-10-20,60.0
94,2019-10-27,39.0
95,2019-11-03,53.0
96,2019-11-10,53.0
97,2019-11-17,50.0
98,2019-11-24,52.0
99,2019-12-01,46.0
100,2019-12-08,46.0
101,2019-12-15,42.0
102,2019-12-22,45.0
103,2019-12-29,64.0
104,2020-01-05,50.0
105,2020-01-12,77.0
106,2020-01-19,46.0
107,2020-01-26,47.0
108,2020-02-02,64.0
109,2020-02-09,44.0
110,2020-02-16,44.0
111,2020-02-23,42.0
112,2020-03-01,33.0
113,2020-03-08,32.0
114,2020-03-15,55.0
115,2020-03-22,41.0
116,2020-03-29,47.0
117,2020-04-05,68.0
118,2020-04-12,72.0
