Year,ticket_geo_region_name,Prof_type,Distribution
2018,Abruzzo,Certificazione energetica,0.48
2018,Abruzzo,Costruzione o sostituzione tetto,0.06
2018,Abruzzo,Installazione o sostituzione doppi vetri,0.02
2018,Abruzzo,Installazione o sostituzione finestre,0.34
2018,Abruzzo,Installazione o sostituzione pannelli fotovoltaici,0.04
2018,Abruzzo,Rifacimento facciata,0.01
2018,Abruzzo,Riparazione o manutenzione tetto,0.03
2018,Abruzzo,Riqualificazione energetica,0.01
2018,Valle d'Aosta,Certificazione energetica,0.55
2018,Valle d'Aosta,Costruzione o sostituzione tetto,0.07
2018,Valle d'Aosta,Installazione o sostituzione doppi vetri,0.0
2018,Valle d'Aosta,Installazione o sostituzione finestre,0.25
2018,Valle d'Aosta,Installazione o sostituzione pannelli fotovoltaici,0.0
2018,Valle d'Aosta,Riparazione o manutenzione tetto,0.14
2018,Valle d'Aosta,Riqualificazione energetica,0.0
2018,Puglia,Certificazione energetica,0.43
2018,Puglia,Costruzione o sostituzione tetto,0.11
2018,Puglia,Installazione o sostituzione doppi vetri,0.0
2018,Puglia,Installazione o sostituzione finestre,0.29
2018,Puglia,Installazione o sostituzione pannelli fotovoltaici,0.09
2018,Puglia,Rifacimento facciata,0.02
2018,Puglia,Riparazione o manutenzione tetto,0.03
2018,Puglia,Riqualificazione energetica,0.01
2018,Basilicata,Certificazione energetica,0.31
2018,Basilicata,Costruzione o sostituzione tetto,0.16
2018,Basilicata,Installazione o sostituzione doppi vetri,0.0
2018,Basilicata,Installazione o sostituzione finestre,0.35
2018,Basilicata,Installazione o sostituzione pannelli fotovoltaici,0.08
2018,Basilicata,Rifacimento facciata,0.04
2018,Basilicata,Riparazione o manutenzione tetto,0.06
2018,Basilicata,Riqualificazione energetica,0.0
2018,Calabria,Certificazione energetica,0.34
2018,Calabria,Costruzione o sostituzione tetto,0.14
2018,Calabria,Installazione o sostituzione doppi vetri,0.01
2018,Calabria,Installazione o sostituzione finestre,0.32
2018,Calabria,Installazione o sostituzione pannelli fotovoltaici,0.11
2018,Calabria,Rifacimento facciata,0.02
2018,Calabria,Riparazione o manutenzione tetto,0.04
2018,Calabria,Riqualificazione energetica,0.01
2018,Campania,Certificazione energetica,0.45
2018,Campania,Costruzione o sostituzione tetto,0.08
2018,Campania,Installazione o sostituzione doppi vetri,0.01
2018,Campania,Installazione o sostituzione finestre,0.32
2018,Campania,Installazione o sostituzione pannelli fotovoltaici,0.08
2018,Campania,Rifacimento facciata,0.01
2018,Campania,Riparazione o manutenzione tetto,0.05
2018,Campania,Riqualificazione energetica,0.01
2018,Emilia-Romagna,Certificazione energetica,0.57
2018,Emilia-Romagna,Costruzione o sostituzione tetto,0.01
2018,Emilia-Romagna,Installazione o sostituzione doppi vetri,0.02
2018,Emilia-Romagna,Installazione o sostituzione finestre,0.31
2018,Emilia-Romagna,Installazione o sostituzione pannelli fotovoltaici,0.03
2018,Emilia-Romagna,Rifacimento facciata,0.01
2018,Emilia-Romagna,Riparazione o manutenzione tetto,0.04
2018,Emilia-Romagna,Riqualificazione energetica,0.01
2018,Friuli Venezia Giulia,Certificazione energetica,0.59
2018,Friuli Venezia Giulia,Costruzione o sostituzione tetto,0.01
2018,Friuli Venezia Giulia,Installazione o sostituzione doppi vetri,0.0
2018,Friuli Venezia Giulia,Installazione o sostituzione finestre,0.3
2018,Friuli Venezia Giulia,Installazione o sostituzione pannelli fotovoltaici,0.05
2018,Friuli Venezia Giulia,Rifacimento facciata,0.01
2018,Friuli Venezia Giulia,Riparazione o manutenzione tetto,0.03
2018,Friuli Venezia Giulia,Riqualificazione energetica,0.01
2018,Italia,Certificazione energetica,0.48
2018,Italia,Costruzione o sostituzione tetto,0.04
2018,Italia,Installazione o sostituzione doppi vetri,0.01
