Year,ticket_geo_region_name,Prof_type,Distribution
2018,Abruzzo,Lezioni di inglese,0.38
2018,Abruzzo,Personal trainer,0.32
2018,Abruzzo,Psicologo,0.29
2018,Abruzzo,Riparazione console videogiochi,0.01
2018,Valle d'Aosta,Lezioni di inglese,0.31
2018,Valle d'Aosta,Personal trainer,0.43
2018,Valle d'Aosta,Psicologo,0.26
2018,Valle d'Aosta,Riparazione console videogiochi,0.0
2018,Puglia,Lezioni di inglese,0.33
2018,Puglia,Personal trainer,0.35
2018,Puglia,Psicologo,0.31
2018,Puglia,Riparazione console videogiochi,0.01
2018,Basilicata,Lezioni di inglese,0.43
2018,Basilicata,Personal trainer,0.27
2018,Basilicata,Psicologo,0.3
2018,Basilicata,Riparazione console videogiochi,0.0
2018,Calabria,Lezioni di inglese,0.35
2018,Calabria,Personal trainer,0.33
2018,Calabria,Psicologo,0.31
2018,Calabria,Riparazione console videogiochi,0.01
2018,Campania,Lezioni di inglese,0.36
2018,Campania,Personal trainer,0.31
2018,Campania,Psicologo,0.32
2018,Campania,Riparazione console videogiochi,0.01
2018,Emilia-Romagna,Lezioni di inglese,0.31
2018,Emilia-Romagna,Personal trainer,0.42
2018,Emilia-Romagna,Psicologo,0.26
2018,Emilia-Romagna,Riparazione console videogiochi,0.02
2018,Friuli Venezia Giulia,Lezioni di inglese,0.34
2018,Friuli Venezia Giulia,Personal trainer,0.42
2018,Friuli Venezia Giulia,Psicologo,0.23
2018,Friuli Venezia Giulia,Riparazione console videogiochi,0.01
2018,Italia,Lezioni di inglese,0.33
2018,Italia,Personal trainer,0.39
2018,Italia,Psicologo,0.28
2018,Italia,Riparazione console videogiochi,0.01
2018,Lazio,Lezioni di inglese,0.28
2018,Lazio,Personal trainer,0.44
2018,Lazio,Psicologo,0.26
2018,Lazio,Riparazione console videogiochi,0.02
2018,Liguria,Lezioni di inglese,0.32
2018,Liguria,Personal trainer,0.43
2018,Liguria,Psicologo,0.25
2018,Liguria,Riparazione console videogiochi,0.01
2018,Lombardia,Lezioni di inglese,0.32
2018,Lombardia,Personal trainer,0.4
2018,Lombardia,Psicologo,0.26
2018,Lombardia,Riparazione console videogiochi,0.01
2018,Marche,Lezioni di inglese,0.33
2018,Marche,Personal trainer,0.39
2018,Marche,Psicologo,0.28
2018,Marche,Riparazione console videogiochi,0.0
2018,Molise,Lezioni di inglese,0.34
2018,Molise,Personal trainer,0.43
2018,Molise,Psicologo,0.22
2018,Molise,Riparazione console videogiochi,0.0
2018,Piemonte,Lezioni di inglese,0.28
2018,Piemonte,Personal trainer,0.41
2018,Piemonte,Psicologo,0.29
2018,Piemonte,Riparazione console videogiochi,0.01
2018,Sardegna,Lezioni di inglese,0.35
2018,Sardegna,Personal trainer,0.37
2018,Sardegna,Psicologo,0.25
2018,Sardegna,Riparazione console videogiochi,0.02
2018,Sicilia,Lezioni di inglese,0.37
2018,Sicilia,Personal trainer,0.33
2018,Sicilia,Psicologo,0.29
2018,Sicilia,Riparazione console videogiochi,0.01
2018,Trentino-Alto Adige,Lezioni di inglese,0.32
2018,Trentino-Alto Adige,Personal trainer,0.4
2018,Trentino-Alto Adige,Psicologo,0.27
2018,Trentino-Alto Adige,Riparazione console videogiochi,0.02
2018,Toscana,Lezioni di inglese,0.34
2018,Toscana,Personal trainer,0.39
2018,Toscana,Psicologo,0.27
2018,Toscana,Riparazione console videogiochi,0.01
2018,Umbria,Lezioni di inglese,0.35
2018,Umbria,Personal trainer,0.34
2018,Umbria,Psicologo,0.3
2018,Umbria,Riparazione console videogiochi,0.01
2018,Veneto,Lezioni di inglese,0.33
2018,Veneto,Personal trainer,0.38
2018,Veneto,Psicologo,0.28
2018,Veneto,Riparazione console videogiochi,0.01
2019,Abruzzo,Lezioni di inglese,0.38
2019,Abruzzo,Personal trainer,0.31
2019,Abruzzo,Psicologo,0.27
2019,Abruzzo,Riparazione console videogiochi,0.04
2019,Valle d'Aosta,Lezioni di inglese,0.25
2019,Valle d'Aosta,Personal trainer,0.46
2019,Valle d'Aosta,Psicologo,0.28
2019,Valle d'Aosta,Riparazione console videogiochi,0.0
2019,Puglia,Lezioni di inglese,0.33
2019,Puglia,Personal trainer,0.29
2019,Puglia,Psicologo,0.35
2019,Puglia,Riparazione console videogiochi,0.03
2019,Basilicata,Lezioni di inglese,0.43
2019,Basilicata,Personal trainer,0.24
2019,Basilicata,Psicologo,0.33
2019,Basilicata,Riparazione console videogiochi,0.0
2019,Calabria,Lezioni di inglese,0.34
2019,Calabria,Personal trainer,0.23
2019,Calabria,Psicologo,0.41
2019,Calabria,Riparazione console videogiochi,0.02
2019,Campania,Lezioni di inglese,0.33
2019,Campania,Personal trainer,0.29
2019,Campania,Psicologo,0.35
2019,Campania,Riparazione console videogiochi,0.03
2019,Emilia-Romagna,Lezioni di inglese,0.35
2019,Emilia-Romagna,Personal trainer,0.33
2019,Emilia-Romagna,Psicologo,0.28
2019,Emilia-Romagna,Riparazione console videogiochi,0.04
2019,Friuli Venezia Giulia,Lezioni di inglese,0.36
2019,Friuli Venezia Giulia,Personal trainer,0.36
2019,Friuli Venezia Giulia,Psicologo,0.27
2019,Friuli Venezia Giulia,Riparazione console videogiochi,0.02
2019,Italia,Lezioni di inglese,0.35
2019,Italia,Personal trainer,0.31
2019,Italia,Psicologo,0.31
