date,Energiezertifizierer,Dachdecker,Elektriker,Fenster,Smart Home,bauen,Blumen,Einbruch,Schlüsseldienst,Solar
2018-01-07,0,0,0,15,0,0,0,0,15,30
2018-01-14,0,0,0,0,12,12,24,0,0,14
2018-01-21,0,0,0,0,0,12,12,0,0,51
2018-01-28,0,0,0,0,0,13,25,0,0,44
2018-02-04,0,0,0,15,0,12,0,0,0,37
2018-02-11,0,0,0,0,0,0,13,0,0,16
2018-02-18,0,0,0,15,12,0,0,0,0,15
2018-02-25,0,0,15,15,0,0,0,0,0,44
2018-03-04,0,0,0,14,0,12,12,0,0,79
2018-03-11,0,0,0,21,0,12,12,12,0,35
2018-03-18,0,0,0,0,0,0,0,0,0,36
2018-03-25,0,0,0,0,0,0,0,0,0,16
2018-04-01,0,0,0,0,0,30,0,0,0,36
2018-04-08,0,0,0,0,13,0,19,0,0,38
2018-04-15,0,0,0,0,0,0,13,0,0,16
2018-04-22,0,0,0,15,0,0,13,0,0,53
2018-04-29,0,0,0,0,0,13,0,13,0,60
2018-05-06,0,0,0,0,0,13,13,0,0,16
2018-05-13,0,0,0,0,0,0,12,0,0,45
2018-05-20,0,0,0,16,0,13,0,0,0,24
2018-05-27,0,15,0,0,12,0,12,0,0,60
2018-06-03,0,0,0,15,0,0,0,0,0,23
2018-06-10,0,0,0,0,0,0,12,0,0,37
2018-06-17,0,0,0,0,0,13,0,0,0,23
2018-06-24,0,0,0,15,0,0,13,0,0,78
2018-07-01,0,0,0,0,0,0,0,0,0,41
2018-07-08,0,0,0,17,14,14,0,0,0,26
2018-07-15,0,0,0,18,15,15,15,0,0,18
2018-07-22,0,0,0,0,0,0,0,0,0,37
2018-07-29,0,0,0,21,0,0,0,0,0,20
2018-08-05,0,0,0,19,0,0,0,0,0,28
2018-08-12,0,0,0,0,0,0,15,0,0,36
2018-08-19,0,0,18,18,0,0,14,0,0,18
2018-08-26,0,0,16,16,0,0,0,0,0,49
2018-09-02,0,0,0,18,14,0,0,0,0,35
2018-09-09,0,0,0,17,0,0,0,0,0,33
2018-09-16,0,0,0,31,0,13,0,0,0,23
2018-09-23,0,0,0,31,0,0,13,0,0,30
2018-09-30,0,0,0,0,0,0,0,0,0,39
2018-10-07,0,0,0,16,0,0,0,0,16,63
2018-10-14,0,0,0,16,0,13,13,0,0,24
2018-10-21,0,0,0,17,0,14,0,0,0,17
2018-10-28,0,0,0,16,0,0,0,0,0,32
2018-11-04,0,0,0,0,0,0,13,0,0,31
2018-11-11,0,0,0,16,0,13,0,0,0,31
2018-11-18,0,0,15,31,0,0,0,13,0,62
2018-11-25,0,0,0,0,0,26,0,0,0,46
2018-12-02,0,0,0,15,13,13,0,0,0,31
2018-12-09,0,0,0,0,0,0,0,0,0,32
2018-12-16,0,0,0,17,14,0,0,0,0,34
2018-12-23,0,0,27,0,0,0,0,0,0,0
2018-12-30,0,0,0,24,0,0,20,0,0,24
2019-01-06,0,0,0,0,0,0,0,0,0,24
2019-01-13,0,15,16,16,0,13,13,0,0,23
2019-01-20,0,0,0,15,0,13,0,0,0,30
2019-01-27,0,0,0,0,0,12,0,0,0,23
2019-02-03,0,0,0,0,0,13,0,0,16,46
2019-02-10,0,0,0,0,13,13,0,0,0,24
2019-02-17,0,0,0,17,29,0,15,0,0,26
2019-02-24,0,0,0,16,0,0,0,0,0,31
2019-03-03,0,0,0,0,0,13,13,0,0,30
2019-03-10,0,0,0,0,25,0,25,0,0,38
2019-03-17,0,0,0,16,0,13,0,0,0,94
2019-03-24,0,0,0,31,0,0,13,0,0,23
2019-03-31,0,0,0,0,0,0,13,0,0,54
2019-04-07,0,0,0,15,0,0,19,0,0,31
2019-04-14,0,0,18,18,0,0,30,0,18,45
2019-04-21,0,0,19,19,0,15,15,0,0,28
2019-04-28,0,0,0,15,0,0,0,0,0,31
2019-05-05,0,0,0,15,0,0,12,0,0,44
2019-05-12,0,0,0,15,0,12,19,0,0,59
2019-05-19,0,0,0,0,13,0,13,0,0,38
2019-05-26,0,0,0,17,0,0,0,0,0,50
2019-06-02,0,0,0,0,0,0,0,0,0,55
2019-06-09,0,0,0,0,0,0,0,0,0,16
2019-06-16,0,0,0,0,0,0,0,0,0,22
2019-06-23,0,0,0,0,0,12,23,0,0,35
2019-06-30,0,0,0,0,0,14,0,0,0,81
2019-07-07,0,0,0,0,0,0,15,0,0,35
2019-07-14,0,0,0,0,16,0,16,0,0,28
2019-07-21,0,0,0,0,0,0,0,0,0,20
2019-07-28,0,0,0,0,0,0,18,0,0,44
2019-08-04,0,0,0,0,0,17,0,0,0,100
2019-08-11,0,0,0,0,0,15,0,0,0,65
2019-08-18,0,0,0,17,0,0,14,0,0,34
2019-08-25,0,0,0,0,0,0,0,0,0,16
2019-09-01,0,0,17,17,0,0,0,0,0,33
2019-09-08,0,0,0,0,0,13,0,0,0,32
2019-09-15,0,0,0,0,0,13,13,0,0,31
2019-09-22,0,0,0,0,0,0,0,0,0,30
2019-09-29,0,0,0,15,13,0,0,0,0,30
2019-10-06,0,0,0,0,0,0,12,0,0,15
2019-10-13,0,0,0,15,0,0,12,0,0,15
2019-10-20,0,0,0,0,0,13,13,0,0,32
2019-10-27,0,0,0,0,12,0,12,0,0,52
2019-11-03,0,0,0,15,0,25,0,0,0,15
2019-11-10,0,0,0,0,12,12,12,12,0,29
2019-11-17,0,0,0,15,12,12,0,0,0,51
2019-11-24,0,0,0,0,0,12,12,0,0,43
2019-12-01,0,0,0,0,0,0,0,12,0,30
2019-12-08,0,0,0,15,0,0,0,0,0,29
2019-12-15,0,0,0,0,0,0,0,0,0,30
