date,matrimonio in chiesa,matrimonio simbolico,matrimonio civile,isPartial
2018-01-07,21,3,51,False
2018-01-14,15,11,65,False
2018-01-21,21,0,55,False
2018-01-28,20,0,64,False
2018-02-04,22,0,57,False
2018-02-11,16,0,66,False
2018-02-18,19,3,52,False
2018-02-25,12,3,59,False
2018-03-04,17,3,58,False
2018-03-11,10,0,50,False
2018-03-18,19,3,57,False
2018-03-25,27,3,59,False
2018-04-01,16,6,52,False
2018-04-08,39,3,72,False
2018-04-15,22,5,39,False
2018-04-22,18,4,69,False
2018-04-29,27,5,68,False
2018-05-06,14,3,59,False
2018-05-13,38,0,65,False
2018-05-20,30,3,100,False
2018-05-27,15,5,72,False
2018-06-03,23,0,81,False
2018-06-10,25,8,68,False
2018-06-17,26,3,61,False
2018-06-24,9,5,68,False
2018-07-01,13,5,85,False
2018-07-08,13,3,67,False
2018-07-15,13,8,71,False
2018-07-22,13,0,78,False
2018-07-29,12,0,42,False
2018-08-05,18,3,59,False
2018-08-12,13,3,75,False
2018-08-19,23,3,65,False
2018-08-26,20,3,84,False
2018-09-02,26,3,83,False
2018-09-09,24,3,74,False
2018-09-16,37,3,75,False
2018-09-23,22,3,43,False
2018-09-30,13,4,53,False
2018-10-07,15,5,59,False
2018-10-14,12,0,59,False
2018-10-21,12,0,55,False
2018-10-28,14,3,48,False
2018-11-04,13,5,43,False
2018-11-11,11,0,50,False
2018-11-18,10,0,48,False
2018-11-25,13,0,48,False
2018-12-02,9,0,32,False
2018-12-09,13,0,35,False
2018-12-16,6,0,44,False
2018-12-23,12,0,42,False
2018-12-30,14,0,54,False
2019-01-06,20,0,55,False
2019-01-13,22,5,76,False
2019-01-20,15,2,79,False
2019-01-27,16,5,63,False
2019-02-03,11,0,80,False
2019-02-10,16,3,45,False
2019-02-17,10,5,58,False
2019-02-24,13,5,58,False
2019-03-03,13,5,73,False
2019-03-10,8,3,75,False
2019-03-17,14,4,63,False
2019-03-24,9,5,55,False
2019-03-31,20,0,77,False
2019-04-07,15,5,83,False
2019-04-14,8,5,62,False
2019-04-21,25,6,57,False
2019-04-28,22,4,70,False
2019-05-05,19,3,72,False
2019-05-12,17,2,78,False
2019-05-19,29,0,75,False
2019-05-26,25,5,76,False
2019-06-02,13,3,72,False
2019-06-09,21,5,52,False
2019-06-16,14,3,69,False
2019-06-23,24,0,67,False
2019-06-30,17,3,76,False
2019-07-07,9,3,67,False
2019-07-14,15,4,71,False
2019-07-21,20,3,72,False
2019-07-28,9,3,69,False
2019-08-04,18,3,70,False
2019-08-11,18,0,53,False
2019-08-18,5,5,62,False
2019-08-25,23,3,82,False
2019-09-01,24,2,80,False
2019-09-08,31,5,85,False
2019-09-15,30,5,66,False
2019-09-22,16,5,58,False
2019-09-29,10,2,67,False
2019-10-06,11,0,54,False
2019-10-13,16,2,53,False
2019-10-20,8,2,56,False
2019-10-27,12,0,54,False
2019-11-03,7,0,42,False
2019-11-10,6,2,45,False
2019-11-17,8,2,46,False
2019-11-24,6,2,36,False
2019-12-01,7,0,44,False
2019-12-08,7,2,39,False
2019-12-15,9,0,33,False
2019-12-22,13,3,27,False
2019-12-29,11,0,55,False
2020-01-05,10,2,55,False
2020-01-12,12,2,63,False
2020-01-19,23,2,85,False
2020-01-26,7,2,65,False
2020-02-02,15,2,59,False
2020-02-09,13,2,43,False
2020-02-16,8,2,57,False
2020-02-23,12,2,48,False
2020-03-01,16,0,37,False
2020-03-08,10,0,35,False
2020-03-15,7,0,28,False
2020-03-22,11,0,17,False
2020-03-29,11,2,33,False
2020-04-05,10,2,31,False
2020-04-12,10,4,26,False
2020-04-19,9,0,46,False
2020-04-26,9,0,50,False
2020-05-03,6,0,46,True
