date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,15,8,23,5,10,False
2018-01-14,23,15,15,7,5,False
2018-01-21,25,8,20,15,8,False
2018-01-28,15,18,20,5,8,False
2018-02-04,23,13,18,5,5,False
2018-02-11,29,5,32,0,16,False
2018-02-18,22,11,19,5,16,False
2018-02-25,21,5,23,10,10,False
2018-03-04,33,23,36,10,5,False
2018-03-11,29,13,37,16,5,False
2018-03-18,18,16,13,10,5,False
2018-03-25,23,21,23,5,0,False
2018-04-01,41,30,35,21,11,False
2018-04-08,32,34,13,11,13,False
2018-04-15,23,45,11,23,8,False
2018-04-22,23,36,15,36,8,False
2018-04-29,27,30,25,10,5,False
2018-05-06,25,25,15,13,15,False
2018-05-13,34,26,26,5,5,False
2018-05-20,31,18,18,18,5,False
2018-05-27,20,25,28,10,15,False
2018-06-03,22,25,20,7,17,False
2018-06-10,31,36,21,9,12,False
2018-06-17,28,36,23,18,21,False
2018-06-24,23,23,20,13,15,False
2018-07-01,24,46,25,7,19,False
2018-07-08,22,38,27,15,7,False
2018-07-15,17,30,30,5,17,False
2018-07-22,15,25,15,5,5,False
2018-07-29,24,37,27,15,22,False
2018-08-05,14,28,21,18,18,False
2018-08-12,12,24,21,10,12,False
2018-08-19,7,22,40,10,10,False
2018-08-26,12,7,47,5,7,False
2018-09-02,20,10,20,0,10,False
2018-09-09,23,15,15,5,10,False
2018-09-16,25,10,23,13,5,False
2018-09-23,23,8,21,5,10,False
2018-09-30,23,8,18,10,0,False
2018-10-07,21,5,24,5,0,False
2018-10-14,26,10,23,10,10,False
2018-10-21,24,5,30,5,5,False
2018-10-28,21,10,33,10,10,False
2018-11-04,25,12,12,5,5,False
2018-11-11,16,8,31,5,5,False
2018-11-18,20,5,35,25,0,False
2018-11-25,25,0,23,0,8,False
2018-12-02,18,8,15,0,5,False
2018-12-09,26,10,20,5,13,False
2018-12-16,13,5,16,0,0,False
2018-12-23,24,15,17,0,9,False
2018-12-30,11,0,11,0,11,False
2019-01-06,15,8,18,5,5,False
2019-01-13,20,5,33,5,0,False
2019-01-20,22,10,10,5,0,False
2019-01-27,27,25,25,5,5,False
2019-02-03,8,15,25,10,10,False
2019-02-10,22,11,19,8,11,False
2019-02-17,38,38,19,11,16,False
2019-02-24,20,23,68,17,11,False
2019-03-03,44,15,23,18,5,False
2019-03-10,28,23,25,13,5,False
2019-03-17,32,26,53,13,10,False
2019-03-24,25,51,28,13,13,False
2019-03-31,32,34,34,18,7,False
2019-04-07,24,24,29,4,4,False
2019-04-14,35,19,25,12,9,False
2019-04-21,22,23,32,11,20,False
2019-04-28,21,36,36,6,13,False
2019-05-05,26,22,35,13,6,False
2019-05-12,24,22,49,17,11,False
2019-05-19,39,19,26,4,15,False
2019-05-26,30,28,26,13,9,False
2019-06-02,30,36,32,20,8,False
2019-06-09,25,33,23,8,8,False
2019-06-16,26,39,35,11,13,False
2019-06-23,32,36,24,8,15,False
2019-06-30,31,35,29,29,31,False
2019-07-07,36,38,36,14,16,False
2019-07-14,38,30,43,20,20,False
2019-07-21,24,30,26,7,13,False
2019-07-28,7,11,20,16,11,False
2019-08-04,17,23,30,13,13,False
2019-08-11,21,13,19,6,21,False
2019-08-18,11,11,11,9,22,False
2019-08-25,19,27,23,4,21,False
2019-09-01,25,6,31,8,8,False
2019-09-08,8,17,31,8,6,False
2019-09-15,32,6,32,8,12,False
2019-09-22,29,8,17,12,4,False
2019-09-29,33,19,35,0,6,False
2019-10-06,38,8,25,8,13,False
2019-10-13,25,4,21,4,8,False
2019-10-20,23,21,34,0,6,False
2019-10-27,22,4,26,4,8,False
2019-11-03,33,15,25,4,6,False
2019-11-10,20,12,20,6,6,False
2019-11-17,19,13,47,0,4,False
2019-11-24,26,0,24,8,8,False
2019-12-01,6,4,21,4,13,False
2019-12-08,21,0,14,0,8,False
2019-12-15,31,8,23,4,4,False
2019-12-22,11,4,33,4,0,False
2019-12-29,13,4,17,0,4,False
2020-01-05,40,12,26,6,4,False
2020-01-12,29,17,25,8,6,False
2020-01-19,19,8,41,4,0,False
2020-01-26,29,4,31,4,12,False
2020-02-02,28,20,22,16,4,False
2020-02-09,26,16,16,8,8,False
2020-02-16,51,24,26,10,10,False
2020-02-23,22,19,45,6,8,False
2020-03-01,32,13,38,9,6,False
2020-03-08,34,26,34,6,7,False
2020-03-15,23,21,20,4,0,False
2020-03-22,14,21,28,9,7,False
2020-03-29,11,7,21,9,3,False
2020-04-05,22,48,24,21,9,False
2020-04-12,26,36,40,28,5,False
2020-04-19,28,19,10,12,7,False
2020-04-26,31,35,25,8,7,False
2020-05-03,34,70,25,20,20,False
2020-05-10,35,26,40,31,12,False
2020-05-17,30,100,30,36,34,False
2020-05-24,42,99,37,42,24,False
2020-05-31,20,73,38,19,24,False
2020-06-07,35,37,26,16,12,False
2020-06-14,37,33,33,17,21,True
