date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,24,8,20,12,16,False
2018-01-14,16,16,12,8,0,False
2018-01-21,32,8,39,8,8,False
2018-01-28,0,8,24,8,0,False
2018-02-04,32,16,24,12,16,False
2018-02-11,24,16,20,16,8,False
2018-02-18,21,29,38,12,8,False
2018-02-25,39,12,23,8,8,False
2018-03-04,31,8,24,27,0,False
2018-03-11,29,20,49,20,12,False
2018-03-18,36,24,40,16,16,False
2018-03-25,12,57,20,24,8,False
2018-04-01,25,25,25,24,8,False
2018-04-08,23,30,19,38,15,False
2018-04-15,39,39,13,70,18,False
2018-04-22,29,46,25,21,13,False
2018-04-29,15,27,31,23,8,False
2018-05-06,16,63,39,47,16,False
2018-05-13,20,20,39,16,16,False
2018-05-20,29,33,62,25,12,False
2018-05-27,32,56,24,44,8,False
2018-06-03,36,20,28,20,16,False
2018-06-10,39,15,35,31,15,False
2018-06-17,16,49,29,25,21,False
2018-06-24,24,48,32,20,12,False
2018-07-01,27,70,27,15,19,False
2018-07-08,15,46,34,27,8,False
2018-07-15,27,39,35,8,12,False
2018-07-22,31,23,38,23,8,False
2018-07-29,15,60,23,23,38,False
2018-08-05,14,38,24,7,10,False
2018-08-12,7,22,40,0,7,False
2018-08-19,26,30,34,30,11,False
2018-08-26,15,12,27,23,16,False
2018-09-02,40,16,40,0,8,False
2018-09-09,28,8,40,12,8,False
2018-09-16,33,8,29,8,8,False
2018-09-23,21,8,62,25,17,False
2018-09-30,25,21,45,25,8,False
2018-10-07,33,16,49,8,16,False
2018-10-14,8,8,25,0,8,False
2018-10-21,13,21,47,17,9,False
2018-10-28,33,8,45,0,12,False
2018-11-04,16,16,28,8,0,False
2018-11-11,24,8,16,24,8,False
2018-11-18,16,8,32,0,0,False
2018-11-25,12,16,45,8,8,False
2018-12-02,13,0,46,17,0,False
2018-12-09,17,8,30,8,8,False
2018-12-16,13,0,39,13,0,False
2018-12-23,0,0,15,10,20,False
2018-12-30,9,0,27,18,14,False
2019-01-06,29,8,46,8,8,False
2019-01-13,25,8,33,12,13,False
2019-01-20,20,16,36,16,16,False
2019-01-27,16,8,47,16,0,False
2019-02-03,25,25,33,20,0,False
2019-02-10,33,12,54,37,8,False
2019-02-17,33,25,29,17,8,False
2019-02-24,30,26,39,26,13,False
2019-03-03,34,17,39,21,17,False
2019-03-10,34,25,51,25,17,False
2019-03-17,34,30,30,30,9,False
2019-03-24,34,59,34,38,17,False
2019-03-31,78,25,49,29,16,False
2019-04-07,41,20,45,33,16,False
2019-04-14,40,40,24,36,16,False
2019-04-21,20,44,52,44,16,False
2019-04-28,37,33,16,62,16,False
2019-05-05,16,16,83,47,24,False
2019-05-12,36,28,52,32,12,False
2019-05-19,24,36,56,36,8,False
2019-05-26,8,35,32,39,16,False
2019-06-02,11,34,34,34,23,False
2019-06-09,8,38,38,45,15,False
2019-06-16,12,40,32,32,8,False
2019-06-23,12,55,31,27,16,False
2019-06-30,23,54,42,46,15,False
2019-07-07,15,44,40,36,11,False
2019-07-14,15,40,37,44,11,False
2019-07-21,25,21,60,28,35,False
2019-07-28,24,31,48,24,14,False
2019-08-04,17,44,27,30,10,False
2019-08-11,10,34,27,27,14,False
2019-08-18,16,9,41,28,9,False
2019-08-25,12,15,31,25,12,False
2019-09-01,11,29,14,11,11,False
2019-09-08,29,22,22,7,7,False
2019-09-15,29,7,22,18,7,False
2019-09-22,26,15,15,18,19,False
2019-09-29,19,15,41,22,30,False
2019-10-06,15,8,37,15,15,False
2019-10-13,33,0,44,11,7,False
2019-10-20,18,11,61,7,15,False
2019-10-27,22,15,44,18,7,False
2019-11-03,15,14,29,7,7,False
2019-11-10,15,7,40,29,7,False
2019-11-17,26,0,55,15,7,False
2019-11-24,18,7,28,11,7,False
2019-12-01,18,7,29,11,7,False
2019-12-08,14,14,61,7,7,False
2019-12-15,15,22,37,11,0,False
2019-12-22,8,0,16,12,0,False
2019-12-29,12,0,43,16,15,False
2020-01-05,18,7,46,11,7,False
2020-01-12,17,14,45,21,14,False
2020-01-19,21,14,34,14,7,False
2020-01-26,43,11,53,7,7,False
2020-02-02,25,11,32,25,21,False
2020-02-09,40,29,36,15,15,False
2020-02-16,32,18,28,18,7,False
2020-02-23,16,26,39,29,20,False
2020-03-01,16,23,19,19,6,False
2020-03-08,23,37,43,30,7,False
2020-03-15,18,12,21,24,6,False
2020-03-22,25,11,28,11,0,False
2020-03-29,12,14,29,29,0,False
2020-04-05,30,30,45,48,15,False
2020-04-12,18,29,26,55,15,False
2020-04-19,14,14,25,56,11,False
2020-04-26,30,41,25,63,14,False
2020-05-03,37,68,39,79,17,False
2020-05-10,23,45,40,51,20,False
2020-05-17,45,87,35,99,32,False
2020-05-24,22,69,47,100,28,False
2020-05-31,38,71,30,50,12,False
2020-06-07,51,63,66,57,6,False
2020-06-14,29,65,36,29,0,True
