date,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello,isPartial
2018-01-07,15,0,0,15,15,False
2018-01-14,51,0,0,15,15,False
2018-01-21,28,0,0,41,0,False
2018-01-28,14,0,0,35,28,False
2018-02-04,14,0,0,21,21,False
2018-02-11,22,0,0,15,0,False
2018-02-18,35,0,0,28,43,False
2018-02-25,0,0,0,14,14,False
2018-03-04,22,0,0,29,29,False
2018-03-11,29,0,0,0,15,False
2018-03-18,15,0,0,30,37,False
2018-03-25,16,0,0,16,0,False
2018-04-01,16,0,0,40,16,False
2018-04-08,44,0,0,51,29,False
2018-04-15,15,0,0,31,15,False
2018-04-22,16,0,0,23,31,False
2018-04-29,23,0,0,30,15,False
2018-05-06,45,0,0,30,0,False
2018-05-13,23,0,0,15,30,False
2018-05-20,30,0,0,23,53,False
2018-05-27,30,0,0,30,30,False
2018-06-03,75,0,0,75,45,False
2018-06-10,15,0,0,29,22,False
2018-06-17,24,0,0,56,16,False
2018-06-24,16,0,0,25,33,False
2018-07-01,16,0,0,41,49,False
2018-07-08,33,0,0,33,24,False
2018-07-15,0,0,0,51,17,False
2018-07-22,0,0,0,51,60,False
2018-07-29,0,0,0,0,18,False
2018-08-05,20,0,0,30,39,False
2018-08-12,44,0,0,22,44,False
2018-08-19,20,0,0,41,0,False
2018-08-26,35,0,0,35,35,False
2018-09-02,17,0,0,25,58,False
2018-09-09,32,0,0,16,32,False
2018-09-16,32,0,0,24,24,False
2018-09-23,16,0,0,16,0,False
2018-09-30,16,0,0,32,0,False
2018-10-07,48,0,0,16,48,False
2018-10-14,16,0,0,41,24,False
2018-10-21,63,0,0,24,31,False
2018-10-28,23,0,0,31,47,False
2018-11-04,15,0,0,30,59,False
2018-11-11,31,0,0,61,23,False
2018-11-18,15,0,0,15,15,False
2018-11-25,15,0,0,15,30,False
2018-12-02,0,0,0,15,23,False
2018-12-09,15,0,0,15,15,False
2018-12-16,0,0,0,16,16,False
2018-12-23,18,0,0,37,37,False
2018-12-30,0,0,0,17,100,False
2019-01-06,15,0,0,22,15,False
2019-01-13,22,0,0,29,43,False
2019-01-20,28,0,0,28,28,False
2019-01-27,34,0,0,13,54,False
2019-02-03,0,0,0,0,14,False
2019-02-10,14,0,0,28,0,False
2019-02-17,28,0,0,28,0,False
2019-02-24,0,0,0,58,15,False
2019-03-03,29,0,0,29,29,False
2019-03-10,29,0,0,29,15,False
2019-03-17,29,0,0,14,14,False
2019-03-24,15,0,0,14,15,False
2019-03-31,35,0,0,21,14,False
2019-04-07,28,0,0,21,42,False
2019-04-14,29,0,0,59,59,False
2019-04-21,16,0,0,48,48,False
2019-04-28,22,0,0,22,59,False
2019-05-05,29,0,0,36,29,False
2019-05-12,28,0,0,28,42,False
2019-05-19,14,0,0,21,21,False
2019-05-26,14,0,0,27,34,False
2019-06-02,14,0,0,14,35,False
2019-06-09,34,0,0,21,14,False
2019-06-16,28,0,0,29,14,False
2019-06-23,29,0,0,29,52,False
2019-06-30,15,0,0,36,22,False
2019-07-07,29,0,0,29,58,False
2019-07-14,23,0,0,38,30,False
2019-07-21,55,0,0,16,16,False
2019-07-28,32,0,0,48,32,False
2019-08-04,25,0,0,0,17,False
2019-08-11,19,0,0,19,19,False
2019-08-18,0,0,0,17,17,False
2019-08-25,15,0,0,22,37,False
2019-09-01,54,0,0,14,34,False
2019-09-08,14,0,0,21,49,False
2019-09-15,13,0,0,33,27,False
2019-09-22,28,0,0,14,14,False
2019-09-29,55,0,0,21,42,False
2019-10-06,14,0,0,28,28,False
2019-10-13,20,0,0,48,27,False
2019-10-20,39,0,0,19,26,False
2019-10-27,13,0,0,13,27,False
2019-11-03,27,0,0,0,13,False
2019-11-10,0,0,0,26,13,False
2019-11-17,19,0,0,26,0,False
2019-11-24,0,0,0,25,0,False
2019-12-01,0,0,0,0,0,False
2019-12-08,27,0,0,13,0,False
2019-12-15,0,0,0,27,13,False
2019-12-22,23,0,0,30,38,False
2019-12-29,0,0,0,15,22,False
2020-01-05,26,0,0,51,19,False
2020-01-12,18,0,0,24,12,False
2020-01-19,18,0,0,25,18,False
2020-01-26,36,0,0,12,36,False
2020-02-02,18,0,0,12,36,False
2020-02-09,12,0,0,25,12,False
2020-02-16,18,0,0,24,12,False
2020-02-23,11,0,0,11,23,False
2020-03-01,11,0,0,23,23,False
2020-03-08,0,0,0,0,0,False
2020-03-15,11,0,0,0,11,False
2020-03-22,0,0,0,10,10,False
2020-03-29,11,0,0,11,0,False
2020-04-05,11,0,0,11,0,False
2020-04-12,11,0,0,11,23,False
2020-04-19,22,0,0,11,11,False
2020-04-26,0,0,0,11,16,False
2020-05-03,0,0,0,11,0,False
2020-05-10,0,0,0,0,25,True
