date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,3,42,12,3,False
2018-01-14,3,59,16,6,False
2018-01-21,3,40,17,3,False
2018-01-28,3,39,12,2,False
2018-02-04,6,37,11,4,False
2018-02-11,3,39,10,4,False
2018-02-18,2,43,10,3,False
2018-02-25,4,36,16,3,False
2018-03-04,4,27,13,0,False
2018-03-11,3,33,13,7,False
2018-03-18,5,29,17,3,False
2018-03-25,4,38,13,4,False
2018-04-01,2,41,13,4,False
2018-04-08,5,25,11,2,False
2018-04-15,6,32,14,3,False
2018-04-22,5,35,11,4,False
2018-04-29,4,34,14,2,False
2018-05-06,2,35,14,3,False
2018-05-13,13,100,14,6,False
2018-05-20,26,66,17,6,False
2018-05-27,10,32,13,3,False
2018-06-03,7,35,14,5,False
2018-06-10,3,31,14,4,False
2018-06-17,2,30,6,3,False
2018-06-24,2,32,10,2,False
2018-07-01,3,27,10,2,False
2018-07-08,7,22,9,2,False
2018-07-15,5,34,11,3,False
2018-07-22,3,26,9,3,False
2018-07-29,2,41,8,5,False
2018-08-05,3,29,18,6,False
2018-08-12,2,43,12,6,False
2018-08-19,4,38,9,0,False
2018-08-26,3,40,13,3,False
2018-09-02,6,39,16,5,False
2018-09-09,5,35,6,4,False
2018-09-16,4,36,10,2,False
2018-09-23,3,33,9,2,False
2018-09-30,2,28,8,4,False
2018-10-07,6,40,11,4,False
2018-10-14,4,45,9,3,False
2018-10-21,3,35,6,3,False
2018-10-28,3,27,12,2,False
2018-11-04,7,39,5,2,False
2018-11-11,2,36,6,2,False
2018-11-18,2,20,3,0,False
2018-11-25,3,29,6,2,False
2018-12-02,3,33,7,2,False
2018-12-09,2,25,11,2,False
2018-12-16,2,25,3,3,False
2018-12-23,5,31,5,2,False
2018-12-30,2,31,6,5,False
2019-01-06,2,33,6,3,False
2019-01-13,2,35,5,3,False
2019-01-20,3,43,12,2,False
2019-01-27,3,36,10,2,False
2019-02-03,2,44,6,3,False
2019-02-10,2,30,8,2,False
2019-02-17,2,34,7,4,False
2019-02-24,2,26,8,3,False
2019-03-03,3,33,11,6,False
2019-03-10,2,27,10,5,False
2019-03-17,2,38,12,4,False
2019-03-24,4,42,7,7,False
2019-03-31,5,35,7,3,False
2019-04-07,4,32,12,5,False
2019-04-14,2,28,10,3,False
2019-04-21,5,26,13,3,False
2019-04-28,2,27,12,2,False
2019-05-05,5,28,10,4,False
2019-05-12,6,25,11,7,False
2019-05-19,6,33,6,2,False
2019-05-26,8,32,8,2,False
2019-06-02,7,19,9,3,False
2019-06-09,2,36,11,4,False
2019-06-16,3,40,12,2,False
2019-06-23,3,29,6,2,False
2019-06-30,2,25,9,4,False
2019-07-07,3,31,18,5,False
2019-07-14,5,31,8,3,False
2019-07-21,5,27,16,5,False
2019-07-28,4,39,11,4,False
2019-08-04,8,43,13,3,False
2019-08-11,2,36,7,4,False
2019-08-18,6,34,11,2,False
2019-08-25,3,29,5,2,False
2019-09-01,0,35,11,3,False
2019-09-08,4,33,13,5,False
2019-09-15,3,35,8,2,False
2019-09-22,2,40,11,2,False
2019-09-29,3,31,10,2,False
2019-10-06,2,33,6,2,False
2019-10-13,3,33,9,5,False
2019-10-20,6,28,10,0,False
2019-10-27,2,42,5,3,False
2019-11-03,2,34,5,0,False
2019-11-10,2,37,5,4,False
2019-11-17,2,26,4,2,False
2019-11-24,4,24,6,1,False
2019-12-01,2,21,11,0,False
2019-12-08,0,22,5,2,False
2019-12-15,2,26,5,3,False
2019-12-22,0,30,7,2,False
2019-12-29,3,35,5,3,False
2020-01-05,0,40,11,3,False
2020-01-12,1,41,9,2,False
2020-01-19,3,41,9,2,False
2020-01-26,3,35,8,3,False
2020-02-02,4,28,9,5,False
2020-02-09,4,25,5,3,False
2020-02-16,2,28,8,5,False
2020-02-23,2,30,9,3,False
2020-03-01,2,27,14,1,False
2020-03-08,0,15,5,3,False
2020-03-15,1,10,3,1,False
2020-03-22,3,15,6,3,False
2020-03-29,1,16,3,0,False
2020-04-05,1,14,4,1,False
2020-04-12,1,12,3,2,False
2020-04-19,3,17,3,1,False
2020-04-26,3,26,5,0,False
2020-05-03,0,30,0,10,True
