date,Hochzeit Bilder,Brautkleid,Hochzeitstorte,Blumen Hochzeit,isPartial
2018-01-07,7,55,18,4,False
2018-01-14,4,50,18,0,False
2018-01-21,3,51,23,7,False
2018-01-28,0,56,7,7,False
2018-02-04,0,51,12,4,False
2018-02-11,0,57,21,5,False
2018-02-18,4,56,14,4,False
2018-02-25,4,41,12,0,False
2018-03-04,4,66,20,7,False
2018-03-11,0,42,19,7,False
2018-03-18,4,31,20,5,False
2018-03-25,4,40,10,10,False
2018-04-01,0,43,22,4,False
2018-04-08,4,38,9,4,False
2018-04-15,4,29,25,4,False
2018-04-22,9,28,13,6,False
2018-04-29,0,52,17,6,False
2018-05-06,11,43,4,4,False
2018-05-13,16,100,25,11,False
2018-05-20,21,82,27,4,False
2018-05-27,4,29,25,8,False
2018-06-03,4,49,19,0,False
2018-06-10,4,31,17,4,False
2018-06-17,8,40,11,4,False
2018-06-24,4,43,20,4,False
2018-07-01,4,33,10,8,False
2018-07-08,0,23,16,8,False
2018-07-15,6,41,16,4,False
2018-07-22,6,25,20,8,False
2018-07-29,4,35,21,4,False
2018-08-05,7,34,9,6,False
2018-08-12,11,28,19,8,False
2018-08-19,9,54,7,4,False
2018-08-26,5,38,16,7,False
2018-09-02,4,40,22,11,False
2018-09-09,7,54,18,4,False
2018-09-16,7,33,11,4,False
2018-09-23,0,43,17,7,False
2018-09-30,4,43,10,4,False
2018-10-07,4,61,11,4,False
2018-10-14,4,40,5,4,False
2018-10-21,7,39,14,0,False
2018-10-28,4,36,9,4,False
2018-11-04,7,49,10,0,False
2018-11-11,11,56,4,4,False
2018-11-18,0,48,5,4,False
2018-11-25,6,47,8,0,False
2018-12-02,0,28,7,4,False
2018-12-09,4,36,13,11,False
2018-12-16,4,42,10,4,False
2018-12-23,0,31,11,0,False
2018-12-30,6,32,12,4,False
2019-01-06,4,53,13,4,False
2019-01-13,5,52,14,4,False
2019-01-20,3,38,24,3,False
2019-01-27,0,51,12,5,False
2019-02-03,0,51,9,0,False
2019-02-10,7,39,7,4,False
2019-02-17,4,35,16,7,False
2019-02-24,0,33,5,0,False
2019-03-03,4,58,21,5,False
2019-03-10,7,28,10,7,False
2019-03-17,4,36,9,4,False
2019-03-24,4,38,11,0,False
2019-03-31,0,45,12,4,False
2019-04-07,5,23,7,4,False
2019-04-14,4,25,10,8,False
2019-04-21,4,38,17,8,False
2019-04-28,7,24,16,4,False
2019-05-05,7,35,16,3,False
2019-05-12,9,38,20,11,False
2019-05-19,5,48,12,4,False
2019-05-26,4,38,13,13,False
2019-06-02,7,26,16,5,False
2019-06-09,0,21,5,0,False
2019-06-16,4,56,28,0,False
2019-06-23,0,48,6,0,False
2019-06-30,4,33,20,4,False
2019-07-07,4,53,9,4,False
2019-07-14,6,34,25,4,False
2019-07-21,0,37,14,0,False
2019-07-28,4,45,23,4,False
2019-08-04,15,54,15,4,False
2019-08-11,0,28,19,3,False
2019-08-18,11,35,11,7,False
2019-08-25,4,55,4,4,False
2019-09-01,3,32,28,3,False
2019-09-08,0,55,25,11,False
2019-09-15,4,49,22,4,False
2019-09-22,4,37,11,9,False
2019-09-29,7,39,13,4,False
2019-10-06,4,48,11,7,False
2019-10-13,0,46,17,0,False
2019-10-20,3,42,12,3,False
2019-10-27,3,33,18,7,False
2019-11-03,3,50,8,3,False
2019-11-10,0,26,13,5,False
2019-11-17,3,32,3,7,False
2019-11-24,0,44,7,0,False
2019-12-01,0,17,7,0,False
2019-12-08,7,27,5,3,False
2019-12-15,0,27,5,0,False
2019-12-22,4,36,8,4,False
2019-12-29,4,36,15,0,False
2020-01-05,0,67,8,10,False
2020-01-12,6,50,16,6,False
2020-01-19,6,45,11,10,False
2020-01-26,6,40,13,0,False
2020-02-02,5,49,8,3,False
2020-02-09,3,53,11,3,False
2020-02-16,3,42,10,6,False
2020-02-23,6,38,13,8,False
2020-03-01,6,22,20,3,False
2020-03-08,0,44,10,3,False
2020-03-15,0,15,10,0,False
2020-03-22,4,10,6,3,False
2020-03-29,0,18,3,0,False
2020-04-05,3,15,10,3,False
2020-04-12,9,25,3,3,False
2020-04-19,3,27,4,3,False
2020-04-26,0,19,7,0,False
2020-05-03,0,58,23,0,True
