date,pastel boda,boda fotografo,boda vestido,flores boda,lugares para bodas,isPartial
2018-01-07,0,2,19,6,0,False
2018-01-14,0,2,15,5,0,False
2018-01-21,0,4,18,2,0,False
2018-01-28,0,0,17,5,0,False
2018-02-04,0,2,14,2,0,False
2018-02-11,0,0,23,7,0,False
2018-02-18,0,2,31,2,0,False
2018-02-25,0,2,28,3,0,False
2018-03-04,0,0,23,4,0,False
2018-03-11,0,2,18,4,0,False
2018-03-18,0,0,32,6,0,False
2018-03-25,0,2,22,3,0,False
2018-04-01,0,0,27,6,0,False
2018-04-08,0,2,33,6,0,False
2018-04-15,0,2,23,6,0,False
2018-04-22,0,2,29,5,0,False
2018-04-29,0,4,29,6,0,False
2018-05-06,0,2,27,6,0,False
2018-05-13,0,2,48,4,0,False
2018-05-20,0,0,47,8,0,False
2018-05-27,0,4,34,7,0,False
2018-06-03,0,2,32,7,0,False
2018-06-10,0,2,32,8,0,False
2018-06-17,0,0,14,3,0,False
2018-06-24,0,0,31,2,0,False
2018-07-01,0,2,28,9,0,False
2018-07-08,0,0,31,5,0,False
2018-07-15,0,0,30,6,0,False
2018-07-22,0,4,28,4,0,False
2018-07-29,0,4,25,4,0,False
2018-08-05,0,4,27,6,0,False
2018-08-12,0,2,23,6,0,False
2018-08-19,0,2,25,7,0,False
2018-08-26,0,0,26,11,0,False
2018-09-02,0,4,44,7,0,False
2018-09-09,0,2,37,8,0,False
2018-09-16,0,0,25,9,0,False
2018-09-23,0,2,22,7,0,False
2018-09-30,0,0,33,3,0,False
2018-10-07,0,4,33,6,0,False
2018-10-14,0,0,25,4,0,False
2018-10-21,0,0,13,6,0,False
2018-10-28,0,4,15,2,0,False
2018-11-04,0,2,10,3,0,False
2018-11-11,0,2,11,3,0,False
2018-11-18,0,0,19,6,0,False
2018-11-25,0,2,9,8,0,False
2018-12-02,0,0,8,5,0,False
2018-12-09,0,0,9,5,0,False
2018-12-16,0,0,7,4,0,False
2018-12-23,0,0,12,0,0,False
2018-12-30,0,2,9,2,0,False
2019-01-06,0,2,12,13,0,False
2019-01-13,0,2,7,2,0,False
2019-01-20,0,2,19,5,0,False
2019-01-27,0,0,27,3,0,False
2019-02-03,0,0,21,2,0,False
2019-02-10,0,0,19,4,0,False
2019-02-17,0,4,17,6,0,False
2019-02-24,0,0,22,4,0,False
2019-03-03,0,2,28,17,0,False
2019-03-10,0,2,29,4,0,False
2019-03-17,0,6,24,4,0,False
2019-03-24,0,2,27,2,0,False
2019-03-31,0,4,27,4,0,False
2019-04-07,0,2,19,4,0,False
2019-04-14,0,2,13,3,0,False
2019-04-21,0,4,13,4,0,False
2019-04-28,0,0,27,4,0,False
2019-05-05,0,0,26,4,0,False
2019-05-12,0,2,30,5,0,False
2019-05-19,0,3,26,4,0,False
2019-05-26,0,2,26,5,0,False
2019-06-02,0,5,31,3,0,False
2019-06-09,0,0,56,9,0,False
2019-06-16,0,2,100,7,0,False
2019-06-23,0,3,96,7,0,False
2019-06-30,0,2,57,4,0,False
2019-07-07,0,2,43,5,0,False
2019-07-14,0,2,29,7,0,False
2019-07-21,0,0,29,6,0,False
2019-07-28,0,4,22,3,0,False
2019-08-04,0,0,31,4,0,False
2019-08-11,0,2,24,3,0,False
2019-08-18,0,2,45,4,0,False
2019-08-25,0,2,33,5,0,False
2019-09-01,0,2,35,6,0,False
2019-09-08,0,2,30,4,0,False
2019-09-15,0,0,45,9,0,False
2019-09-22,0,0,28,9,0,False
2019-09-29,0,2,32,5,0,False
2019-10-06,0,2,34,6,0,False
2019-10-13,0,2,30,9,0,False
2019-10-20,0,3,26,2,0,False
2019-10-27,0,3,15,3,0,False
2019-11-03,0,2,18,2,0,False
2019-11-10,0,0,7,2,0,False
2019-11-17,0,0,11,4,0,False
2019-11-24,0,0,6,2,0,False
2019-12-01,0,2,11,3,0,False
2019-12-08,0,0,8,3,0,False
2019-12-15,0,3,3,2,0,False
2019-12-22,0,2,9,2,0,False
2019-12-29,0,0,14,3,0,False
2020-01-05,0,2,12,2,0,False
2020-01-12,0,4,21,7,0,False
2020-01-19,0,3,29,4,0,False
2020-01-26,0,0,20,6,0,False
2020-02-02,0,0,17,5,0,False
2020-02-09,0,3,23,3,0,False
2020-02-16,0,2,24,2,0,False
2020-02-23,0,0,20,2,0,False
2020-03-01,0,2,25,3,0,False
2020-03-08,0,2,23,8,0,False
2020-03-15,0,1,5,1,0,False
2020-03-22,0,0,7,1,0,False
2020-03-29,0,0,5,3,0,False
2020-04-05,0,1,4,1,0,False
2020-04-12,0,0,5,4,0,False
2020-04-19,0,0,3,0,0,False
2020-04-26,0,0,4,4,0,False
2020-05-03,0,0,0,0,0,True
