date,mariage chic _x,mariage nature ,mariage romantique ,mariage original ,mariage traditionnel ,isPartial_x,mariage chic _y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,isPartial_y,mariage chic ,mariage vintage,mariage plage ,isPartial
2018-01-07,0,0,0,0,0,False,0,0,0,0,0,False,0,24,0,False
2018-01-14,31,0,0,61,0,False,31,0,0,0,0,False,24,0,0,False
2018-01-21,0,0,0,0,0,False,0,0,0,0,0,False,24,0,0,False
2018-01-28,63,0,0,31,0,False,63,0,31,0,0,False,0,49,0,False
2018-02-04,45,0,0,30,0,False,45,0,0,0,0,False,23,0,0,False
2018-02-11,31,0,0,31,0,False,31,0,0,31,0,False,24,24,0,False
2018-02-18,31,0,0,31,0,False,31,0,0,0,0,False,37,0,0,False
2018-02-25,31,0,0,0,0,False,31,0,0,32,0,False,24,0,0,False
2018-03-04,32,0,0,32,0,False,32,0,0,0,0,False,25,0,0,False
2018-03-11,32,0,0,0,0,False,32,0,0,32,0,False,25,0,0,False
2018-03-18,63,0,0,31,0,False,63,0,0,32,0,False,37,0,0,False
2018-03-25,64,0,0,0,0,False,64,0,0,32,0,False,50,0,0,False
2018-04-01,32,0,0,0,0,False,32,0,32,0,0,False,25,25,0,False
2018-04-08,31,0,0,0,0,False,31,0,32,0,0,False,24,0,0,False
2018-04-15,100,0,0,33,0,False,100,0,0,0,0,False,78,0,0,False
2018-04-22,0,0,0,32,0,False,0,0,0,0,0,False,0,25,0,False
2018-04-29,84,0,0,33,0,False,84,0,0,0,0,False,52,26,0,False
2018-05-06,69,0,0,34,0,False,69,0,0,0,0,False,53,0,0,False
2018-05-13,32,0,0,32,0,False,32,0,0,32,0,False,25,0,0,False
2018-05-20,66,0,0,33,0,False,66,0,0,0,0,False,64,25,0,False
2018-05-27,0,0,0,32,0,False,0,0,0,0,0,False,0,0,0,False
2018-06-03,63,0,0,0,0,False,63,0,0,32,0,False,49,0,0,False
2018-06-10,30,0,0,30,0,False,30,0,30,0,0,False,23,0,0,False
2018-06-17,0,0,0,32,0,False,0,0,32,0,0,False,0,0,0,False
2018-06-24,48,0,0,0,0,False,48,0,0,0,0,False,50,0,0,False
2018-07-01,31,0,0,0,0,False,31,0,0,0,0,False,36,24,0,False
2018-07-08,49,0,0,33,0,False,49,0,0,0,0,False,38,0,0,False
2018-07-15,53,0,0,0,0,False,53,0,71,0,0,False,27,0,0,False
2018-07-22,0,0,0,35,0,False,0,0,0,35,0,False,0,0,0,False
2018-07-29,35,0,0,70,0,False,35,0,0,35,0,False,0,0,0,False
2018-08-05,36,0,0,0,0,False,36,0,0,36,0,False,28,0,0,False
2018-08-12,0,0,0,75,0,False,0,0,38,38,0,False,29,0,0,False
2018-08-19,35,0,0,71,0,False,35,0,0,36,0,False,42,0,0,False
2018-08-26,33,0,0,33,0,False,33,0,0,0,0,False,26,0,0,False
2018-09-02,34,0,0,34,0,False,34,0,0,0,0,False,0,0,0,False
2018-09-09,0,0,0,50,0,False,0,0,0,0,0,False,52,0,0,False
2018-09-16,32,0,0,0,0,False,32,0,0,0,0,False,25,0,0,False
2018-09-23,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-09-30,0,0,0,0,0,False,0,0,0,33,0,False,26,0,0,False
2018-10-07,33,0,0,0,0,False,33,0,33,0,0,False,26,26,0,False
2018-10-14,0,0,0,0,0,False,0,0,0,0,0,False,0,26,0,False
2018-10-21,34,0,0,0,0,False,34,0,0,0,0,False,27,27,0,False
2018-10-28,0,0,0,0,0,False,0,0,33,33,0,False,25,25,0,False
2018-11-04,64,0,0,31,0,False,64,0,0,32,0,False,0,0,0,False
2018-11-11,32,0,0,0,0,False,32,0,0,0,0,False,25,0,0,False
2018-11-18,31,0,0,0,0,False,31,0,0,0,0,False,0,0,0,False
2018-11-25,31,0,0,0,0,False,31,0,0,0,0,False,0,0,0,False
2018-12-02,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-12-09,32,0,0,0,0,False,32,0,0,0,0,False,25,0,0,False
2018-12-16,0,0,0,33,0,False,0,0,0,33,0,False,25,0,0,False
2018-12-23,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2018-12-30,68,0,0,0,0,False,68,0,34,34,0,False,39,0,0,False
2019-01-06,32,0,0,0,0,False,32,0,0,0,0,False,25,25,0,False
2019-01-13,79,0,0,32,0,False,79,0,0,0,0,False,62,0,0,False
2019-01-20,0,0,0,30,0,False,0,0,0,30,0,False,0,0,0,False
2019-01-27,61,0,0,0,0,False,61,0,0,30,0,False,24,0,0,False
2019-02-03,0,0,0,0,0,False,0,0,32,0,0,False,0,25,0,False
2019-02-10,34,0,0,0,0,False,34,0,0,34,0,False,26,26,0,False
2019-02-17,68,0,0,0,0,False,68,0,0,0,0,False,53,0,0,False
2019-02-24,48,0,0,0,0,False,48,0,32,32,0,False,37,25,0,False
2019-03-03,31,0,0,31,0,False,31,0,0,31,0,False,24,0,0,False
2019-03-10,31,0,0,0,0,False,31,0,0,0,0,False,24,24,0,False
2019-03-17,66,0,0,0,0,False,66,0,0,0,0,False,39,0,0,False
2019-03-24,33,0,0,33,0,False,33,0,0,0,0,False,26,0,0,False
2019-03-31,33,0,0,32,0,False,33,0,0,0,0,False,51,0,0,False
2019-04-07,67,0,0,51,0,False,67,0,34,0,0,False,53,0,0,False
2019-04-14,34,0,0,34,0,False,34,0,0,0,0,False,26,0,0,False
2019-04-21,47,0,0,0,0,False,47,0,31,31,0,False,48,0,0,False
2019-04-28,60,0,0,0,0,False,60,0,0,0,0,False,23,47,0,False
2019-05-05,61,0,0,30,0,False,61,0,31,31,0,False,23,23,0,False
2019-05-12,63,0,0,0,0,False,63,0,0,0,0,False,49,0,0,False
2019-05-19,31,0,0,0,0,False,31,0,0,0,0,False,0,24,0,False
2019-05-26,79,0,0,32,0,False,79,0,64,32,0,False,74,49,0,False
2019-06-02,29,0,0,29,0,False,29,0,0,29,0,False,23,23,0,False
2019-06-09,0,0,0,30,0,False,0,0,0,0,0,False,47,0,0,False
2019-06-16,64,0,0,32,0,False,64,0,32,32,0,False,100,0,0,False
2019-06-23,31,0,0,47,0,False,31,0,0,0,0,False,0,24,0,False
2019-06-30,31,0,0,31,0,False,31,0,0,0,0,False,49,24,0,False
2019-07-07,32,0,0,32,0,False,32,0,0,32,0,False,25,25,0,False
2019-07-14,33,0,0,33,0,False,33,0,0,0,0,False,26,0,0,False
2019-07-21,0,0,0,0,0,False,0,0,0,0,0,False,52,0,0,False
2019-07-28,34,0,0,0,0,False,34,0,34,0,0,False,0,0,0,False
2019-08-04,35,0,0,35,0,False,35,0,35,35,0,False,27,0,0,False
2019-08-11,51,0,0,0,0,False,51,0,34,0,0,False,53,0,0,False
2019-08-18,34,0,0,0,0,False,34,0,34,0,0,False,40,27,0,False
2019-08-25,31,0,0,62,0,False,31,0,32,0,0,False,24,24,0,False
2019-09-01,0,0,0,0,0,False,0,0,0,0,0,False,24,24,0,False
2019-09-08,61,0,0,31,0,False,61,0,0,0,0,False,48,0,0,False
2019-09-15,30,0,0,30,0,False,30,0,62,31,0,False,24,0,0,False
2019-09-22,58,0,0,0,0,False,58,0,0,0,0,False,45,23,0,False
2019-09-29,29,0,0,0,0,False,29,0,29,29,0,False,23,0,0,False
2019-10-06,43,0,0,58,0,False,43,0,29,0,0,False,45,22,0,False
2019-10-13,88,0,0,0,0,False,88,0,0,0,0,False,46,0,0,False
2019-10-20,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2019-10-27,0,0,0,28,0,False,0,0,0,0,0,False,22,0,0,False
2019-11-03,57,0,0,0,0,False,57,0,0,29,0,False,0,0,0,False
2019-11-10,28,0,0,0,0,False,28,0,0,0,0,False,22,0,0,False
2019-11-17,28,0,0,57,0,False,28,0,0,0,0,False,0,44,0,False
2019-11-24,27,0,0,27,0,False,27,0,0,0,0,False,21,0,0,False
2019-12-01,28,0,0,0,0,False,28,0,0,0,0,False,22,0,0,False
2019-12-08,28,0,0,27,0,False,28,0,0,0,0,False,21,0,0,False
2019-12-15,0,0,0,28,0,False,0,0,0,28,0,False,0,0,0,False
2019-12-22,59,0,0,0,0,False,59,0,0,0,0,False,46,0,0,False
2019-12-29,29,0,0,0,0,False,29,0,0,29,0,False,23,0,0,False
2020-01-05,27,0,0,27,0,False,27,0,0,0,0,False,21,0,0,False
2020-01-12,54,0,0,0,0,False,54,0,0,0,0,False,42,0,0,False
2020-01-19,55,0,0,27,0,False,55,0,28,56,0,False,44,0,0,False
2020-01-26,53,0,0,27,0,False,53,0,27,0,0,False,31,0,0,False
2020-02-02,54,0,0,41,0,False,54,0,0,27,0,False,63,0,0,False
2020-02-09,27,0,0,53,0,False,27,0,27,27,0,False,21,0,0,False
2020-02-16,55,0,0,28,0,False,55,0,0,28,0,False,43,0,0,False
2020-02-23,40,0,0,0,0,False,40,0,27,27,0,False,62,31,0,False
2020-03-01,26,0,0,26,0,False,26,0,0,26,0,False,20,20,0,False
2020-03-08,0,0,0,26,0,False,0,0,0,0,0,False,20,20,0,False
2020-03-15,45,0,0,45,0,False,45,0,0,23,0,False,35,0,0,False
2020-03-22,0,0,0,0,0,False,0,0,0,0,0,False,17,0,0,False
2020-03-29,22,0,0,0,0,False,22,0,22,0,0,False,17,0,0,False
2020-04-05,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-04-12,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
2020-04-19,33,0,0,44,0,False,33,0,0,0,0,False,17,0,0,False
2020-04-26,21,0,0,0,0,False,21,0,0,0,0,False,32,0,0,False
2020-05-03,0,0,0,0,0,True,0,0,0,0,0,True,0,0,0,True
