date,apprendre anglais,Cours de yoga,jardiner,Coach sportif,Cours de cuisine,isPartial
2018-01-07,22,11,16,27,22,False
2018-01-14,11,11,16,14,14,False
2018-01-21,14,11,14,28,11,False
2018-01-28,25,14,16,27,11,False
2018-02-04,24,16,24,21,16,False
2018-02-11,11,11,26,31,32,False
2018-02-18,22,0,27,16,11,False
2018-02-25,22,22,40,65,15,False
2018-03-04,37,11,21,18,14,False
2018-03-11,16,11,18,27,11,False
2018-03-18,21,16,32,18,21,False
2018-03-25,22,0,58,29,22,False
2018-04-01,17,11,60,39,11,False
2018-04-08,16,16,64,11,0,False
2018-04-15,12,12,56,20,24,False
2018-04-22,15,23,58,40,12,False
2018-04-29,18,11,51,18,15,False
2018-05-06,23,0,79,15,11,False
2018-05-13,27,32,33,16,11,False
2018-05-20,11,17,53,23,11,False
2018-05-27,11,11,51,29,22,False
2018-06-03,0,17,28,25,11,False
2018-06-10,10,10,58,10,14,False
2018-06-17,34,23,34,19,12,False
2018-06-24,34,11,34,23,0,False
2018-07-01,26,22,22,17,11,False
2018-07-08,15,11,38,23,0,False
2018-07-15,12,0,28,18,24,False
2018-07-22,12,24,24,24,12,False
2018-07-29,18,18,28,12,24,False
2018-08-05,12,12,20,12,24,False
2018-08-12,12,12,49,41,12,False
2018-08-19,32,24,12,32,24,False
2018-08-26,18,41,35,16,12,False
2018-09-02,11,40,19,15,0,False
2018-09-09,15,23,17,23,11,False
2018-09-16,23,11,23,17,23,False
2018-09-23,11,11,11,26,15,False
2018-09-30,11,11,22,23,12,False
2018-10-07,19,19,19,41,11,False
2018-10-14,11,11,17,30,30,False
2018-10-21,17,18,23,12,16,False
2018-10-28,11,11,11,28,19,False
2018-11-04,14,11,11,16,27,False
2018-11-11,11,11,34,11,22,False
2018-11-18,16,32,33,22,11,False
2018-11-25,11,22,16,40,18,False
2018-12-02,21,11,11,27,16,False
2018-12-09,22,11,16,16,39,False
2018-12-16,17,11,11,19,11,False
2018-12-23,13,19,13,26,13,False
2018-12-30,12,12,12,24,18,False
2019-01-06,16,11,11,18,16,False
2019-01-13,16,11,11,18,54,False
2019-01-20,10,10,10,31,11,False
2019-01-27,21,10,10,31,14,False
2019-02-03,18,42,25,32,38,False
2019-02-10,11,22,36,21,11,False
2019-02-17,22,11,33,22,17,False
2019-02-24,11,11,26,23,19,False
2019-03-03,11,22,45,15,23,False
2019-03-10,11,22,51,22,11,False
2019-03-17,17,11,56,22,11,False
2019-03-24,16,0,47,39,11,False
2019-03-31,14,11,35,21,11,False
2019-04-07,16,11,50,16,16,False
2019-04-14,0,10,67,20,10,False
2019-04-21,0,14,52,31,10,False
2019-04-28,19,11,91,23,11,False
2019-05-05,14,16,57,27,16,False
2019-05-12,11,11,57,28,16,False
2019-05-19,21,10,38,14,10,False
2019-05-26,21,16,57,18,11,False
2019-06-02,10,21,41,26,10,False
2019-06-09,15,10,27,30,10,False
2019-06-16,21,10,38,28,21,False
2019-06-23,11,0,21,14,16,False
2019-06-30,21,11,25,11,11,False
2019-07-07,16,11,14,16,0,False
2019-07-14,11,11,33,18,0,False
2019-07-21,0,10,18,24,26,False
2019-07-28,22,11,22,22,11,False
2019-08-04,10,14,52,21,0,False
2019-08-11,10,0,20,23,30,False
2019-08-18,20,17,20,20,10,False
2019-08-25,0,21,21,21,18,False
2019-09-01,26,28,42,24,0,False
2019-09-08,26,15,26,19,10,False
2019-09-15,16,30,20,39,10,False
2019-09-22,13,15,29,16,10,False
2019-09-29,19,25,24,16,10,False
2019-10-06,17,18,23,22,13,False
2019-10-13,23,9,9,21,17,False
2019-10-20,15,9,9,13,27,False
2019-10-27,14,9,9,34,16,False
2019-11-03,19,10,10,32,10,False
2019-11-10,12,9,9,9,9,False
2019-11-17,17,17,9,13,23,False
2019-11-24,20,12,16,20,19,False
2019-12-01,0,8,0,16,17,False
2019-12-08,11,17,8,33,33,False
2019-12-15,12,8,0,14,53,False
2019-12-22,9,9,9,25,38,False
2019-12-29,9,9,18,12,14,False
2020-01-05,11,16,12,32,12,False
2020-01-12,24,16,24,20,12,False
2020-01-19,12,12,11,24,12,False
2020-01-26,13,8,13,19,19,False
2020-02-02,19,13,33,37,17,False
2020-02-09,21,17,39,13,9,False
2020-02-16,11,8,20,14,14,False
2020-02-23,8,8,33,20,16,False
2020-03-01,15,26,13,30,11,False
2020-03-08,16,8,26,21,8,False
2020-03-15,7,27,51,7,7,False
2020-03-22,19,43,69,14,0,False
2020-03-29,17,26,69,19,17,False
2020-04-05,12,10,75,17,0,False
2020-04-12,22,17,65,22,7,False
2020-04-19,11,17,73,14,7,False
2020-04-26,13,10,87,24,9,False
2020-05-03,16,17,100,38,12,False
2020-05-10,16,7,64,19,14,False
2020-05-17,27,0,73,21,8,False
2020-05-24,15,11,33,18,0,False
2020-05-31,7,7,38,17,15,False
2020-06-07,7,10,51,22,0,False
2020-06-14,18,18,53,41,35,True
