date,apprendre anglais,Cours de yoga,jardiner,Coach sportif,Cours de cuisine,isPartial
2018-01-07,10,19,11,33,15,False
2018-01-14,23,10,7,25,17,False
2018-01-21,19,15,11,18,13,False
2018-01-28,25,0,23,46,11,False
2018-02-04,11,7,22,11,10,False
2018-02-11,18,11,10,23,0,False
2018-02-18,18,12,13,23,18,False
2018-02-25,11,12,29,24,10,False
2018-03-04,13,16,53,40,0,False
2018-03-11,23,8,31,18,15,False
2018-03-18,23,15,31,29,16,False
2018-03-25,13,16,31,20,16,False
2018-04-01,8,16,45,13,8,False
2018-04-08,12,8,31,21,8,False
2018-04-15,13,8,43,19,0,False
2018-04-22,8,19,54,8,8,False
2018-04-29,12,16,57,8,11,False
2018-05-06,8,8,79,26,8,False
2018-05-13,12,8,45,16,8,False
2018-05-20,11,16,50,20,19,False
2018-05-27,8,15,48,19,8,False
2018-06-03,8,8,30,15,11,False
2018-06-10,15,11,15,25,15,False
2018-06-17,20,0,24,32,11,False
2018-06-24,8,8,28,16,16,False
2018-07-01,8,15,33,11,8,False
2018-07-08,11,8,29,40,0,False
2018-07-15,8,13,22,14,8,False
2018-07-22,25,8,25,8,25,False
2018-07-29,12,8,22,8,17,False
2018-08-05,9,17,31,14,9,False
2018-08-12,17,13,14,12,11,False
2018-08-19,17,19,19,17,8,False
2018-08-26,12,24,16,40,21,False
2018-09-02,17,19,14,27,16,False
2018-09-09,12,16,28,16,8,False
2018-09-16,13,21,18,16,12,False
2018-09-23,22,8,16,19,12,False
2018-09-30,16,8,24,12,12,False
2018-10-07,11,8,16,16,20,False
2018-10-14,14,8,14,11,16,False
2018-10-21,12,8,16,14,16,False
2018-10-28,8,12,18,19,16,False
2018-11-04,13,11,15,11,23,False
2018-11-11,11,15,7,23,26,False
2018-11-18,7,10,7,14,12,False
2018-11-25,11,11,7,14,24,False
2018-12-02,7,14,7,17,29,False
2018-12-09,15,0,7,27,22,False
2018-12-16,15,0,8,23,25,False
2018-12-23,17,8,0,23,29,False
2018-12-30,8,13,21,13,16,False
2019-01-06,18,7,15,17,22,False
2019-01-13,12,7,11,11,10,False
2019-01-20,12,15,22,18,7,False
2019-01-27,17,11,12,32,7,False
2019-02-03,8,7,15,12,15,False
2019-02-10,24,8,16,11,27,False
2019-02-17,8,8,39,12,18,False
2019-02-24,15,10,42,25,7,False
2019-03-03,7,7,22,12,11,False
2019-03-10,10,7,40,20,20,False
2019-03-17,8,10,41,34,8,False
2019-03-24,8,12,64,23,20,False
2019-03-31,19,8,34,16,8,False
2019-04-07,12,8,60,17,11,False
2019-04-14,12,12,41,22,0,False
2019-04-21,16,21,85,23,8,False
2019-04-28,23,0,47,8,7,False
2019-05-05,11,0,42,25,15,False
2019-05-12,20,8,49,24,18,False
2019-05-19,12,0,57,12,15,False
2019-05-26,8,8,39,18,16,False
2019-06-02,11,7,34,25,17,False
2019-06-09,7,7,37,25,15,False
2019-06-16,0,15,36,21,13,False
2019-06-23,11,8,18,15,8,False
2019-06-30,12,0,48,18,8,False
2019-07-07,11,15,20,11,13,False
2019-07-14,23,16,18,13,13,False
2019-07-21,8,23,18,8,0,False
2019-07-28,8,16,19,0,16,False
2019-08-04,16,13,21,19,8,False
2019-08-11,12,23,27,23,13,False
2019-08-18,8,8,21,16,12,False
2019-08-25,10,17,18,22,11,False
2019-09-01,11,17,20,7,10,False
2019-09-08,10,15,19,15,7,False
2019-09-15,20,27,19,25,15,False
2019-09-22,10,14,14,19,10,False
2019-09-29,12,7,25,24,10,False
2019-10-06,11,21,25,14,14,False
2019-10-13,7,14,14,25,14,False
2019-10-20,14,7,12,14,10,False
2019-10-27,9,7,17,27,20,False
2019-11-03,13,7,0,23,25,False
2019-11-10,14,10,11,14,20,False
2019-11-17,14,9,10,18,23,False
2019-11-24,7,11,0,23,28,False
2019-12-01,18,13,10,20,40,False
2019-12-08,13,13,13,9,38,False
2019-12-15,27,7,7,24,27,False
2019-12-22,8,11,8,13,25,False
2019-12-29,11,15,7,20,15,False
2020-01-05,23,10,13,11,17,False
2020-01-12,10,13,8,15,13,False
2020-01-19,10,7,0,32,17,False
2020-01-26,17,7,13,15,15,False
2020-02-02,7,7,11,24,7,False
2020-02-09,13,9,22,22,11,False
2020-02-16,0,13,11,25,16,False
2020-02-23,7,6,15,15,6,False
2020-03-01,10,6,29,23,14,False
2020-03-08,17,22,35,15,6,False
2020-03-15,11,20,70,19,6,False
2020-03-22,23,16,61,14,5,False
2020-03-29,18,16,76,18,9,False
2020-04-05,20,12,100,14,16,False
2020-04-12,17,20,89,22,6,False
2020-04-19,11,11,75,22,16,False
2020-04-26,20,8,47,15,8,False
2020-05-03,16,14,77,26,5,False
2020-05-10,11,6,63,15,11,False
2020-05-17,6,6,69,21,12,False
2020-05-24,15,15,55,18,6,False
2020-05-31,10,0,38,13,8,False
2020-06-07,9,11,39,19,11,False
2020-06-14,13,26,45,26,13,True
