date,Aire acondicionado,isPartial
2018-01-07,14,False
2018-01-14,12,False
2018-01-21,14,False
2018-01-28,12,False
2018-02-04,18,False
2018-02-11,16,False
2018-02-18,7,False
2018-02-25,11,False
2018-03-04,11,False
2018-03-11,13,False
2018-03-18,12,False
2018-03-25,9,False
2018-04-01,12,False
2018-04-08,9,False
2018-04-15,13,False
2018-04-22,20,False
2018-04-29,17,False
2018-05-06,19,False
2018-05-13,17,False
2018-05-20,30,False
2018-05-27,32,False
2018-06-03,33,False
2018-06-10,37,False
2018-06-17,59,False
2018-06-24,59,False
2018-07-01,76,False
2018-07-08,67,False
2018-07-15,65,False
2018-07-22,49,False
2018-07-29,72,False
2018-08-05,100,False
2018-08-12,51,False
2018-08-19,31,False
2018-08-26,34,False
2018-09-02,26,False
2018-09-09,18,False
2018-09-16,17,False
2018-09-23,14,False
2018-09-30,9,False
2018-10-07,7,False
2018-10-14,6,False
2018-10-21,9,False
2018-10-28,20,False
2018-11-04,13,False
2018-11-11,9,False
2018-11-18,14,False
2018-11-25,11,False
2018-12-02,13,False
2018-12-09,8,False
2018-12-16,11,False
2018-12-23,13,False
2018-12-30,17,False
2019-01-06,18,False
2019-01-13,14,False
2019-01-20,9,False
2019-01-27,7,False
2019-02-03,9,False
2019-02-10,11,False
2019-02-17,9,False
2019-02-24,8,False
2019-03-03,11,False
2019-03-10,15,False
2019-03-17,18,False
2019-03-24,16,False
2019-03-31,11,False
2019-04-07,12,False
2019-04-14,15,False
2019-04-21,15,False
2019-04-28,15,False
2019-05-05,30,False
2019-05-12,36,False
2019-05-19,25,False
2019-05-26,22,False
2019-06-02,32,False
2019-06-09,29,False
2019-06-16,40,False
2019-06-23,92,False
2019-06-30,100,False
2019-07-07,82,False
2019-07-14,75,False
2019-07-21,57,False
2019-07-28,55,False
2019-08-04,79,False
2019-08-11,58,False
2019-08-18,43,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,10,False
2019-09-29,9,False
2019-10-06,7,False
2019-10-13,10,False
2019-10-20,14,False
2019-10-27,7,False
2019-11-03,9,False
2019-11-10,13,False
2019-11-17,21,False
2019-11-24,12,False
2019-12-01,10,False
2019-12-08,12,False
2019-12-15,12,False
2019-12-22,8,False
2019-12-29,16,False
2020-01-05,22,False
2020-01-12,19,False
2020-01-19,18,False
2020-01-26,15,False
2020-02-02,10,False
2020-02-09,7,False
2020-02-16,10,False
2020-02-23,15,False
2020-03-01,14,False
2020-03-08,9,False
2020-03-15,5,False
2020-03-22,5,False
2020-03-29,6,False
2020-04-05,9,False
2020-04-12,5,False
2020-04-19,10,False
2020-04-26,19,False
2020-05-03,44,False
2020-05-10,23,False
2020-05-17,41,True
