date,Anbau,isPartial
2018-01-07,15,False
2018-01-14,44,False
2018-01-21,45,False
2018-01-28,45,False
2018-02-04,40,False
2018-02-11,61,False
2018-02-18,30,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,15,False
2018-03-18,45,False
2018-03-25,66,False
2018-04-01,42,False
2018-04-08,15,False
2018-04-15,89,False
2018-04-22,73,False
2018-04-29,71,False
2018-05-06,48,False
2018-05-13,61,False
2018-05-20,56,False
2018-05-27,32,False
2018-06-03,91,False
2018-06-10,37,False
2018-06-17,30,False
2018-06-24,60,False
2018-07-01,57,False
2018-07-08,25,False
2018-07-15,34,False
2018-07-22,34,False
2018-07-29,72,False
2018-08-05,44,False
2018-08-12,55,False
2018-08-19,17,False
2018-08-26,33,False
2018-09-02,16,False
2018-09-09,16,False
2018-09-16,23,False
2018-09-23,31,False
2018-09-30,22,False
2018-10-07,29,False
2018-10-14,43,False
2018-10-21,36,False
2018-10-28,23,False
2018-11-04,29,False
2018-11-11,28,False
2018-11-18,20,False
2018-11-25,62,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,43,False
2019-01-06,15,False
2019-01-13,15,False
2019-01-20,15,False
2019-01-27,45,False
2019-02-03,23,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,73,False
2019-03-03,29,False
2019-03-10,43,False
2019-03-17,45,False
2019-03-24,75,False
2019-03-31,61,False
2019-04-07,45,False
2019-04-14,41,False
2019-04-21,41,False
2019-04-28,68,False
2019-05-05,58,False
2019-05-12,36,False
2019-05-19,22,False
2019-05-26,23,False
2019-06-02,54,False
2019-06-09,16,False
2019-06-16,47,False
2019-06-23,31,False
2019-06-30,24,False
2019-07-07,16,False
2019-07-14,25,False
2019-07-21,27,False
2019-07-28,44,False
2019-08-04,36,False
2019-08-11,54,False
2019-08-18,51,False
2019-08-25,40,False
2019-09-01,15,False
2019-09-08,23,False
2019-09-15,29,False
2019-09-22,35,False
2019-09-29,28,False
2019-10-06,41,False
2019-10-13,41,False
2019-10-20,48,False
2019-10-27,14,False
2019-11-03,20,False
2019-11-10,33,False
2019-11-17,13,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,27,False
2019-12-15,14,False
2019-12-22,43,False
2019-12-29,53,False
2020-01-05,31,False
2020-01-12,39,False
2020-01-19,39,False
2020-01-26,26,False
2020-02-02,28,False
2020-02-09,13,False
2020-02-16,46,False
2020-02-23,87,False
2020-03-01,50,False
2020-03-08,42,False
2020-03-15,45,False
2020-03-22,47,False
2020-03-29,55,False
2020-04-05,82,False
2020-04-12,51,False
2020-04-19,56,False
2020-04-26,92,False
2020-05-03,48,False
2020-05-10,60,False
2020-05-17,100,False
2020-05-24,73,False
2020-05-31,27,False
2020-06-07,20,False
2020-06-14,39,False
2020-06-21,66,False
2020-06-28,20,False
2020-07-05,48,False
