date,Barbecue,isPartial
2018-01-07,3,False
2018-01-14,8,False
2018-01-21,3,False
2018-01-28,6,False
2018-02-04,4,False
2018-02-11,4,False
2018-02-18,6,False
2018-02-25,8,False
2018-03-04,8,False
2018-03-11,7,False
2018-03-18,11,False
2018-03-25,13,False
2018-04-01,32,False
2018-04-08,47,False
2018-04-15,87,False
2018-04-22,57,False
2018-04-29,56,False
2018-05-06,89,False
2018-05-13,34,False
2018-05-20,56,False
2018-05-27,43,False
2018-06-03,39,False
2018-06-10,42,False
2018-06-17,34,False
2018-06-24,50,False
2018-07-01,42,False
2018-07-08,44,False
2018-07-15,44,False
2018-07-22,41,False
2018-07-29,48,False
2018-08-05,37,False
2018-08-12,34,False
2018-08-19,24,False
2018-08-26,15,False
2018-09-02,15,False
2018-09-09,15,False
2018-09-16,7,False
2018-09-23,6,False
2018-09-30,5,False
2018-10-07,8,False
2018-10-14,6,False
2018-10-21,5,False
2018-10-28,5,False
2018-11-04,4,False
2018-11-11,5,False
2018-11-18,8,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,5,False
2018-12-16,3,False
2018-12-23,5,False
2018-12-30,5,False
2019-01-06,6,False
2019-01-13,4,False
2019-01-20,8,False
2019-01-27,5,False
2019-02-03,7,False
2019-02-10,7,False
2019-02-17,19,False
2019-02-24,19,False
2019-03-03,9,False
2019-03-10,15,False
2019-03-17,20,False
2019-03-24,38,False
2019-03-31,36,False
2019-04-07,28,False
2019-04-14,67,False
2019-04-21,47,False
2019-04-28,35,False
2019-05-05,30,False
2019-05-12,39,False
2019-05-19,37,False
2019-05-26,55,False
2019-06-02,37,False
2019-06-09,41,False
2019-06-16,50,False
2019-06-23,71,False
2019-06-30,55,False
2019-07-07,47,False
2019-07-14,41,False
2019-07-21,38,False
2019-07-28,41,False
2019-08-04,39,False
2019-08-11,24,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,18,False
2019-09-08,12,False
2019-09-15,16,False
2019-09-22,7,False
2019-09-29,7,False
2019-10-06,6,False
2019-10-13,5,False
2019-10-20,4,False
2019-10-27,5,False
2019-11-03,5,False
2019-11-10,4,False
2019-11-17,6,False
2019-11-24,7,False
2019-12-01,3,False
2019-12-08,6,False
2019-12-15,7,False
2019-12-22,9,False
2019-12-29,6,False
2020-01-05,5,False
2020-01-12,6,False
2020-01-19,6,False
2020-01-26,6,False
2020-02-02,5,False
2020-02-09,6,False
2020-02-16,7,False
2020-02-23,8,False
2020-03-01,8,False
2020-03-08,9,False
2020-03-15,16,False
2020-03-22,33,False
2020-03-29,45,False
2020-04-05,100,False
2020-04-12,70,False
2020-04-19,75,False
2020-04-26,46,False
2020-05-03,69,False
2020-05-10,51,False
2020-05-17,100,True
