date,Bauunternehmen,isPartial
2018-01-07,50,False
2018-01-14,50,False
2018-01-21,76,False
2018-01-28,63,False
2018-02-04,52,False
2018-02-11,59,False
2018-02-18,43,False
2018-02-25,25,False
2018-03-04,26,False
2018-03-11,39,False
2018-03-18,65,False
2018-03-25,56,False
2018-04-01,57,False
2018-04-08,55,False
2018-04-15,84,False
2018-04-22,28,False
2018-04-29,29,False
2018-05-06,29,False
2018-05-13,82,False
2018-05-20,28,False
2018-05-27,26,False
2018-06-03,55,False
2018-06-10,52,False
2018-06-17,26,False
2018-06-24,68,False
2018-07-01,0,False
2018-07-08,46,False
2018-07-15,28,False
2018-07-22,70,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,77,False
2018-08-19,39,False
2018-08-26,53,False
2018-09-02,35,False
2018-09-09,27,False
2018-09-16,39,False
2018-09-23,79,False
2018-09-30,85,False
2018-10-07,41,False
2018-10-14,52,False
2018-10-21,42,False
2018-10-28,36,False
2018-11-04,24,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,49,False
2018-12-16,59,False
2018-12-23,45,False
2018-12-30,74,False
2019-01-06,34,False
2019-01-13,61,False
2019-01-20,30,False
2019-01-27,45,False
2019-02-03,61,False
2019-02-10,56,False
2019-02-17,39,False
2019-02-24,48,False
2019-03-03,47,False
2019-03-10,23,False
2019-03-17,25,False
2019-03-24,56,False
2019-03-31,33,False
2019-04-07,48,False
2019-04-14,80,False
2019-04-21,64,False
2019-04-28,47,False
2019-05-05,46,False
2019-05-12,48,False
2019-05-19,47,False
2019-05-26,24,False
2019-06-02,48,False
2019-06-09,72,False
2019-06-16,47,False
2019-06-23,49,False
2019-06-30,48,False
2019-07-07,0,False
2019-07-14,76,False
2019-07-21,71,False
2019-07-28,38,False
2019-08-04,26,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,70,False
2019-09-01,39,False
2019-09-08,94,False
2019-09-15,48,False
2019-09-22,68,False
2019-09-29,38,False
2019-10-06,24,False
2019-10-13,54,False
2019-10-20,22,False
2019-10-27,75,False
2019-11-03,21,False
2019-11-10,54,False
2019-11-17,43,False
2019-11-24,49,False
2019-12-01,33,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,41,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,100,False
2020-02-02,47,False
2020-02-09,52,False
2020-02-16,54,False
2020-02-23,67,False
2020-03-01,33,False
2020-03-08,50,False
2020-03-15,45,False
2020-03-22,77,False
2020-03-29,41,False
2020-04-05,47,False
2020-04-12,38,False
2020-04-19,37,False
2020-04-26,53,False
2020-05-03,37,False
2020-05-10,55,False
