date,Blumenstrauß Hochzeit,isPartial
2018-01-07,59,False
2018-01-14,38,False
2018-01-21,29,False
2018-01-28,39,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,30,False
2018-02-25,49,False
2018-03-04,39,False
2018-03-11,78,False
2018-03-18,20,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,30,False
2018-04-15,52,False
2018-04-22,20,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,49,False
2018-05-20,32,False
2018-05-27,51,False
2018-06-03,30,False
2018-06-10,39,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,20,False
2018-07-08,40,False
2018-07-15,20,False
2018-07-22,51,False
2018-07-29,41,False
2018-08-05,20,False
2018-08-12,31,False
2018-08-19,51,False
2018-08-26,31,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,30,False
2018-09-23,0,False
2018-09-30,40,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,19,False
2018-11-04,56,False
2018-11-11,48,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,38,False
2018-12-09,20,False
2018-12-16,20,False
2018-12-23,45,False
2018-12-30,0,False
2019-01-06,46,False
2019-01-13,18,False
2019-01-20,18,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,38,False
2019-03-03,19,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,38,False
2019-03-31,19,False
2019-04-07,28,False
2019-04-14,51,False
2019-04-21,100,False
2019-04-28,28,False
2019-05-05,37,False
2019-05-12,28,False
2019-05-19,47,False
2019-05-26,38,False
2019-06-02,46,False
2019-06-09,29,False
2019-06-16,39,False
2019-06-23,58,False
2019-06-30,29,False
2019-07-07,19,False
2019-07-14,29,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,50,False
2019-08-11,96,False
2019-08-18,78,False
2019-08-25,38,False
2019-09-01,74,False
2019-09-08,28,False
2019-09-15,37,False
2019-09-22,37,False
2019-09-29,64,False
2019-10-06,46,False
2019-10-13,36,False
2019-10-20,0,False
2019-10-27,27,False
2019-11-03,0,False
2019-11-10,17,False
2019-11-17,35,False
2019-11-24,17,False
2019-12-01,52,False
2019-12-08,26,False
2019-12-15,18,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,51,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,34,False
2020-02-23,33,False
2020-03-01,33,False
2020-03-08,0,False
2020-03-15,15,False
2020-03-22,30,False
2020-03-29,15,False
2020-04-05,49,False
2020-04-12,60,True
