date,Carport,isPartial
2018-01-07,40,False
2018-01-14,20,False
2018-01-21,48,False
2018-01-28,54,False
2018-02-04,55,False
2018-02-11,70,False
2018-02-18,14,False
2018-02-25,29,False
2018-03-04,61,False
2018-03-11,14,False
2018-03-18,28,False
2018-03-25,43,False
2018-04-01,60,False
2018-04-08,16,False
2018-04-15,33,False
2018-04-22,66,False
2018-04-29,70,False
2018-05-06,15,False
2018-05-13,41,False
2018-05-20,50,False
2018-05-27,52,False
2018-06-03,83,False
2018-06-10,41,False
2018-06-17,22,False
2018-06-24,28,False
2018-07-01,14,False
2018-07-08,14,False
2018-07-15,36,False
2018-07-22,58,False
2018-07-29,0,False
2018-08-05,84,False
2018-08-12,80,False
2018-08-19,56,False
2018-08-26,28,False
2018-09-02,42,False
2018-09-09,36,False
2018-09-16,49,False
2018-09-23,36,False
2018-09-30,69,False
2018-10-07,50,False
2018-10-14,43,False
2018-10-21,26,False
2018-10-28,23,False
2018-11-04,59,False
2018-11-11,61,False
2018-11-18,52,False
2018-11-25,17,False
2018-12-02,16,False
2018-12-09,33,False
2018-12-16,74,False
2018-12-23,39,False
2018-12-30,28,False
2019-01-06,45,False
2019-01-13,64,False
2019-01-20,32,False
2019-01-27,32,False
2019-02-03,32,False
2019-02-10,13,False
2019-02-17,47,False
2019-02-24,46,False
2019-03-03,34,False
2019-03-10,40,False
2019-03-17,53,False
2019-03-24,20,False
2019-03-31,47,False
2019-04-07,53,False
2019-04-14,22,False
2019-04-21,49,False
2019-04-28,53,False
2019-05-05,51,False
2019-05-12,13,False
2019-05-19,45,False
2019-05-26,52,False
2019-06-02,13,False
2019-06-09,89,False
2019-06-16,60,False
2019-06-23,60,False
2019-06-30,13,False
2019-07-07,45,False
2019-07-14,14,False
2019-07-21,35,False
2019-07-28,27,False
2019-08-04,21,False
2019-08-11,48,False
2019-08-18,26,False
2019-08-25,20,False
2019-09-01,64,False
2019-09-08,20,False
2019-09-15,63,False
2019-09-22,55,False
2019-09-29,45,False
2019-10-06,56,False
2019-10-13,36,False
2019-10-20,29,False
2019-10-27,100,False
2019-11-03,28,False
2019-11-10,55,False
2019-11-17,42,False
2019-11-24,14,False
2019-12-01,29,False
2019-12-08,43,False
2019-12-15,15,False
2019-12-22,64,False
2019-12-29,19,False
2020-01-05,27,False
2020-01-12,18,False
2020-01-19,46,False
2020-01-26,44,False
2020-02-02,29,False
2020-02-09,24,False
2020-02-16,60,False
2020-02-23,26,False
2020-03-01,64,False
2020-03-08,37,False
2020-03-15,24,False
2020-03-22,20,False
2020-03-29,56,False
2020-04-05,29,False
2020-04-12,65,False
2020-04-19,37,False
2020-04-26,54,False
2020-05-03,72,False
2020-05-10,40,False
2020-05-17,36,False
2020-05-24,85,False
2020-05-31,72,False
2020-06-07,18,False
2020-06-14,44,False
2020-06-21,43,False
2020-06-28,37,False
2020-07-05,39,False
