date,Déchèterie,isPartial
2018-01-07,35,False
2018-01-14,15,False
2018-01-21,30,False
2018-01-28,20,False
2018-02-04,22,False
2018-02-11,15,False
2018-02-18,31,False
2018-02-25,31,False
2018-03-04,42,False
2018-03-11,15,False
2018-03-18,31,False
2018-03-25,16,False
2018-04-01,26,False
2018-04-08,46,False
2018-04-15,37,False
2018-04-22,41,False
2018-04-29,44,False
2018-05-06,56,False
2018-05-13,42,False
2018-05-20,32,False
2018-05-27,25,False
2018-06-03,15,False
2018-06-10,29,False
2018-06-17,52,False
2018-06-24,16,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,42,False
2018-07-22,44,False
2018-07-29,55,False
2018-08-05,57,False
2018-08-12,34,False
2018-08-19,39,False
2018-08-26,58,False
2018-09-02,16,False
2018-09-09,32,False
2018-09-16,26,False
2018-09-23,21,False
2018-09-30,42,False
2018-10-07,40,False
2018-10-14,33,False
2018-10-21,16,False
2018-10-28,37,False
2018-11-04,15,False
2018-11-11,15,False
2018-11-18,22,False
2018-11-25,14,False
2018-12-02,24,False
2018-12-09,22,False
2018-12-16,15,False
2018-12-23,39,False
2018-12-30,48,False
2019-01-06,29,False
2019-01-13,15,False
2019-01-20,14,False
2019-01-27,43,False
2019-02-03,15,False
2019-02-10,21,False
2019-02-17,31,False
2019-02-24,22,False
2019-03-03,14,False
2019-03-10,30,False
2019-03-17,23,False
2019-03-24,51,False
2019-03-31,39,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,31,False
2019-04-28,20,False
2019-05-05,40,False
2019-05-12,52,False
2019-05-19,47,False
2019-05-26,31,False
2019-06-02,19,False
2019-06-09,25,False
2019-06-16,41,False
2019-06-23,15,False
2019-06-30,23,False
2019-07-07,50,False
2019-07-14,39,False
2019-07-21,52,False
2019-07-28,24,False
2019-08-04,27,False
2019-08-11,51,False
2019-08-18,37,False
2019-08-25,44,False
2019-09-01,25,False
2019-09-08,44,False
2019-09-15,54,False
2019-09-22,23,False
2019-09-29,35,False
2019-10-06,23,False
2019-10-13,28,False
2019-10-20,37,False
2019-10-27,49,False
2019-11-03,27,False
2019-11-10,18,False
2019-11-17,14,False
2019-11-24,26,False
2019-12-01,40,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,45,False
2019-12-29,44,False
2020-01-05,17,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,52,False
2020-02-02,35,False
2020-02-09,30,False
2020-02-16,13,False
2020-02-23,45,False
2020-03-01,17,False
2020-03-08,44,False
2020-03-15,30,False
2020-03-22,22,False
2020-03-29,21,False
2020-04-05,27,False
2020-04-12,30,False
2020-04-19,65,False
2020-04-26,60,False
2020-05-03,89,False
2020-05-10,91,False
2020-05-17,100,True
