date,Elektrotechnik,isPartial
2018-01-07,20,False
2018-01-14,40,False
2018-01-21,41,False
2018-01-28,42,False
2018-02-04,44,False
2018-02-11,91,False
2018-02-18,30,False
2018-02-25,39,False
2018-03-04,60,False
2018-03-11,20,False
2018-03-18,49,False
2018-03-25,42,False
2018-04-01,21,False
2018-04-08,21,False
2018-04-15,21,False
2018-04-22,31,False
2018-04-29,53,False
2018-05-06,43,False
2018-05-13,20,False
2018-05-20,52,False
2018-05-27,31,False
2018-06-03,0,False
2018-06-10,58,False
2018-06-17,100,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,32,False
2018-08-05,70,False
2018-08-12,21,False
2018-08-19,70,False
2018-08-26,19,False
2018-09-02,19,False
2018-09-09,0,False
2018-09-16,49,False
2018-09-23,49,False
2018-09-30,30,False
2018-10-07,40,False
2018-10-14,60,False
2018-10-21,50,False
2018-10-28,40,False
2018-11-04,76,False
2018-11-11,57,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,19,False
2018-12-09,38,False
2018-12-16,29,False
2018-12-23,22,False
2018-12-30,29,False
2019-01-06,34,False
2019-01-13,63,False
2019-01-20,89,False
2019-01-27,72,False
2019-02-03,29,False
2019-02-10,44,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,92,False
2019-03-10,45,False
2019-03-17,46,False
2019-03-24,37,False
2019-03-31,19,False
2019-04-07,28,False
2019-04-14,50,False
2019-04-21,48,False
2019-04-28,45,False
2019-05-05,26,False
2019-05-12,61,False
2019-05-19,35,False
2019-05-26,18,False
2019-06-02,64,False
2019-06-09,48,False
2019-06-16,46,False
2019-06-23,18,False
2019-06-30,37,False
2019-07-07,18,False
2019-07-14,38,False
2019-07-21,39,False
2019-07-28,55,False
2019-08-04,58,False
2019-08-11,18,False
2019-08-18,44,False
2019-08-25,17,False
2019-09-01,17,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,34,False
2019-09-29,67,False
2019-10-06,34,False
2019-10-13,26,False
2019-10-20,17,False
2019-10-27,42,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,33,False
2019-11-24,33,False
2019-12-01,34,False
2019-12-08,26,False
2019-12-15,17,False
2019-12-22,28,False
2019-12-29,33,False
2020-01-05,46,False
2020-01-12,60,False
2020-01-19,63,False
2020-01-26,31,False
2020-02-02,33,False
2020-02-09,31,False
2020-02-16,71,False
2020-02-23,31,False
2020-03-01,61,False
2020-03-08,59,False
2020-03-15,21,False
2020-03-22,26,False
2020-03-29,52,False
2020-04-05,29,False
2020-04-12,35,False
2020-04-19,62,False
2020-04-26,41,False
2020-05-03,28,False
2020-05-10,21,False
2020-05-17,61,False
2020-05-24,35,False
2020-05-31,42,False
2020-06-07,51,False
2020-06-14,35,False
2020-06-21,53,False
2020-06-28,61,False
2020-07-05,49,False
