date,Fertighaus,isPartial
2018-01-07,34,False
2018-01-14,44,False
2018-01-21,29,False
2018-01-28,30,False
2018-02-04,26,False
2018-02-11,20,False
2018-02-18,25,False
2018-02-25,50,False
2018-03-04,10,False
2018-03-11,34,False
2018-03-18,44,False
2018-03-25,27,False
2018-04-01,44,False
2018-04-08,30,False
2018-04-15,34,False
2018-04-22,43,False
2018-04-29,36,False
2018-05-06,32,False
2018-05-13,30,False
2018-05-20,58,False
2018-05-27,31,False
2018-06-03,25,False
2018-06-10,29,False
2018-06-17,30,False
2018-06-24,15,False
2018-07-01,16,False
2018-07-08,27,False
2018-07-15,100,False
2018-07-22,57,False
2018-07-29,35,False
2018-08-05,46,False
2018-08-12,18,False
2018-08-19,22,False
2018-08-26,43,False
2018-09-02,37,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,26,False
2018-09-30,39,False
2018-10-07,57,False
2018-10-14,47,False
2018-10-21,19,False
2018-10-28,50,False
2018-11-04,43,False
2018-11-11,37,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,23,False
2018-12-09,18,False
2018-12-16,28,False
2018-12-23,12,False
2018-12-30,28,False
2019-01-06,30,False
2019-01-13,29,False
2019-01-20,19,False
2019-01-27,39,False
2019-02-03,31,False
2019-02-10,29,False
2019-02-17,20,False
2019-02-24,10,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,25,False
2019-03-24,40,False
2019-03-31,30,False
2019-04-07,34,False
2019-04-14,33,False
2019-04-21,43,False
2019-04-28,44,False
2019-05-05,38,False
2019-05-12,24,False
2019-05-19,14,False
2019-05-26,25,False
2019-06-02,40,False
2019-06-09,53,False
2019-06-16,41,False
2019-06-23,20,False
2019-06-30,37,False
2019-07-07,37,False
2019-07-14,28,False
2019-07-21,41,False
2019-07-28,52,False
2019-08-04,29,False
2019-08-11,35,False
2019-08-18,33,False
2019-08-25,53,False
2019-09-01,40,False
2019-09-08,25,False
2019-09-15,39,False
2019-09-22,23,False
2019-09-29,18,False
2019-10-06,14,False
2019-10-13,45,False
2019-10-20,32,False
2019-10-27,28,False
2019-11-03,31,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,30,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,37,False
2019-12-22,45,False
2019-12-29,46,False
2020-01-05,25,False
2020-01-12,30,False
2020-01-19,34,False
2020-01-26,17,False
2020-02-02,32,False
2020-02-09,36,False
2020-02-16,26,False
2020-02-23,37,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,21,False
2020-03-22,9,False
2020-03-29,45,False
2020-04-05,59,False
2020-04-12,76,False
2020-04-19,55,False
2020-04-26,32,False
2020-05-03,54,False
2020-05-10,26,False
2020-05-17,38,False
2020-05-24,31,False
2020-05-31,40,False
2020-06-07,36,False
2020-06-14,30,False
2020-06-21,17,False
2020-06-28,39,False
2020-07-05,36,False
