date,Garten,isPartial
2018-01-07,12,False
2018-01-14,23,False
2018-01-21,18,False
2018-01-28,17,False
2018-02-04,12,False
2018-02-11,15,False
2018-02-18,19,False
2018-02-25,14,False
2018-03-04,12,False
2018-03-11,30,False
2018-03-18,36,False
2018-03-25,51,False
2018-04-01,36,False
2018-04-08,68,False
2018-04-15,56,False
2018-04-22,61,False
2018-04-29,68,False
2018-05-06,57,False
2018-05-13,55,False
2018-05-20,59,False
2018-05-27,26,False
2018-06-03,41,False
2018-06-10,42,False
2018-06-17,36,False
2018-06-24,39,False
2018-07-01,21,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,30,False
2018-07-29,39,False
2018-08-05,33,False
2018-08-12,37,False
2018-08-19,25,False
2018-08-26,40,False
2018-09-02,22,False
2018-09-09,28,False
2018-09-16,15,False
2018-09-23,8,False
2018-09-30,27,False
2018-10-07,43,False
2018-10-14,14,False
2018-10-21,19,False
2018-10-28,33,False
2018-11-04,15,False
2018-11-11,24,False
2018-11-18,25,False
2018-11-25,21,False
2018-12-02,13,False
2018-12-09,23,False
2018-12-16,11,False
2018-12-23,11,False
2018-12-30,25,False
2019-01-06,10,False
2019-01-13,7,False
2019-01-20,12,False
2019-01-27,24,False
2019-02-03,17,False
2019-02-10,23,False
2019-02-17,21,False
2019-02-24,31,False
2019-03-03,26,False
2019-03-10,46,False
2019-03-17,30,False
2019-03-24,44,False
2019-03-31,71,False
2019-04-07,47,False
2019-04-14,48,False
2019-04-21,51,False
2019-04-28,61,False
2019-05-05,45,False
2019-05-12,42,False
2019-05-19,47,False
2019-05-26,39,False
2019-06-02,54,False
2019-06-09,40,False
2019-06-16,57,False
2019-06-23,60,False
2019-06-30,33,False
2019-07-07,30,False
2019-07-14,33,False
2019-07-21,15,False
2019-07-28,37,False
2019-08-04,30,False
2019-08-11,24,False
2019-08-18,30,False
2019-08-25,37,False
2019-09-01,22,False
2019-09-08,32,False
2019-09-15,34,False
2019-09-22,32,False
2019-09-29,23,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,30,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,11,False
2019-11-17,9,False
2019-11-24,23,False
2019-12-01,16,False
2019-12-08,9,False
2019-12-15,5,False
2019-12-22,14,False
2019-12-29,13,False
2020-01-05,10,False
2020-01-12,12,False
2020-01-19,17,False
2020-01-26,24,False
2020-02-02,20,False
2020-02-09,23,False
2020-02-16,34,False
2020-02-23,27,False
2020-03-01,37,False
2020-03-08,19,False
2020-03-15,43,False
2020-03-22,46,False
2020-03-29,61,False
2020-04-05,72,False
2020-04-12,70,False
2020-04-19,68,False
2020-04-26,100,False
2020-05-03,69,False
2020-05-10,85,False
2020-05-17,71,False
2020-05-24,73,False
2020-05-31,55,False
2020-06-07,70,False
2020-06-14,43,False
2020-06-21,61,False
2020-06-28,33,False
2020-07-05,49,False
